,one 64 layer,one 128 layer,two 64 layer
0,82.0,86.0,58.0
1,94.0,51.0,55.0
2,102.0,84.0,63.0
3,128.0,59.0,85.0
4,85.0,83.0,75.0
5,154.0,72.0,81.0
6,59.0,78.0,75.0
7,106.0,79.0,78.0
8,72.0,67.0,81.0
9,237.0,84.0,59.0
10,97.0,53.0,59.0
11,111.0,50.0,70.0
12,108.0,59.0,73.0
13,71.0,53.0,57.0
14,79.0,75.0,47.0
15,93.0,71.0,96.0
16,114.0,79.0,59.0
17,90.0,71.0,82.0
18,72.0,55.0,77.0
19,85.0,60.0,52.0
20,98.0,84.0,55.0
21,62.0,93.0,93.0
22,104.0,61.0,62.0
23,89.0,73.0,69.0
24,110.0,85.0,78.0
25,109.0,63.0,72.0
26,68.0,75.0,74.0
27,82.0,84.0,150.0
28,97.0,99.0,126.0
29,121.0,61.0,66.0
30,192.0,78.0,250.0
31,1000.0,80.0,270.0
32,202.0,83.0,124.0
33,183.0,75.0,273.0
34,146.0,79.0,547.0
35,152.0,66.0,185.0
36,90.0,79.0,122.0
37,182.0,53.0,233.0
38,166.0,52.0,156.0
39,275.0,128.0,55.0
40,179.0,71.0,82.0
41,138.0,358.0,113.0
42,218.0,89.0,79.0
43,128.0,103.0,138.0
44,1000.0,217.0,159.0
45,244.0,446.0,104.0
46,172.0,89.0,129.0
47,1000.0,506.0,187.0
48,246.0,449.0,83.0
49,122.0,89.0,80.0
50,192.0,73.0,66.0
51,1000.0,76.0,139.0
52,162.0,79.0,94.0
53,245.0,62.0,99.0
54,103.0,75.0,168.0
55,144.0,54.0,117.0
56,218.0,57.0,108.0
57,325.0,65.0,91.0
58,141.0,104.0,72.0
59,401.0,79.0,217.0
60,183.0,65.0,59.0
61,140.0,68.0,91.0
62,343.0,58.0,69.0
63,263.0,84.0,122.0
64,369.0,52.0,73.0
65,320.0,71.0,80.0
66,158.0,52.0,152.0
67,192.0,109.0,120.0
68,1000.0,60.0,94.0
69,270.0,72.0,122.0
70,403.0,77.0,78.0
71,321.0,54.0,161.0
72,429.0,69.0,152.0
73,155.0,78.0,139.0
74,358.0,77.0,154.0
75,275.0,72.0,79.0
76,667.0,65.0,138.0
77,180.0,78.0,117.0
78,261.0,55.0,129.0
79,154.0,65.0,134.0
80,1000.0,66.0,113.0
81,332.0,84.0,97.0
82,1000.0,66.0,120.0
83,489.0,54.0,249.0
84,309.0,82.0,143.0
85,426.0,53.0,130.0
86,499.0,94.0,144.0
87,330.0,76.0,145.0
88,432.0,90.0,178.0
89,285.0,72.0,96.0
90,222.0,90.0,99.0
91,994.0,73.0,202.0
92,650.0,85.0,205.0
93,153.0,65.0,182.0
94,796.0,81.0,167.0
95,205.0,134.0,106.0
96,181.0,77.0,139.0
97,406.0,54.0,94.0
98,203.0,54.0,258.0
99,297.0,138.0,100.0
100,146.0,138.0,141.0
101,301.0,91.0,153.0
102,163.0,75.0,146.0
103,198.0,122.0,211.0
104,166.0,55.0,325.0
105,298.0,54.0,177.0
106,313.0,92.0,179.0
107,198.0,87.0,114.0
108,369.0,52.0,85.0
109,1000.0,85.0,106.0
110,152.0,78.0,95.0
111,163.0,52.0,158.0
112,1000.0,78.0,208.0
113,249.0,55.0,109.0
114,1000.0,84.0,139.0
115,337.0,82.0,68.0
116,235.0,96.0,238.0
117,290.0,72.0,184.0
118,84.0,59.0,236.0
119,889.0,57.0,137.0
120,207.0,70.0,79.0
121,209.0,62.0,80.0
122,449.0,93.0,106.0
123,378.0,58.0,206.0
124,175.0,137.0,203.0
125,188.0,77.0,126.0
126,193.0,54.0,80.0
127,91.0,96.0,102.0
128,372.0,84.0,159.0
129,310.0,59.0,219.0
130,321.0,72.0,130.0
131,418.0,123.0,228.0
132,188.0,84.0,191.0
133,186.0,54.0,118.0
134,255.0,69.0,197.0
135,203.0,72.0,140.0
136,176.0,85.0,143.0
137,645.0,86.0,230.0
138,208.0,61.0,81.0
139,873.0,66.0,155.0
140,315.0,62.0,132.0
141,235.0,94.0,138.0
142,215.0,81.0,84.0
143,561.0,56.0,111.0
144,187.0,75.0,124.0
145,123.0,58.0,165.0
146,754.0,63.0,108.0
147,759.0,92.0,159.0
148,189.0,98.0,177.0
149,177.0,49.0,111.0
150,343.0,62.0,116.0
151,1000.0,52.0,103.0
152,215.0,118.0,125.0
153,187.0,98.0,116.0
154,206.0,84.0,182.0
155,236.0,54.0,122.0
156,971.0,54.0,91.0
157,564.0,70.0,240.0
158,329.0,53.0,108.0
159,1000.0,73.0,123.0
160,328.0,74.0,90.0
161,1000.0,67.0,214.0
162,185.0,75.0,91.0
163,133.0,103.0,229.0
164,294.0,109.0,218.0
165,227.0,169.0,190.0
166,251.0,169.0,100.0
167,429.0,90.0,58.0
168,278.0,96.0,137.0
169,592.0,99.0,131.0
170,1000.0,84.0,191.0
171,264.0,79.0,212.0
172,180.0,58.0,65.0
173,250.0,84.0,86.0
174,274.0,86.0,114.0
175,332.0,62.0,68.0
176,230.0,186.0,123.0
177,543.0,106.0,265.0
178,721.0,111.0,134.0
179,1000.0,96.0,114.0
