,Buffer Size = 60000,Buffer Size = 80000,Buffer Size = 100000,Buffer Size = 120000
0,-244.26935612893305,-167.1829948014089,-170.42269318543046,-14.7581795045149
1,-726.6032992868787,-225.74670637831287,-138.1227905498342,-118.12817464939062
2,-822.3978125290712,-174.35360431143684,-153.37986060024116,-99.54207408695177
3,-551.6115769923579,-139.55872993955455,-21.857524999364244,-147.44012939371947
4,-737.5624357422618,-121.30720418916692,-136.48433428861026,-123.68581081944029
5,-568.8824942128406,-117.23876751159395,-82.63012337860238,-148.38184095043565
6,-572.0414969415384,-136.62159263266784,-119.49647218365311,-104.97112519326858
7,-479.1282489769057,-92.96896933981809,-97.11035780419869,-115.98573132093324
8,-585.2232798185986,-338.37059676960956,-126.88479577208662,-100.45431555326788
9,-716.9055711658937,-112.9918501901241,-120.71948632495508,11.070089193472853
10,-238.60742938098284,-137.86560392020155,-134.7863559637454,-141.332689059828
11,-230.3323418978814,-355.3297278661747,-143.89536620970281,-137.8957034944222
12,-244.13386335123673,-282.864077235247,-156.06346149629897,-123.7240065600042
13,-577.7988152805492,-244.3415229977438,-155.23748047256692,-111.39544067369407
14,-321.5112157157305,-135.76158495437477,-271.7852620770928,-116.56881191520169
15,-300.6119868787473,-549.837868386754,-150.22854341502494,-448.75581933312833
16,-131.68423893738128,-146.56403504132908,-449.24303927636475,-507.3390590540927
17,-95.5301011145757,-139.64549554974525,-540.2910979094929,-180.65889663254438
18,-141.68065478120707,-173.63820855888713,-219.4048784325248,-502.221737122697
19,-184.0768353416559,-222.52229938884247,-145.5988388365766,-146.5005303051439
20,-113.67225833874576,-151.18305531405383,-139.7538741058008,-136.304208992123
21,-101.9741547696971,-334.662055766525,-150.49818861052967,47.54217002492936
22,-125.86440918751472,-346.9073529026747,19.35594833140256,-145.8640907876609
23,-118.38023477108166,-229.35255216199593,-143.74398969722952,-117.38132841585895
24,-112.26316375211411,-250.9828145889373,-128.67254579148164,-43.07524998419814
25,-154.5559406003568,-124.93356555965246,-128.32040112963122,-115.90560121443644
26,-143.64314795376617,-147.0375783388404,-161.1485945871301,-36.869032831792595
27,-159.26592890011972,-84.81901980377748,-129.879349629042,-62.18371398735093
28,-228.861405050788,-142.15489703080613,-153.373622191986,-124.41443286038113
29,-150.20418017610052,-139.44188392052098,-38.866010235132165,18.43826480539164
30,-160.84945600282788,-152.0440028351545,-167.91810534509625,-99.65078803043787
31,-204.14586383291203,-126.69327488945956,-117.26891670321615,-21.570919025621023
32,-157.97695316754186,-116.36814252655529,-184.3785365359302,-41.84742593662337
33,-111.39692717413159,-141.5514802973645,-175.58278466564713,-143.14076906859128
34,-157.27985328021083,-169.0746330720074,-216.44160680803097,-181.53636297890154
35,-90.75208520484836,-122.69153582968093,-191.3920970498891,-115.29252059070618
36,-132.70286370240282,-117.29558456926681,-229.49467651566755,-122.08394424167172
37,-141.56336013887426,-116.46996964823433,-169.15391970076723,-89.61841625174186
38,-156.57469229341663,-167.15525845847748,-160.87596056931363,-107.48635785556966
39,-118.86851462145731,-126.29776514221822,-211.13609466100814,-168.9837041006042
40,-163.5973680101427,-150.29373199432507,-190.2936826628041,-359.04286068950296
41,-245.4391951621542,-160.5669338769075,-183.12921404531562,-62.80129663736144
42,-142.1195326993429,-150.61377663467724,-181.27079425841737,-125.17997763338914
43,-292.6958127095365,-110.29426176873599,-291.4198916745278,-181.65027250365375
44,-131.21063267545048,-146.55602175689228,-303.92148679202637,-221.47621113228865
45,-137.57302786515825,-134.69617917624203,-340.75638061453435,-210.53124336212883
46,-98.28975892346213,-116.71381475894448,-198.693079994909,-283.79296031299145
47,-167.218799462939,-115.77511404860682,-166.47159634425483,-112.47654494496143
48,-157.14158898611333,-169.85435485630688,-202.62233442555,-399.47520020455096
49,-199.03316142481034,-109.77193063208487,-286.0618330693271,-569.510116581497
50,-214.1443603531008,-147.17321577787678,-168.551650893361,-288.9433332550937
51,-174.55839067134775,-128.15297679962526,-241.06406533351426,-204.5989907064837
52,-233.1705249893424,-179.58795533450825,-250.3404099499217,-223.4621945725998
53,-126.37248738367305,-158.2521150677137,-129.02011056610203,-154.31177295529665
54,-156.66505442299993,-132.67544690454793,-227.65898285312272,-143.4618773475434
55,-206.43657336668633,-95.42291884687282,-279.62259464020366,-95.44980334688162
56,-308.79176817987764,-79.59678197262701,-162.70737880099267,-32.647148410257174
57,-109.43770385094199,-143.9923355959347,-344.5863846061683,-114.38935931895428
58,-242.44636263191575,-160.9736977081991,-137.91392453876682,-171.98955564884125
59,-142.7787642782042,-146.20081484025613,-92.45431883964437,-82.00205201521838
60,-254.7696685170561,-130.09675240961752,-144.15021513505835,-173.48811203616174
61,-129.4935535476744,-121.0206654489152,-573.8944628363114,-107.85776956095738
62,-246.42934981648995,-117.23384161565619,-175.16776692658442,-136.62647130386654
63,-125.35295746684285,-137.4799099953745,-274.2104422166109,-247.09178444784752
64,-204.95005198064806,-139.4337345547414,-115.58875581642636,-197.57490769171184
65,-204.51235587185448,-174.41884271453475,-147.8095893015663,-48.999143223137764
66,-5.244492548513492,-59.460813053901205,-187.3341953079024,-97.3092015137232
67,-181.80111535952284,-82.16090830865092,-169.04491539232973,-191.96517486633275
68,-220.5215228809897,-133.4660332907051,-178.50667240416004,-173.85882889038027
69,-259.46642688870566,-70.18821697474687,-366.6506939484648,-117.31013660377572
70,-160.07234368879128,-165.65937872896282,-258.9245415365888,-113.63043065670506
71,-116.95934871160736,-109.83615540258137,-144.32782523775583,-114.62566467285062
72,-164.9980876532216,-105.9268586695647,-156.09315038489012,-95.18879392209652
73,-193.7562901931025,-114.6393978507566,-237.29516570071115,-95.02154978450002
74,-162.52882522783085,-117.15385991529664,-287.75204183325053,-253.16305284246627
75,-163.44684898400726,-86.33439404782155,-110.46700692182304,-68.62890589495515
76,-118.7882301512459,-110.75845410195136,-205.15841974888338,-88.68574774606118
77,-163.40966939310277,-129.92489874369826,-200.309222517217,-133.76030665473513
78,-244.04823012067123,-108.53618430117885,-241.73571976172377,-258.6926222236107
79,-193.25062129394286,-102.65933861401408,-160.17596696891002,-118.75775174691964
80,-209.69633080453352,-147.51616286468914,-154.19084635016785,-33.45171234107622
81,-198.88429680035637,-122.79917883625434,-207.00869400093376,-115.6808426766007
82,15.961477872850452,16.241360641870813,-177.48839157733545,-76.57732486900554
83,-101.30312793867174,-116.4298315318615,-202.799875420709,-142.5896272863336
84,-153.6814127311938,-101.01984517596664,-205.62401672766987,-210.90260648782402
85,-189.42634119797395,-28.72152813209874,-171.2028101731628,-153.21281553831182
86,-123.41905565936523,-154.1461183993986,-247.43622903697585,-182.21467338027915
87,-111.90614893185477,-153.8862710030121,-312.8636674036634,-194.58115733084824
88,-158.96228975400703,-161.98639461716172,-160.52256286634437,-94.16463717453843
89,-119.83323849182537,-224.84836602756172,-244.92445900245275,-153.95548579844666
90,-144.03418124297434,-149.12090128591865,-370.53309415057487,-125.53911239518655
91,-141.09276763169294,-230.47482918759061,-455.7633976454654,-29.883433281990577
92,-162.3226462830325,-141.2606230433894,-199.2808212669699,-152.40586590322718
93,-138.61126376380557,-172.02229004648765,-129.432329926291,-175.64380918906136
94,-122.97210058721663,-219.49619405362557,-122.51825011706343,-110.9102075831173
95,-160.81253930431123,-111.71369848688197,-118.51005196306802,-129.13721747287815
96,-259.18107230452125,-285.3666120489006,-101.00642944750818,-130.71734978817346
97,-191.13832366171772,-63.470946522239146,-144.16258465955212,-154.23785703219255
98,-379.8273424337292,-127.83451587263734,-157.30659440261735,-201.26652072279464
99,-169.82984828401726,-127.70894349118137,-126.00338578154543,-63.23600586225206
100,-135.45675665759424,-135.44307068737697,-111.55963150073737,-80.59366344127832
101,-157.3663828307493,-68.02877578116461,-123.49777688545907,-135.1476283015506
102,-152.25106429433856,-95.63975473438963,-131.29377453083967,-141.64397507662005
103,-159.71345526957265,-88.02693725760408,-116.13077729499776,-780.7448726628149
104,-162.58514643281572,-44.90651367727605,-644.1097949525897,-227.40143417170557
105,-228.95124277671619,-63.968052062541105,-125.23017799021802,-127.09882428701502
106,-119.8290613056531,-111.54425599203908,-109.57302581629916,-42.28806826795336
107,-139.2489828582954,0.8472352554105242,-118.97718843643162,-135.56976182709496
108,-123.99868577564678,-152.5884037534688,-94.95200523433328,-162.2416157383919
109,-149.17984244448567,-173.3213093155206,-52.00282923030151,-56.42216914287994
110,-178.90646940840873,-57.080377416320246,13.516486907125739,-35.689424294732476
