,Initial RAR 0.3,Initial RAR 0.4,Initial RAR 0.5,Initial RAR 0.6,Initial RAR 0.7
140,263.0,337.0,116.0,320.0,1000.0
141,271.0,297.0,689.0,442.0,487.0
142,322.0,290.0,820.0,464.0,396.0
143,255.0,305.0,374.0,501.0,572.0
144,188.0,416.0,127.0,169.0,447.0
145,313.0,270.0,492.0,184.0,135.0
146,304.0,416.0,668.0,124.0,227.0
147,368.0,290.0,943.0,487.0,983.0
148,211.0,251.0,200.0,506.0,466.0
149,356.0,430.0,480.0,168.0,1000.0
150,322.0,411.0,644.0,234.0,570.0
151,332.0,269.0,625.0,110.0,416.0
152,201.0,376.0,557.0,285.0,473.0
153,329.0,419.0,686.0,253.0,1000.0
154,322.0,427.0,742.0,499.0,1000.0
155,310.0,414.0,161.0,956.0,679.0
156,329.0,442.0,557.0,236.0,109.0
157,288.0,307.0,702.0,522.0,557.0
158,179.0,400.0,799.0,136.0,665.0
159,337.0,414.0,582.0,128.0,453.0
160,343.0,410.0,661.0,695.0,546.0
161,230.0,367.0,559.0,239.0,729.0
162,87.0,362.0,808.0,263.0,380.0
163,262.0,234.0,799.0,1000.0,451.0
164,103.0,314.0,587.0,1000.0,495.0
165,292.0,405.0,738.0,598.0,162.0
166,140.0,438.0,747.0,529.0,711.0
167,284.0,442.0,734.0,120.0,784.0
168,184.0,364.0,779.0,897.0,484.0
169,196.0,347.0,831.0,654.0,688.0
170,212.0,433.0,953.0,1000.0,426.0
171,246.0,452.0,616.0,272.0,558.0
172,180.0,446.0,776.0,232.0,1000.0
173,192.0,461.0,415.0,202.0,626.0
174,181.0,463.0,783.0,351.0,443.0
175,213.0,458.0,781.0,857.0,487.0
176,60.0,315.0,714.0,644.0,418.0
177,196.0,635.0,569.0,669.0,437.0
178,325.0,415.0,785.0,786.0,917.0
179,319.0,454.0,926.0,1000.0,624.0
180,178.0,425.0,796.0,876.0,860.0
181,324.0,491.0,106.0,596.0,565.0
182,233.0,395.0,141.0,669.0,294.0
183,71.0,487.0,148.0,680.0,433.0
184,306.0,461.0,534.0,671.0,616.0
185,269.0,99.0,1000.0,525.0,582.0
186,220.0,461.0,648.0,554.0,644.0
187,150.0,271.0,565.0,665.0,576.0
188,208.0,290.0,513.0,744.0,451.0
189,133.0,541.0,516.0,458.0,511.0
190,165.0,382.0,117.0,505.0,586.0
191,199.0,312.0,481.0,528.0,886.0
192,322.0,495.0,191.0,512.0,760.0
193,291.0,515.0,207.0,537.0,403.0
194,174.0,526.0,121.0,501.0,633.0
195,200.0,475.0,550.0,531.0,711.0
196,318.0,588.0,526.0,424.0,796.0
197,269.0,472.0,137.0,491.0,637.0
198,254.0,176.0,565.0,513.0,426.0
199,180.0,513.0,311.0,507.0,609.0
200,229.0,505.0,506.0,199.0,612.0
201,260.0,504.0,678.0,361.0,642.0
202,101.0,667.0,387.0,498.0,464.0
203,147.0,511.0,233.0,653.0,479.0
204,99.0,547.0,701.0,518.0,1000.0
205,126.0,539.0,689.0,509.0,502.0
206,299.0,558.0,709.0,390.0,392.0
207,230.0,537.0,721.0,518.0,520.0
208,127.0,476.0,1000.0,277.0,552.0
209,139.0,1000.0,534.0,304.0,541.0
210,225.0,825.0,192.0,851.0,554.0
211,176.0,410.0,507.0,496.0,617.0
212,140.0,573.0,207.0,500.0,654.0
213,233.0,570.0,825.0,262.0,727.0
214,253.0,580.0,753.0,230.0,417.0
215,204.0,570.0,587.0,286.0,556.0
216,214.0,591.0,363.0,237.0,674.0
217,148.0,572.0,763.0,302.0,527.0
218,83.0,101.0,172.0,719.0,724.0
219,236.0,600.0,722.0,519.0,1000.0
220,179.0,449.0,605.0,360.0,681.0
221,236.0,874.0,1000.0,109.0,952.0
222,628.0,591.0,866.0,458.0,526.0
223,181.0,615.0,536.0,412.0,314.0
224,139.0,612.0,673.0,122.0,614.0
225,420.0,996.0,743.0,690.0,568.0
226,102.0,962.0,775.0,637.0,656.0
227,438.0,851.0,631.0,383.0,114.0
228,74.0,671.0,607.0,700.0,504.0
229,98.0,941.0,565.0,639.0,339.0
230,468.0,690.0,566.0,970.0,599.0
231,104.0,778.0,597.0,443.0,489.0
232,206.0,1000.0,563.0,943.0,521.0
233,119.0,1000.0,634.0,351.0,677.0
234,240.0,707.0,720.0,212.0,460.0
235,250.0,738.0,661.0,101.0,467.0
236,159.0,659.0,499.0,284.0,527.0
237,366.0,120.0,740.0,427.0,447.0
238,284.0,837.0,659.0,475.0,550.0
239,203.0,540.0,589.0,571.0,557.0
240,152.0,107.0,724.0,619.0,513.0
241,119.0,104.0,727.0,107.0,494.0
242,148.0,604.0,895.0,582.0,465.0
243,207.0,809.0,633.0,276.0,516.0
244,264.0,1000.0,695.0,210.0,624.0
245,254.0,703.0,288.0,266.0,491.0
246,189.0,865.0,661.0,155.0,489.0
247,145.0,999.0,444.0,595.0,714.0
248,195.0,799.0,535.0,184.0,486.0
249,269.0,1000.0,562.0,201.0,497.0
250,202.0,1000.0,580.0,293.0,534.0
251,687.0,816.0,245.0,570.0,470.0
252,131.0,833.0,344.0,567.0,532.0
253,291.0,890.0,499.0,1000.0,519.0
254,304.0,1000.0,345.0,507.0,519.0
255,217.0,1000.0,511.0,274.0,760.0
256,110.0,959.0,733.0,66.0,898.0
257,87.0,1000.0,398.0,1000.0,519.0
258,266.0,1000.0,471.0,142.0,541.0
259,154.0,1000.0,409.0,685.0,595.0
260,254.0,1000.0,252.0,988.0,605.0
261,243.0,1000.0,562.0,505.0,544.0
262,256.0,1000.0,696.0,717.0,573.0
263,189.0,878.0,461.0,737.0,540.0
264,261.0,129.0,535.0,850.0,592.0
265,184.0,1000.0,213.0,890.0,528.0
266,293.0,967.0,545.0,1000.0,497.0
267,367.0,909.0,493.0,721.0,554.0
268,259.0,994.0,555.0,847.0,548.0
269,250.0,1000.0,467.0,367.0,519.0
270,193.0,819.0,527.0,712.0,538.0
271,275.0,910.0,638.0,847.0,531.0
272,259.0,848.0,357.0,749.0,535.0
273,284.0,1000.0,582.0,790.0,518.0
274,329.0,1000.0,675.0,813.0,498.0
275,210.0,820.0,450.0,681.0,331.0
276,187.0,1000.0,536.0,586.0,530.0
277,311.0,1000.0,456.0,1000.0,617.0
278,315.0,1000.0,513.0,825.0,693.0
279,310.0,1000.0,502.0,703.0,616.0
280,499.0,857.0,522.0,859.0,481.0
281,344.0,1000.0,656.0,646.0,486.0
282,303.0,1000.0,741.0,863.0,545.0
283,369.0,1000.0,626.0,703.0,441.0
284,210.0,872.0,537.0,937.0,534.0
285,317.0,1000.0,542.0,813.0,910.0
286,319.0,907.0,520.0,591.0,545.0
287,335.0,1000.0,474.0,707.0,783.0
288,305.0,1000.0,499.0,799.0,447.0
289,296.0,1000.0,370.0,672.0,1000.0
290,346.0,997.0,464.0,532.0,629.0
291,331.0,864.0,515.0,738.0,618.0
292,401.0,1000.0,738.0,824.0,462.0
293,453.0,1000.0,483.0,699.0,585.0
294,293.0,872.0,468.0,710.0,633.0
295,382.0,1000.0,459.0,709.0,599.0
296,323.0,809.0,466.0,711.0,524.0
297,380.0,1000.0,505.0,784.0,468.0
298,307.0,804.0,644.0,744.0,528.0
299,169.0,817.0,579.0,704.0,490.0
300,348.0,918.0,476.0,712.0,353.0
301,327.0,1000.0,556.0,632.0,496.0
302,351.0,1000.0,508.0,748.0,163.0
303,337.0,784.0,908.0,639.0,594.0
304,326.0,861.0,484.0,678.0,470.0
305,313.0,740.0,643.0,618.0,459.0
306,325.0,884.0,983.0,559.0,731.0
307,111.0,763.0,625.0,669.0,562.0
308,407.0,782.0,671.0,620.0,518.0
309,409.0,918.0,529.0,562.0,367.0
310,354.0,1000.0,579.0,600.0,407.0
311,188.0,1000.0,574.0,568.0,412.0
312,497.0,923.0,657.0,538.0,419.0
313,114.0,1000.0,505.0,578.0,415.0
314,367.0,1000.0,507.0,572.0,508.0
315,320.0,973.0,534.0,559.0,432.0
316,611.0,871.0,504.0,619.0,492.0
317,413.0,1000.0,513.0,556.0,394.0
318,489.0,833.0,513.0,737.0,538.0
319,209.0,197.0,611.0,588.0,595.0
320,351.0,310.0,511.0,606.0,479.0
321,417.0,1000.0,518.0,564.0,537.0
322,334.0,712.0,530.0,621.0,358.0
323,315.0,882.0,535.0,709.0,449.0
324,305.0,819.0,536.0,586.0,558.0
325,341.0,1000.0,592.0,580.0,447.0
326,347.0,832.0,535.0,316.0,385.0
327,415.0,908.0,436.0,808.0,428.0
328,409.0,1000.0,493.0,612.0,544.0
329,890.0,1000.0,484.0,630.0,373.0
330,433.0,1000.0,491.0,591.0,409.0
331,176.0,1000.0,612.0,581.0,1000.0
332,304.0,1000.0,481.0,752.0,436.0
333,434.0,1000.0,584.0,695.0,406.0
334,331.0,1000.0,483.0,458.0,689.0
335,477.0,193.0,567.0,546.0,699.0
336,465.0,1000.0,683.0,583.0,402.0
337,549.0,1000.0,564.0,311.0,470.0
338,283.0,445.0,1000.0,529.0,354.0
339,428.0,177.0,291.0,545.0,390.0
340,462.0,594.0,363.0,515.0,457.0
341,351.0,375.0,567.0,493.0,554.0
342,445.0,173.0,488.0,534.0,398.0
343,462.0,327.0,951.0,572.0,553.0
344,184.0,245.0,511.0,517.0,383.0
345,461.0,272.0,480.0,663.0,422.0
346,476.0,262.0,457.0,681.0,920.0
347,444.0,144.0,358.0,688.0,523.0
348,460.0,278.0,504.0,656.0,528.0
349,359.0,84.0,179.0,739.0,443.0
350,471.0,136.0,552.0,535.0,316.0
351,346.0,168.0,506.0,514.0,345.0
352,1000.0,128.0,243.0,478.0,437.0
353,383.0,74.0,529.0,491.0,471.0
354,331.0,132.0,516.0,426.0,212.0
355,385.0,145.0,486.0,460.0,513.0
356,462.0,304.0,542.0,529.0,310.0
357,374.0,194.0,976.0,523.0,424.0
358,343.0,191.0,579.0,532.0,417.0
359,355.0,291.0,525.0,524.0,697.0
360,543.0,141.0,538.0,518.0,646.0
361,364.0,259.0,597.0,531.0,374.0
362,460.0,350.0,544.0,504.0,479.0
363,572.0,195.0,610.0,553.0,421.0
364,468.0,143.0,896.0,590.0,317.0
365,704.0,265.0,541.0,529.0,426.0
366,488.0,170.0,602.0,460.0,380.0
367,499.0,190.0,535.0,540.0,292.0
368,473.0,143.0,534.0,583.0,479.0
369,162.0,650.0,484.0,607.0,649.0
370,361.0,339.0,826.0,634.0,400.0
371,474.0,292.0,566.0,561.0,539.0
372,563.0,510.0,731.0,535.0,408.0
373,366.0,310.0,539.0,559.0,337.0
374,375.0,226.0,548.0,556.0,401.0
375,361.0,251.0,512.0,540.0,396.0
376,183.0,410.0,589.0,583.0,496.0
377,118.0,154.0,497.0,537.0,394.0
378,745.0,385.0,519.0,519.0,314.0
379,117.0,274.0,990.0,527.0,530.0
380,510.0,282.0,536.0,556.0,352.0
381,644.0,222.0,538.0,540.0,695.0
382,64.0,637.0,524.0,526.0,511.0
383,462.0,1000.0,579.0,523.0,266.0
384,424.0,270.0,511.0,564.0,277.0
385,152.0,263.0,538.0,580.0,387.0
386,512.0,410.0,521.0,569.0,351.0
387,106.0,1000.0,481.0,574.0,322.0
388,117.0,210.0,540.0,576.0,234.0
389,139.0,254.0,564.0,609.0,361.0
390,393.0,880.0,523.0,543.0,329.0
391,631.0,337.0,800.0,557.0,133.0
392,110.0,343.0,551.0,585.0,125.0
393,128.0,220.0,445.0,598.0,114.0
394,699.0,955.0,612.0,647.0,79.0
395,773.0,304.0,511.0,732.0,123.0
396,125.0,953.0,542.0,637.0,82.0
397,455.0,341.0,432.0,920.0,121.0
398,720.0,323.0,541.0,555.0,111.0
399,964.0,292.0,550.0,651.0,76.0
400,691.0,294.0,523.0,515.0,68.0
401,153.0,283.0,538.0,548.0,129.0
402,127.0,283.0,527.0,629.0,104.0
403,120.0,1000.0,549.0,1000.0,98.0
404,119.0,1000.0,477.0,475.0,57.0
405,807.0,357.0,544.0,560.0,112.0
406,619.0,912.0,414.0,725.0,115.0
407,698.0,535.0,569.0,613.0,122.0
408,553.0,409.0,536.0,541.0,73.0
409,107.0,1000.0,440.0,569.0,58.0
410,783.0,690.0,512.0,452.0,164.0
411,953.0,1000.0,516.0,843.0,54.0
412,721.0,475.0,509.0,517.0,68.0
413,766.0,1000.0,496.0,555.0,241.0
414,946.0,407.0,544.0,525.0,52.0
415,639.0,732.0,488.0,572.0,100.0
416,101.0,1000.0,510.0,627.0,224.0
417,82.0,1000.0,471.0,527.0,87.0
418,523.0,870.0,487.0,574.0,133.0
419,854.0,831.0,498.0,519.0,354.0
420,508.0,1000.0,523.0,493.0,88.0
421,154.0,1000.0,449.0,586.0,71.0
422,613.0,504.0,498.0,536.0,137.0
423,102.0,1000.0,503.0,742.0,139.0
424,88.0,1000.0,399.0,578.0,113.0
425,113.0,1000.0,516.0,736.0,51.0
426,748.0,1000.0,565.0,538.0,254.0
427,759.0,996.0,528.0,570.0,260.0
428,68.0,917.0,440.0,534.0,292.0
429,712.0,873.0,528.0,522.0,279.0
430,661.0,990.0,481.0,581.0,315.0
431,678.0,1000.0,508.0,231.0,206.0
432,117.0,920.0,526.0,57.0,1000.0
433,116.0,732.0,578.0,789.0,402.0
434,828.0,917.0,626.0,524.0,505.0
435,98.0,1000.0,520.0,245.0,452.0
436,356.0,923.0,382.0,570.0,190.0
437,109.0,927.0,705.0,604.0,253.0
438,789.0,893.0,148.0,552.0,466.0
439,818.0,868.0,463.0,552.0,248.0
440,831.0,871.0,524.0,193.0,240.0
441,833.0,853.0,485.0,563.0,215.0
442,781.0,949.0,999.0,556.0,238.0
443,740.0,940.0,500.0,580.0,320.0
444,784.0,851.0,591.0,583.0,349.0
445,671.0,916.0,110.0,652.0,544.0
446,555.0,310.0,522.0,362.0,159.0
447,807.0,863.0,539.0,561.0,215.0
448,673.0,853.0,386.0,605.0,198.0
449,745.0,479.0,559.0,554.0,483.0
450,698.0,839.0,611.0,542.0,258.0
451,948.0,542.0,826.0,559.0,484.0
452,722.0,390.0,636.0,824.0,118.0
453,836.0,279.0,95.0,516.0,525.0
454,964.0,793.0,285.0,560.0,572.0
455,773.0,853.0,177.0,658.0,451.0
456,904.0,97.0,177.0,391.0,145.0
457,812.0,303.0,268.0,568.0,197.0
458,849.0,859.0,638.0,535.0,193.0
459,512.0,616.0,195.0,562.0,185.0
460,192.0,350.0,384.0,533.0,248.0
461,841.0,813.0,692.0,534.0,614.0
462,947.0,854.0,197.0,551.0,208.0
463,1000.0,931.0,474.0,519.0,474.0
464,718.0,870.0,630.0,530.0,238.0
465,710.0,868.0,300.0,657.0,542.0
466,840.0,431.0,627.0,576.0,141.0
467,1000.0,464.0,368.0,544.0,126.0
468,552.0,336.0,641.0,605.0,125.0
469,929.0,235.0,653.0,545.0,131.0
470,472.0,828.0,499.0,533.0,163.0
471,847.0,847.0,607.0,540.0,108.0
472,626.0,827.0,651.0,578.0,258.0
473,876.0,247.0,1000.0,556.0,99.0
474,740.0,555.0,645.0,333.0,109.0
