,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
174,366.0,52.0,199.0,56.0
175,321.0,76.0,111.0,64.0
176,590.0,61.0,132.0,94.0
177,518.0,80.0,175.0,56.0
178,297.0,74.0,165.0,90.0
179,593.0,81.0,213.0,70.0
180,608.0,82.0,87.0,81.0
181,703.0,72.0,49.0,87.0
182,178.0,65.0,100.0,54.0
183,498.0,76.0,174.0,57.0
184,315.0,67.0,184.0,67.0
185,626.0,99.0,158.0,60.0
186,86.0,91.0,200.0,96.0
187,226.0,78.0,316.0,70.0
188,199.0,80.0,191.0,59.0
189,588.0,86.0,157.0,89.0
190,277.0,52.0,246.0,56.0
191,582.0,72.0,105.0,53.0
192,248.0,59.0,151.0,60.0
193,222.0,59.0,60.0,56.0
194,424.0,70.0,207.0,54.0
195,491.0,54.0,213.0,73.0
196,390.0,52.0,79.0,74.0
197,801.0,96.0,138.0,84.0
198,526.0,53.0,103.0,59.0
199,692.0,64.0,117.0,73.0
200,426.0,59.0,149.0,73.0
201,751.0,60.0,136.0,69.0
202,63.0,123.0,166.0,91.0
203,734.0,57.0,77.0,66.0
204,328.0,112.0,122.0,84.0
205,750.0,79.0,90.0,71.0
206,295.0,83.0,185.0,92.0
207,305.0,99.0,120.0,103.0
208,396.0,55.0,78.0,53.0
209,63.0,52.0,89.0,69.0
210,412.0,77.0,182.0,68.0
211,706.0,51.0,150.0,83.0
212,191.0,75.0,155.0,62.0
213,428.0,70.0,235.0,53.0
214,480.0,67.0,334.0,74.0
215,598.0,89.0,168.0,78.0
216,343.0,83.0,92.0,89.0
217,246.0,89.0,175.0,79.0
218,497.0,125.0,94.0,75.0
219,634.0,160.0,242.0,73.0
220,494.0,100.0,185.0,70.0
221,93.0,62.0,139.0,54.0
222,262.0,97.0,97.0,71.0
223,428.0,63.0,144.0,54.0
224,493.0,55.0,107.0,80.0
225,464.0,112.0,325.0,60.0
226,464.0,80.0,105.0,60.0
227,438.0,73.0,113.0,86.0
228,482.0,64.0,177.0,79.0
229,418.0,137.0,152.0,55.0
