,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
104,-99.56907422017456,-134.63449577125635,-148.24435486253566,-698.5630846551188
105,-111.08270699639468,-449.00431511766124,-155.19751224405172,-719.5204752979882
106,-156.15940921726548,-127.51153026332491,-268.40617000826694,-331.87857494008364
107,-391.92166472681544,-162.93341591480427,-224.71712862178987,-193.17567927189117
108,-341.6826456516153,-150.80868823390182,-222.08805510944336,-251.30403690034828
109,-119.2289233761368,-432.0536696466246,-505.4558797440047,-241.6331679329008
110,-335.123989947172,-132.04561335921184,-423.35685605017056,-207.11874671214792
111,-341.17011776384595,-153.39917279295534,-193.77737277175686,-243.9001564819062
112,-342.6870051744361,-104.66374053930446,-370.4481004123861,-248.74612512019445
113,-840.9388525814622,-403.0789259345296,-207.79573967926333,-199.46040271114163
114,-186.6979142632301,-374.34074282850855,-168.2170638099122,-338.3960092488393
115,-304.66279509819697,-312.2197300729079,-406.8309013581837,-214.9036728267007
116,-314.81892885456216,-251.59289750691403,-178.8923170254281,-860.6252822637007
117,-218.85753589819004,-189.4281829657443,-143.35513736588678,-373.27305802534056
118,-306.37977104906537,-268.02591265445614,-115.50497382244313,-283.7225640750578
119,-230.97573016314743,-379.756426444599,-398.714545490547,-198.24804979810258
120,-318.95763978712364,-134.12540757561135,-371.88629389729203,-283.04081828980145
121,-915.9049151849204,-182.70311704799775,-195.6230364909578,-156.2118293236313
122,-314.5622902090218,-160.87652944644688,-589.9587721357204,-180.30660624315456
123,-300.0076041117922,-160.88553824487684,-254.74211036099777,-204.2860342438238
124,-254.78459093468297,-113.15402802615358,-210.1759582923676,-153.89571832912594
125,-310.95675471770835,-140.00197369219566,-141.58055286875341,-374.02239669443713
126,-175.20588710759426,-168.35462662940574,-325.3556153577127,-171.7168070786526
127,-383.5715294067173,-354.5874540139263,-484.3177757412444,-219.7073303743819
128,-843.0627815835095,-156.53526390189572,-337.13487761445924,-254.62735099925862
129,-217.33522718179148,-137.4282441806073,-253.49154897951234,-282.14390158960725
130,-999.2366829571514,-312.61611533227847,-189.1533285443008,-205.89800455183507
131,-236.19910946167374,-110.53737813722012,-361.114934300194,-222.61434859154957
132,-265.2898677824319,-156.32643665306298,-164.30114311367905,-209.90110287523373
133,-270.96838284754085,-105.65734893326132,-250.39572741598494,-391.24695913557923
134,-209.516672064909,-134.21535756659918,-432.5609192545737,-222.7151746259171
135,-194.6798753668345,-155.37276746560863,-270.3792272482332,-383.68056499117887
