,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
45,-182.27836001614423,-218.6128922452608,-129.5700885535634,-114.06573870402741
46,-176.54867280870184,-136.17701882642115,-186.27441747479776,-324.16888650764713
47,-704.5717403015302,-421.45668301305795,-145.6489946124051,-289.2962269790846
48,-233.28881901646508,-247.26588940575948,-166.6357656327129,-164.08718290226938
49,-403.57310772853293,-105.2017986938226,-99.57188524522721,-121.91343049900856
50,-205.50507313124155,-232.7926195056225,-155.87517296561424,-116.8596738826584
51,-286.9161058478244,-161.958899410521,-164.21047496128318,-108.65697289574217
52,-436.1831608725398,-42.89521597934336,-198.0053366007624,-17.770727654413733
53,-354.9942979331401,-11.90000544830552,-224.5061021706156,-112.05851854165364
54,-299.6318168408028,-38.883973034936304,-236.8197660690108,-86.43396119408506
55,-367.9758935192591,-104.60238910050808,-116.5756415867127,-82.43089119357987
56,-332.2333862780311,-224.7742567287999,-75.74848623657532,-143.4696218477158
57,-216.40928608347852,-195.62394890746833,-59.54699623132595,47.43614727705773
58,-212.450139261858,-131.12602659855844,-21.7650986068666,-24.760919482548772
59,-220.83259813218348,-128.08496072483368,-105.2186632623274,-94.13402721818898
60,-202.6462941212253,-294.69434473110795,-175.20574586879812,-153.62820179673935
61,-408.9828566420219,-75.91987174476563,-130.447958934785,-40.44606855408802
62,-172.6876624264554,-26.649377733067297,54.05539958579554,-10.059412004041178
63,-215.12990557486575,-68.59212758437093,-116.44488140997316,-34.08555622573169
64,-378.6643860806288,-53.086590620036276,-182.14872486503378,-242.13569962013895
65,-262.4701178456799,-223.2738553835071,-78.2279230268353,-179.86185249520565
66,-313.6831993051436,-73.94611097556259,-78.70169463948503,-163.30963556448017
67,-269.89498357730906,-177.7186873993888,-278.04439114860224,-135.90209936867137
68,-166.2458856616359,-68.3045665363693,-165.10653708354988,-140.70051008407242
69,-374.14961240426004,-195.03823302582907,-109.93457644035504,-1136.6789667736389
70,-301.74155973461586,-269.37336556104225,147.58773232190325,-201.19401400307555
71,-440.39914755157065,-221.66285426853128,-124.9299640443008,-15.836643411261406
72,-363.231306502239,-246.00553971458524,253.38985316344926,-318.1176002510682
73,-314.21912630050747,-176.41013332738265,-138.45050574491,-170.13598557339083
74,-211.16054288999442,-218.55815931462286,-116.29645682247741,-365.6436188662017
75,-329.8581010571397,-215.08186422523147,-21.680196266196845,-214.73098160318239
76,-461.2465453468216,-158.9887682307882,-153.69001624736592,-146.39583074044623
77,-327.49230097395383,-76.16065177580391,-261.3459956328547,-183.88491008947366
78,-277.27149583260626,-101.62783959854879,-149.9548846509133,-209.28331972595288
79,-227.92351309790905,-127.32441582331842,-90.40517433224252,-199.0534912840529
80,-337.23444962702956,-19.893581253460823,-169.01472733053768,-134.3741409173374
81,-297.43984808965774,-38.17811771197826,-61.63498800238554,247.8933971876655
82,-461.3733717342992,-90.49315793001108,-213.62659220832748,-181.03571879659034
83,-263.76522831509925,-82.38304627886546,-154.34926436991992,-146.278479628528
84,-256.51563723620575,-125.78540089668775,-49.2503460792454,-164.9509860516946
85,-337.0225236082519,-46.46954170344726,-13.620321784719906,-214.67645506569735
86,-314.3009857406843,-90.71217438682484,-33.794284981286,31.328350112631114
87,-292.2051099671312,-30.003517594268985,-66.35364928931614,-217.1029989227241
88,-351.3650406385497,-88.4621089248396,-81.3186937822279,-180.08682661960137
89,-227.50460039903263,-278.3047230187593,187.62370423079028,-121.78193653285139
