,one 64 layer,one 128 layer,two 64 layer
0,13.16535646761676,-583.3568113370998,-84.5057717628454
1,-99.23446062490764,-462.2481406042648,-98.03450670361681
2,-329.1344235105166,-843.0399110497328,-49.27988566759072
3,-112.20396840332268,-180.06229293362787,-120.23306071072807
4,-294.84537424913515,-188.4841895035006,-118.14198074408415
5,-236.58860209089994,-860.1931193354092,-114.68271774171785
6,-17.281139759709987,-368.75530678267745,-99.17117420643575
7,-307.83271619266895,-4425.744480467694,-98.11971125388672
8,-535.7861886940759,-214.02618314399905,-125.46728565993337
9,-244.5673662206098,-158.93842514114476,-137.0255951152702
10,-244.7613438668341,-18.532007983581835,-101.30405773848588
11,-394.96764896117264,-746.3020238516604,-146.131519337138
12,-315.84414065238184,-498.79864499283275,-97.97295948045246
13,-178.1314555302498,-87.97234345851336,-102.25631858197517
14,-224.46330719478902,-146.38358869302277,-152.06143425548294
15,-180.15101051264884,-147.10575275620442,-235.21369412572105
16,-49.89751299108089,-90.9271169344616,-425.4781359763609
17,-122.76957641112608,-167.78803205837073,-118.48585348089094
18,-205.18090333363904,-451.7531406287943,-133.8867660195825
19,-258.1435878586276,-206.1697343130394,-150.23740495467797
20,-410.5076837228406,-171.59173966212853,-22.039212306367233
21,-464.2019776999006,-227.86469137847408,-383.7901154320025
22,-147.42269639619653,-330.356468372108,-380.7786629270427
23,-117.69043234324728,-334.61245168578387,-229.85259197436193
24,-237.5995378548969,-275.4057257096657,-229.21924255597736
25,-108.41150594470186,-195.87215478640206,-400.44774827984395
26,-281.974085960465,-65.2991132293288,-645.6793441825847
27,-174.4336169473729,-286.84713512484086,-316.22873118292114
28,-270.60590785123696,-268.28083130382254,-219.49412445114612
29,-178.88034506786732,-301.4896113045628,-355.96714810258453
30,-191.26234860130035,-294.38872747780215,-449.64033136990867
31,84.58548835359916,-68.8583164721861,-215.43949679195208
32,-57.35780783851402,-100.40092321488913,-516.299312775714
33,-114.9360391239778,-274.1530817068839,-123.66552981858422
34,-21.820436437676705,-130.97075547552856,-365.94607300895353
35,10.947881892009278,-197.88436557038068,-461.48619359153804
36,-237.81994527070862,-73.88340810093865,-283.96636025014385
37,-62.07764454314753,-271.42961959464594,-346.1317319058662
38,8.968274815655338,-157.75478928314766,-223.89774357984598
39,-208.71906090730695,-201.26569375645835,-445.3405610337183
