,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
0,266.0,52.0,81.0,87.0
1,245.0,75.0,77.0,60.0
2,284.0,71.0,66.0,87.0
3,553.0,59.0,102.0,57.0
4,291.0,52.0,67.0,67.0
5,260.0,51.0,72.0,87.0
6,238.0,75.0,270.0,63.0
7,109.0,78.0,79.0,87.0
8,86.0,57.0,79.0,74.0
9,249.0,62.0,86.0,68.0
10,795.0,61.0,66.0,73.0
11,186.0,66.0,86.0,52.0
12,112.0,64.0,53.0,47.0
13,110.0,52.0,93.0,67.0
14,119.0,73.0,82.0,60.0
15,225.0,78.0,71.0,223.0
16,88.0,85.0,69.0,78.0
17,112.0,119.0,86.0,94.0
18,196.0,77.0,89.0,73.0
19,276.0,78.0,79.0,83.0
20,160.0,57.0,58.0,54.0
21,168.0,81.0,67.0,62.0
22,196.0,607.0,75.0,86.0
23,160.0,852.0,88.0,74.0
24,153.0,419.0,51.0,72.0
25,256.0,260.0,64.0,81.0
26,166.0,290.0,60.0,97.0
27,128.0,173.0,80.0,68.0
28,209.0,182.0,62.0,62.0
29,301.0,169.0,55.0,57.0
30,300.0,458.0,64.0,72.0
31,267.0,178.0,87.0,56.0
32,288.0,1000.0,85.0,83.0
33,297.0,248.0,88.0,58.0
34,316.0,369.0,57.0,79.0
35,97.0,1000.0,73.0,73.0
36,348.0,286.0,78.0,72.0
37,320.0,1000.0,81.0,53.0
38,368.0,484.0,60.0,71.0
39,364.0,1000.0,58.0,57.0
40,376.0,1000.0,70.0,52.0
41,180.0,1000.0,76.0,69.0
42,167.0,56.0,56.0,133.0
43,320.0,56.0,78.0,76.0
44,166.0,1000.0,55.0,50.0
45,298.0,115.0,66.0,67.0
46,251.0,1000.0,55.0,100.0
47,255.0,1000.0,73.0,57.0
48,327.0,1000.0,66.0,79.0
49,268.0,936.0,66.0,89.0
50,247.0,136.0,119.0,54.0
51,205.0,147.0,55.0,86.0
52,340.0,1000.0,54.0,52.0
53,307.0,91.0,56.0,79.0
54,371.0,136.0,60.0,55.0
55,180.0,1000.0,74.0,65.0
56,354.0,292.0,75.0,66.0
57,372.0,1000.0,90.0,66.0
58,210.0,1000.0,129.0,81.0
59,241.0,1000.0,60.0,89.0
60,374.0,85.0,68.0,65.0
61,290.0,83.0,81.0,100.0
62,311.0,97.0,84.0,78.0
63,388.0,1000.0,128.0,54.0
64,295.0,156.0,68.0,73.0
65,402.0,94.0,83.0,71.0
66,397.0,204.0,79.0,65.0
67,340.0,162.0,62.0,54.0
68,437.0,382.0,83.0,84.0
69,175.0,141.0,59.0,68.0
70,532.0,1000.0,140.0,87.0
71,313.0,171.0,86.0,84.0
72,337.0,182.0,63.0,59.0
73,308.0,155.0,133.0,68.0
74,427.0,140.0,56.0,74.0
75,173.0,143.0,71.0,71.0
76,166.0,183.0,147.0,67.0
77,451.0,137.0,142.0,90.0
78,255.0,148.0,120.0,62.0
79,300.0,149.0,443.0,64.0
80,118.0,137.0,70.0,64.0
81,445.0,166.0,107.0,59.0
82,218.0,192.0,77.0,56.0
83,154.0,143.0,80.0,84.0
84,343.0,135.0,140.0,85.0
85,202.0,167.0,136.0,75.0
86,223.0,119.0,58.0,65.0
87,416.0,135.0,55.0,83.0
