,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
174,883.0,153.0,170.0,151.0
175,352.0,78.0,315.0,140.0
176,328.0,140.0,238.0,133.0
177,242.0,178.0,227.0,109.0
178,193.0,141.0,288.0,140.0
179,363.0,124.0,195.0,103.0
180,313.0,163.0,365.0,127.0
181,249.0,172.0,315.0,88.0
182,318.0,174.0,200.0,94.0
183,186.0,106.0,227.0,87.0
184,276.0,78.0,153.0,99.0
185,828.0,78.0,277.0,86.0
186,215.0,156.0,215.0,110.0
187,202.0,90.0,411.0,90.0
188,264.0,136.0,158.0,86.0
189,390.0,122.0,235.0,152.0
190,182.0,168.0,341.0,158.0
191,389.0,127.0,373.0,105.0
192,222.0,142.0,414.0,150.0
193,213.0,160.0,272.0,111.0
194,335.0,169.0,385.0,117.0
195,180.0,121.0,400.0,134.0
196,151.0,218.0,212.0,110.0
197,116.0,174.0,153.0,114.0
198,187.0,79.0,258.0,133.0
199,233.0,120.0,198.0,166.0
200,181.0,133.0,364.0,151.0
201,349.0,129.0,221.0,176.0
202,178.0,182.0,245.0,90.0
203,423.0,176.0,216.0,167.0
204,284.0,197.0,230.0,127.0
205,216.0,210.0,334.0,151.0
206,183.0,120.0,487.0,132.0
207,386.0,200.0,210.0,137.0
208,264.0,136.0,309.0,174.0
209,119.0,130.0,242.0,117.0
210,343.0,88.0,169.0,124.0
211,171.0,178.0,306.0,140.0
212,442.0,160.0,138.0,163.0
213,981.0,233.0,493.0,99.0
214,324.0,219.0,441.0,179.0
215,860.0,150.0,216.0,167.0
216,270.0,137.0,308.0,156.0
217,150.0,122.0,333.0,94.0
218,333.0,222.0,211.0,152.0
219,847.0,141.0,348.0,126.0
220,182.0,236.0,166.0,125.0
221,155.0,193.0,170.0,157.0
222,868.0,187.0,149.0,106.0
223,330.0,202.0,211.0,91.0
224,981.0,231.0,218.0,183.0
225,124.0,201.0,209.0,159.0
226,880.0,139.0,319.0,291.0
227,277.0,88.0,265.0,140.0
228,603.0,212.0,289.0,197.0
229,488.0,209.0,235.0,111.0
230,189.0,238.0,233.0,148.0
231,987.0,282.0,218.0,146.0
232,1000.0,182.0,272.0,134.0
233,1000.0,182.0,447.0,173.0
234,914.0,140.0,383.0,181.0
235,1000.0,201.0,373.0,93.0
236,145.0,85.0,334.0,169.0
237,174.0,190.0,378.0,161.0
238,1000.0,201.0,232.0,163.0
239,1000.0,190.0,164.0,165.0
240,1000.0,230.0,506.0,161.0
241,1000.0,229.0,261.0,144.0
242,1000.0,193.0,211.0,200.0
243,1000.0,208.0,438.0,149.0
244,872.0,234.0,297.0,117.0
245,896.0,273.0,264.0,136.0
246,1000.0,268.0,364.0,165.0
247,1000.0,119.0,301.0,190.0
248,985.0,218.0,351.0,201.0
249,1000.0,216.0,164.0,165.0
250,1000.0,317.0,414.0,195.0
251,963.0,238.0,392.0,163.0
252,919.0,86.0,388.0,143.0
253,1000.0,230.0,361.0,168.0
254,1000.0,88.0,189.0,262.0
255,538.0,207.0,465.0,128.0
256,1000.0,184.0,228.0,281.0
257,1000.0,269.0,400.0,198.0
258,1000.0,186.0,412.0,118.0
259,393.0,90.0,352.0,282.0
260,1000.0,266.0,290.0,181.0
261,1000.0,104.0,460.0,173.0
262,1000.0,219.0,133.0,130.0
263,567.0,223.0,192.0,183.0
264,1000.0,163.0,264.0,126.0
265,1000.0,199.0,434.0,225.0
266,1000.0,156.0,312.0,117.0
267,1000.0,184.0,393.0,140.0
268,529.0,87.0,428.0,117.0
269,1000.0,117.0,373.0,148.0
270,156.0,331.0,460.0,188.0
271,1000.0,226.0,425.0,138.0
272,1000.0,166.0,386.0,128.0
273,1000.0,257.0,440.0,161.0
274,678.0,309.0,418.0,194.0
275,1000.0,217.0,379.0,189.0
276,1000.0,145.0,398.0,198.0
277,151.0,132.0,420.0,188.0
278,603.0,194.0,387.0,155.0
279,417.0,220.0,363.0,127.0
280,1000.0,171.0,339.0,182.0
281,1000.0,171.0,383.0,205.0
282,1000.0,171.0,407.0,186.0
283,1000.0,217.0,425.0,191.0
284,995.0,183.0,417.0,118.0
285,396.0,122.0,334.0,172.0
286,651.0,222.0,417.0,164.0
287,1000.0,221.0,413.0,134.0
288,1000.0,163.0,438.0,167.0
289,1000.0,167.0,423.0,194.0
290,333.0,192.0,383.0,205.0
291,797.0,201.0,346.0,112.0
292,1000.0,252.0,239.0,203.0
293,1000.0,170.0,279.0,196.0
294,1000.0,226.0,251.0,200.0
295,1000.0,329.0,386.0,202.0
296,1000.0,204.0,366.0,186.0
297,1000.0,151.0,461.0,210.0
298,122.0,245.0,395.0,196.0
299,128.0,111.0,353.0,185.0
300,1000.0,227.0,370.0,139.0
301,1000.0,256.0,368.0,170.0
302,1000.0,139.0,394.0,136.0
303,1000.0,220.0,310.0,187.0
304,381.0,154.0,345.0,184.0
305,1000.0,267.0,371.0,142.0
306,1000.0,292.0,428.0,147.0
307,272.0,203.0,383.0,196.0
308,1000.0,96.0,408.0,205.0
309,1000.0,199.0,364.0,202.0
310,527.0,282.0,302.0,208.0
311,1000.0,184.0,520.0,163.0
312,1000.0,351.0,391.0,206.0
313,978.0,168.0,387.0,215.0
314,931.0,224.0,404.0,178.0
315,238.0,214.0,399.0,204.0
316,267.0,262.0,469.0,210.0
317,324.0,270.0,448.0,153.0
318,625.0,142.0,191.0,202.0
319,1000.0,241.0,366.0,199.0
320,536.0,199.0,379.0,190.0
321,152.0,109.0,280.0,136.0
322,379.0,227.0,392.0,139.0
323,1000.0,154.0,252.0,221.0
324,388.0,181.0,380.0,195.0
325,1000.0,166.0,418.0,180.0
326,1000.0,126.0,364.0,176.0
327,1000.0,175.0,373.0,216.0
328,269.0,202.0,362.0,117.0
329,379.0,235.0,397.0,166.0
330,1000.0,249.0,413.0,190.0
331,1000.0,225.0,262.0,234.0
332,516.0,217.0,356.0,232.0
333,996.0,244.0,411.0,219.0
334,1000.0,135.0,413.0,169.0
335,1000.0,197.0,336.0,218.0
336,1000.0,200.0,297.0,187.0
337,265.0,127.0,337.0,226.0
338,1000.0,238.0,322.0,186.0
339,1000.0,216.0,380.0,234.0
340,681.0,115.0,335.0,221.0
341,834.0,214.0,388.0,247.0
342,1000.0,208.0,399.0,248.0
343,849.0,174.0,328.0,206.0
344,1000.0,217.0,428.0,232.0
345,1000.0,98.0,381.0,218.0
346,206.0,238.0,405.0,222.0
347,1000.0,175.0,422.0,211.0
348,471.0,204.0,405.0,200.0
349,840.0,229.0,287.0,141.0
350,435.0,211.0,396.0,232.0
351,1000.0,200.0,395.0,210.0
352,912.0,186.0,400.0,226.0
353,977.0,184.0,363.0,225.0
354,1000.0,199.0,374.0,223.0
355,949.0,168.0,391.0,230.0
356,280.0,220.0,395.0,268.0
357,1000.0,199.0,355.0,259.0
358,229.0,219.0,351.0,254.0
359,1000.0,186.0,386.0,161.0
360,1000.0,192.0,447.0,240.0
361,1000.0,99.0,387.0,260.0
362,1000.0,152.0,408.0,264.0
363,986.0,141.0,384.0,268.0
364,1000.0,100.0,403.0,294.0
365,506.0,196.0,410.0,159.0
366,250.0,93.0,400.0,277.0
367,1000.0,187.0,490.0,290.0
368,1000.0,136.0,459.0,292.0
369,1000.0,172.0,356.0,293.0
370,461.0,218.0,266.0,302.0
371,789.0,134.0,387.0,110.0
372,1000.0,215.0,428.0,319.0
373,862.0,253.0,426.0,305.0
374,221.0,188.0,440.0,120.0
375,759.0,315.0,478.0,152.0
376,831.0,191.0,387.0,146.0
377,1000.0,216.0,407.0,262.0
378,1000.0,172.0,450.0,294.0
379,249.0,229.0,394.0,125.0
380,1000.0,195.0,334.0,287.0
381,1000.0,192.0,476.0,288.0
382,1000.0,93.0,409.0,293.0
383,1000.0,189.0,484.0,308.0
384,1000.0,143.0,466.0,294.0
385,1000.0,161.0,469.0,297.0
386,1000.0,234.0,485.0,310.0
387,986.0,153.0,443.0,293.0
388,1000.0,371.0,478.0,317.0
389,1000.0,233.0,345.0,324.0
390,987.0,127.0,533.0,133.0
391,1000.0,177.0,417.0,330.0
392,1000.0,241.0,452.0,326.0
393,1000.0,209.0,467.0,165.0
394,994.0,208.0,352.0,328.0
395,1000.0,189.0,473.0,333.0
396,1000.0,234.0,502.0,109.0
397,1000.0,162.0,432.0,317.0
398,980.0,232.0,430.0,321.0
399,1000.0,215.0,422.0,317.0
400,999.0,169.0,485.0,304.0
401,970.0,209.0,484.0,307.0
402,966.0,251.0,446.0,318.0
403,1000.0,141.0,467.0,312.0
404,1000.0,146.0,518.0,156.0
405,1000.0,254.0,388.0,132.0
406,1000.0,218.0,437.0,299.0
407,1000.0,106.0,566.0,307.0
408,984.0,204.0,435.0,127.0
409,980.0,238.0,436.0,319.0
410,985.0,340.0,530.0,117.0
411,1000.0,194.0,515.0,198.0
412,989.0,209.0,352.0,98.0
413,981.0,252.0,566.0,336.0
