,Buffer Size = 60000,Buffer Size = 80000,Buffer Size = 100000,Buffer Size = 120000
175,92.0,532.0,240.0,223.0
176,53.0,146.0,83.0,347.0
177,52.0,132.0,82.0,194.0
178,55.0,284.0,116.0,350.0
179,75.0,480.0,400.0,247.0
180,99.0,603.0,393.0,340.0
181,82.0,152.0,425.0,358.0
182,59.0,487.0,259.0,304.0
183,60.0,528.0,477.0,361.0
184,89.0,530.0,215.0,269.0
185,53.0,543.0,171.0,380.0
186,80.0,481.0,108.0,346.0
187,89.0,485.0,269.0,162.0
188,62.0,214.0,168.0,340.0
189,55.0,505.0,181.0,341.0
190,95.0,503.0,158.0,325.0
191,61.0,532.0,255.0,367.0
192,66.0,559.0,152.0,157.0
193,55.0,845.0,161.0,344.0
194,86.0,125.0,376.0,345.0
195,67.0,415.0,184.0,365.0
196,87.0,425.0,139.0,160.0
197,57.0,639.0,263.0,355.0
198,74.0,863.0,155.0,379.0
199,80.0,700.0,167.0,347.0
200,55.0,495.0,134.0,331.0
201,89.0,570.0,151.0,114.0
202,81.0,607.0,109.0,104.0
203,69.0,483.0,174.0,233.0
204,54.0,606.0,192.0,328.0
205,86.0,434.0,141.0,117.0
206,74.0,381.0,142.0,342.0
207,71.0,395.0,119.0,143.0
208,70.0,358.0,279.0,293.0
209,94.0,374.0,106.0,399.0
210,75.0,463.0,99.0,367.0
211,71.0,219.0,148.0,439.0
212,93.0,245.0,253.0,314.0
213,90.0,184.0,92.0,369.0
214,90.0,429.0,139.0,289.0
215,70.0,147.0,145.0,238.0
216,53.0,259.0,131.0,335.0
217,53.0,267.0,118.0,365.0
218,68.0,204.0,142.0,332.0
219,78.0,255.0,126.0,397.0
220,92.0,268.0,162.0,330.0
221,75.0,382.0,122.0,418.0
222,66.0,154.0,121.0,340.0
223,74.0,235.0,123.0,297.0
224,66.0,310.0,136.0,309.0
225,51.0,260.0,128.0,270.0
226,84.0,180.0,188.0,314.0
227,72.0,263.0,122.0,289.0
228,63.0,259.0,120.0,288.0
229,74.0,402.0,177.0,304.0
230,65.0,122.0,119.0,376.0
231,79.0,350.0,99.0,287.0
232,54.0,336.0,111.0,334.0
233,77.0,278.0,69.0,329.0
234,58.0,299.0,97.0,309.0
235,72.0,270.0,155.0,341.0
236,54.0,386.0,91.0,413.0
237,57.0,339.0,121.0,309.0
238,76.0,394.0,97.0,260.0
239,81.0,436.0,96.0,334.0
240,75.0,341.0,95.0,377.0
241,51.0,416.0,108.0,192.0
242,64.0,872.0,99.0,380.0
243,103.0,337.0,118.0,307.0
244,56.0,324.0,164.0,315.0
245,92.0,375.0,106.0,180.0
246,67.0,336.0,95.0,164.0
247,88.0,365.0,129.0,180.0
248,345.0,336.0,87.0,336.0
249,61.0,388.0,158.0,173.0
250,52.0,297.0,146.0,330.0
251,107.0,556.0,288.0,90.0
252,56.0,352.0,141.0,384.0
253,51.0,449.0,127.0,211.0
254,90.0,366.0,191.0,331.0
255,62.0,379.0,496.0,309.0
256,77.0,460.0,57.0,290.0
257,77.0,453.0,145.0,308.0
258,90.0,426.0,500.0,314.0
259,92.0,151.0,308.0,174.0
260,54.0,448.0,89.0,311.0
261,53.0,441.0,167.0,402.0
262,56.0,383.0,164.0,238.0
263,64.0,147.0,104.0,279.0
264,67.0,551.0,545.0,191.0
265,53.0,556.0,328.0,323.0
266,72.0,552.0,116.0,332.0
267,83.0,561.0,113.0,182.0
268,54.0,547.0,64.0,236.0
269,63.0,514.0,110.0,330.0
270,63.0,527.0,273.0,319.0
271,86.0,480.0,64.0,315.0
272,63.0,506.0,149.0,335.0
273,67.0,468.0,86.0,188.0
274,86.0,441.0,150.0,402.0
275,57.0,457.0,67.0,184.0
276,65.0,459.0,101.0,387.0
277,85.0,475.0,86.0,322.0
278,84.0,405.0,185.0,326.0
279,67.0,487.0,68.0,189.0
280,54.0,426.0,75.0,323.0
281,80.0,454.0,168.0,356.0
282,74.0,296.0,92.0,307.0
283,54.0,111.0,101.0,314.0
284,62.0,475.0,156.0,304.0
285,83.0,496.0,96.0,324.0
286,94.0,499.0,73.0,399.0
287,81.0,488.0,111.0,322.0
288,52.0,369.0,97.0,369.0
289,57.0,560.0,458.0,333.0
290,58.0,477.0,78.0,318.0
291,56.0,390.0,232.0,312.0
292,81.0,479.0,60.0,313.0
293,84.0,452.0,61.0,333.0
294,92.0,530.0,69.0,319.0
295,53.0,488.0,86.0,384.0
296,102.0,490.0,101.0,347.0
297,65.0,421.0,203.0,269.0
298,66.0,491.0,170.0,331.0
299,62.0,547.0,95.0,307.0
300,70.0,554.0,112.0,314.0
301,67.0,522.0,96.0,318.0
302,67.0,538.0,86.0,351.0
303,64.0,544.0,213.0,179.0
304,60.0,461.0,65.0,312.0
305,78.0,676.0,99.0,346.0
306,71.0,603.0,149.0,316.0
307,433.0,525.0,184.0,326.0
308,84.0,560.0,73.0,359.0
309,98.0,472.0,85.0,352.0
310,64.0,423.0,75.0,348.0
311,69.0,506.0,57.0,396.0
312,63.0,678.0,464.0,319.0
313,65.0,526.0,82.0,346.0
314,74.0,519.0,71.0,345.0
315,82.0,511.0,120.0,340.0
316,90.0,509.0,489.0,259.0
317,73.0,604.0,92.0,400.0
318,65.0,451.0,137.0,321.0
319,76.0,309.0,484.0,322.0
320,56.0,490.0,279.0,338.0
321,90.0,541.0,102.0,326.0
322,86.0,539.0,568.0,328.0
323,96.0,632.0,556.0,223.0
324,60.0,534.0,76.0,359.0
325,67.0,588.0,137.0,270.0
326,97.0,521.0,96.0,359.0
327,75.0,611.0,79.0,300.0
328,84.0,552.0,89.0,315.0
329,60.0,529.0,479.0,322.0
330,67.0,560.0,129.0,284.0
331,69.0,517.0,530.0,379.0
332,87.0,525.0,100.0,345.0
333,84.0,574.0,127.0,328.0
334,75.0,608.0,151.0,340.0
335,77.0,553.0,156.0,335.0
336,56.0,592.0,77.0,344.0
337,72.0,749.0,549.0,323.0
338,78.0,527.0,125.0,354.0
339,94.0,551.0,519.0,349.0
340,78.0,568.0,242.0,339.0
341,75.0,100.0,545.0,315.0
342,54.0,702.0,72.0,312.0
343,59.0,528.0,533.0,301.0
344,58.0,701.0,501.0,338.0
345,88.0,528.0,165.0,331.0
346,54.0,556.0,114.0,364.0
347,63.0,660.0,122.0,306.0
348,88.0,732.0,494.0,279.0
349,87.0,536.0,457.0,324.0
350,57.0,528.0,439.0,353.0
351,81.0,530.0,497.0,359.0
352,75.0,566.0,322.0,336.0
353,69.0,560.0,220.0,359.0
354,74.0,540.0,261.0,205.0
355,82.0,690.0,549.0,303.0
356,108.0,514.0,527.0,319.0
357,52.0,549.0,229.0,348.0
358,52.0,530.0,328.0,316.0
359,53.0,523.0,457.0,341.0
360,55.0,764.0,439.0,141.0
361,64.0,554.0,317.0,334.0
362,54.0,528.0,438.0,417.0
363,54.0,633.0,298.0,351.0
364,71.0,656.0,339.0,348.0
365,66.0,606.0,266.0,332.0
366,86.0,526.0,256.0,320.0
367,71.0,104.0,335.0,324.0
368,54.0,748.0,488.0,360.0
369,71.0,605.0,283.0,362.0
370,56.0,523.0,276.0,371.0
371,85.0,524.0,167.0,371.0
372,83.0,532.0,296.0,218.0
373,63.0,678.0,211.0,338.0
374,78.0,686.0,190.0,310.0
375,61.0,527.0,203.0,326.0
376,77.0,543.0,195.0,356.0
377,89.0,771.0,435.0,330.0
378,81.0,508.0,201.0,152.0
379,72.0,536.0,311.0,368.0
380,51.0,524.0,337.0,316.0
381,59.0,527.0,198.0,355.0
382,71.0,519.0,276.0,342.0
383,64.0,546.0,189.0,324.0
384,87.0,285.0,392.0,351.0
385,56.0,535.0,289.0,212.0
386,71.0,519.0,317.0,342.0
387,83.0,604.0,286.0,325.0
388,63.0,507.0,93.0,359.0
389,93.0,891.0,628.0,342.0
390,54.0,362.0,273.0,352.0
391,63.0,535.0,364.0,346.0
392,82.0,539.0,271.0,338.0
393,85.0,624.0,225.0,341.0
394,53.0,546.0,289.0,366.0
395,55.0,491.0,313.0,357.0
396,66.0,529.0,439.0,355.0
397,55.0,622.0,176.0,354.0
398,86.0,707.0,330.0,343.0
399,70.0,513.0,382.0,352.0
400,75.0,675.0,283.0,327.0
401,87.0,509.0,291.0,407.0
402,95.0,213.0,404.0,379.0
403,83.0,196.0,252.0,349.0
404,90.0,513.0,173.0,353.0
405,66.0,680.0,190.0,321.0
406,86.0,553.0,385.0,326.0
407,64.0,502.0,204.0,385.0
408,57.0,189.0,391.0,346.0
409,52.0,537.0,344.0,385.0
410,77.0,546.0,192.0,389.0
411,69.0,552.0,392.0,336.0
412,78.0,395.0,297.0,350.0
413,66.0,298.0,154.0,339.0
414,96.0,198.0,307.0,314.0
415,52.0,615.0,167.0,404.0
416,78.0,747.0,356.0,442.0
417,94.0,629.0,390.0,326.0
418,81.0,542.0,462.0,381.0
419,61.0,206.0,458.0,414.0
420,89.0,518.0,405.0,378.0
421,72.0,641.0,154.0,380.0
422,72.0,536.0,356.0,377.0
423,52.0,528.0,115.0,397.0
424,81.0,524.0,386.0,361.0
425,73.0,574.0,116.0,392.0
426,65.0,636.0,476.0,365.0
427,51.0,306.0,167.0,356.0
428,67.0,838.0,438.0,398.0
429,71.0,765.0,344.0,357.0
430,60.0,712.0,374.0,337.0
431,93.0,519.0,326.0,373.0
432,97.0,547.0,354.0,334.0
433,63.0,619.0,219.0,374.0
434,61.0,635.0,259.0,394.0
435,60.0,832.0,267.0,386.0
436,81.0,618.0,353.0,353.0
437,62.0,619.0,444.0,381.0
438,51.0,632.0,377.0,380.0
439,62.0,694.0,533.0,402.0
440,83.0,545.0,455.0,424.0
441,68.0,823.0,225.0,386.0
442,59.0,522.0,388.0,393.0
443,90.0,760.0,152.0,408.0
444,74.0,595.0,170.0,416.0
445,59.0,660.0,424.0,416.0
446,94.0,488.0,428.0,393.0
447,87.0,611.0,106.0,392.0
448,51.0,851.0,321.0,122.0
449,60.0,639.0,320.0,377.0
450,64.0,463.0,520.0,410.0
451,85.0,685.0,385.0,409.0
452,85.0,639.0,212.0,419.0
453,91.0,521.0,417.0,377.0
454,58.0,587.0,457.0,393.0
455,57.0,527.0,225.0,405.0
456,53.0,555.0,400.0,412.0
457,115.0,673.0,361.0,398.0
458,63.0,549.0,531.0,376.0
459,67.0,693.0,189.0,393.0
460,68.0,556.0,282.0,370.0
461,53.0,648.0,457.0,407.0
462,90.0,627.0,455.0,409.0
463,57.0,812.0,140.0,387.0
464,66.0,764.0,456.0,388.0
465,87.0,648.0,106.0,423.0
466,97.0,608.0,499.0,429.0
467,76.0,541.0,399.0,422.0
468,88.0,533.0,621.0,93.0
469,58.0,651.0,537.0,418.0
470,81.0,536.0,476.0,109.0
471,70.0,676.0,401.0,419.0
472,58.0,597.0,193.0,392.0
473,85.0,628.0,421.0,418.0
474,59.0,557.0,184.0,436.0
475,58.0,614.0,592.0,408.0
476,90.0,704.0,479.0,242.0
477,54.0,544.0,171.0,435.0
478,96.0,595.0,304.0,306.0
479,52.0,671.0,211.0,249.0
480,58.0,573.0,142.0,431.0
481,57.0,783.0,218.0,276.0
482,75.0,667.0,195.0,88.0
483,72.0,632.0,132.0,233.0
484,57.0,597.0,584.0,458.0
485,70.0,640.0,464.0,96.0
486,65.0,543.0,476.0,265.0
487,60.0,578.0,282.0,68.0
488,52.0,631.0,188.0,397.0
489,54.0,711.0,170.0,207.0
490,53.0,622.0,485.0,178.0
491,88.0,627.0,190.0,544.0
492,71.0,594.0,542.0,406.0
493,87.0,228.0,454.0,404.0
494,81.0,591.0,116.0,406.0
495,56.0,638.0,147.0,241.0
496,59.0,534.0,273.0,444.0
497,63.0,642.0,430.0,438.0
498,70.0,641.0,488.0,549.0
499,75.0,587.0,146.0,437.0
500,84.0,656.0,444.0,450.0
