,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
0,-356.2493621172515,-565.7886239873051,-818.5101653793,-601.426054587831
1,-239.75589280589398,-133.7755684532631,-481.3108813159308,-459.3821197070553
2,-185.67221695870293,-781.0559501000845,-440.80113100308773,-619.699066471408
3,-460.46519078263367,-1780.5222172157692,-505.38779420633483,-727.2225718223884
4,-171.94241637818754,-68.7236467361862,-807.232748131609,-471.8029469121267
5,-292.8574109125025,-762.0089060438941,-822.1111645809773,-548.7721994722884
6,-598.0282301355596,-1485.6766657617006,-1038.9009869886718,-671.9780289104078
7,-311.7222045979611,-116.92350756614314,-787.9890196396217,-1918.6826141338088
8,-137.23076775075964,-644.7730237047302,-568.9549196186586,-471.4601883967921
9,-225.26363451399928,-128.68056217757865,-953.8072631928668,-742.3689330259332
10,-554.4654194893898,-154.50054686532312,-546.4733410601857,-179.88128282724597
11,-310.74981228324896,-297.76440661994275,-540.7972427629692,-195.23459049034147
12,-676.0751982601762,-214.74975566825628,-419.1414889725892,-118.31706962119904
13,-239.32017028908584,-111.10102674733326,-840.9795640270834,-6.614710177657614
14,-397.67727664713783,-126.75964736972863,-454.9960320654358,-263.6776554889049
15,-252.4970312214717,-50.24291716084291,-208.5271587581147,-26.896580045463224
16,-235.82599622970247,-569.5578806544795,-488.7317554460633,-18.704051486517628
17,-290.7209624119495,-77.29466856187551,-165.3769194959695,-295.5928197568922
18,-76.50373931944554,-27.49848734708509,-285.7445289860268,-152.55990854152276
19,-162.81237182046038,-386.43621386223583,-396.45226314913316,-384.7943358731885
20,-86.25786107921678,-203.15575347240625,-106.46454303660991,-560.3522509002635
21,-65.4270758046263,-155.19232658540648,-316.99756520828305,-390.78802242639745
22,-190.00479607287565,-346.120777847453,-233.97893502326144,-71.32686447800157
23,-411.6847722247616,-225.3530158273577,-462.74113756976004,-547.6774759023626
24,-201.97990447833507,-239.62378719268415,-91.2345412263585,109.12729865802262
25,-409.4786119004936,-68.7189617469136,-275.9453380656544,149.16424902565194
26,-225.339899996084,-109.00992665524372,-242.89789880395688,-54.683064440852746
27,-93.073927513747,-134.43671139247388,-181.62095952666056,-225.7029151732974
28,-75.64391950557479,-93.98954598854742,-166.5765355706798,-184.99602691891556
29,-169.439502156085,-104.81046274814156,-243.58596841579228,-86.8445394293255
30,-262.83596703706974,-200.4100722365375,-170.4525218026949,-46.05837183164597
31,-59.02156063569139,-262.0626585125516,-198.39085260914698,-319.00320409438217
32,-10.597724326187645,-306.37595437955554,-203.52037934435256,-375.96584359639695
33,-386.43240963531036,-95.7036347613617,-157.5098055242193,-399.10969625736846
34,-258.901841435571,-236.72444585066413,-241.25347817159167,-285.60485690470625
35,-303.7500970837075,-175.63219079189486,-230.4312765337196,-339.52140776244585
36,-217.32293377655606,-291.44612995984767,-137.70952507036998,-93.98463260970964
37,-165.28504219679962,-230.24435127599767,-169.5121696165489,-270.7571760750516
38,-229.82444490236935,-386.2151991851428,-377.6852312539078,-218.60810999864097
39,-139.5227949575872,-208.88696335960853,-106.46024697103032,-35.03504843821257
40,-176.67541746920966,-196.8081368989569,-225.8127000796206,-348.1103798327684
41,-207.10787964523382,-260.7044836605666,-243.6447268575161,-175.62816063011434
42,-247.9406991518631,-209.16174927058347,-138.95899983279168,-220.95538615471992
43,-338.0068983628854,-386.83460270140256,-251.79472930197818,-327.58134297114486
44,-164.69719117683823,-374.5478845216317,-200.86542404245552,-220.21929878021112
45,-189.42170434970137,-283.09932573945866,-203.7252199413881,-138.77268856309655
46,-147.70661135499108,-43.695489369605625,-242.3685128477568,-283.96333005714405
47,-118.16238974810616,-269.79606422638335,-165.66577109983118,-265.49937572367014
48,-355.81962827610414,-317.11770316151717,-190.3773088864739,-215.57953557203518
49,-133.69202408707608,-20.406826866230332,-38.2780390407391,-78.31984690110967
50,-233.91251103847895,-139.67597997035324,-128.62741160928155,-103.25523400959229
51,-276.05683006370145,-113.14556631941548,-161.33391169535344,-240.11707848438192
52,-226.78324144305566,-115.59487416170614,-301.6950407509131,-309.1581094491436
53,-231.88201669602745,-596.9371295468695,-161.35164832457076,-52.12083645058152
54,-132.29010376690755,-144.9722700714399,-152.5749465291226,-340.5902420488719
55,-453.7362890294208,-216.59601927289344,-324.49882903246777,-158.52118252761895
56,-80.34005667991165,-632.0611493737472,-188.18608312413767,-83.34202067965265
57,-231.95899244712814,-899.4973844542272,-138.51918729539642,-263.8365883509186
58,-49.87997610610456,-662.8328117624515,-129.37872748596766,-222.22656377709026
59,-64.231950644394,-456.9264235837813,-180.22899661841745,-342.0394716871567
60,-190.01104566662923,-762.118339104453,-145.16250176674671,-181.41942073436343
61,83.99329053623296,-584.9746170843598,-193.32779703515482,-228.82331491192855
