,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
0,-118.27117108236536,-563.8141255928683,-500.1833355072935,-341.40036601371617
1,-135.78333942058532,-369.659748685108,-316.4815684795291,-308.4614018361692
2,-75.21228239936526,-463.15647247723206,-613.8831477468527,-447.4148083080479
3,-115.10947268943501,-448.1151396350384,-431.4527470686981,-319.1873397234606
4,-154.40390771636228,-508.0654890777678,-517.3727397806729,-307.8565715957664
5,-395.4221919721093,-490.9337249198425,-480.78891555557215,-541.5789107222445
6,-523.7629250853086,-483.15321180704325,-853.442689491064,-86.75035033368002
7,-158.50010198738437,-555.6138479458232,-312.7048256468525,-154.97730269455877
8,-26.247797498330357,-439.0963234562269,-710.8211317771124,-370.39522376036035
9,-99.17139307665762,-574.2129728278686,-380.93738416516476,-154.81318365053153
10,-493.6994307422929,-439.58012961152167,-596.601991081629,-187.41033698297525
11,-564.4118027600421,-469.5331436205131,-426.2274195851982,-192.98339091380376
12,-461.44735573883287,-394.2905574333698,-627.738790111941,-531.6538659472578
13,-130.49775087002624,-454.5415742891093,-745.7642852960834,-976.445696969789
14,-109.65963437290458,-560.7305729190891,-676.3847493344299,-765.992403093393
15,-287.30323972862783,-544.3474575699028,-466.37940684183184,-476.36140558979247
16,-207.69735512246265,-434.3633088897079,-444.56530026675927,-543.053913829654
17,-236.88450500434558,-328.1809216593177,-746.0417996991908,-495.63684842124684
18,13.704122606675284,-1042.1321229308908,4.716736914316073,-221.88496214758683
19,-118.30489341279193,-75.19009455204268,-64.8184655550007,-125.59219523409661
20,-155.891210626096,-251.93434723282667,-73.18962554593912,-210.84292408295482
21,-390.1980154513372,-455.1753742998133,-366.354014447885,-141.5206983815939
22,-143.51333445162044,-305.08619790702875,-251.436226723321,-114.77473558894489
23,-423.81704110681113,-46.61754026650156,-258.16493890956576,-295.1118014473318
24,-18.789754235000743,-48.84846986983721,-191.15425785117358,-15.738956635506938
25,-102.27666741112733,-49.585074038914286,-277.36063746660693,-34.73453256196126
26,-155.60101106190575,-139.93330442228552,-426.3711592296592,-115.64212183661152
27,-198.1196391285243,-344.21546398325256,-261.2559503457294,-364.77943670256127
28,-371.66669072218554,-312.7393467605551,-117.15121762465566,-396.0369439016279
29,-474.43791577892966,-281.5192849950736,8.86390147342604,-225.39176034906563
30,-143.14741278755386,-41.477938028030394,-50.703055998086896,-132.39018067292673
31,-120.854633849023,45.23693094225729,-378.2402658961875,-211.86196662807114
32,-336.7180688053204,-22.53786054206141,-184.22767177597584,-393.7588998358694
33,-261.91441026587484,-100.18581355118141,-219.25004306736366,-389.96779484266006
34,-220.2999966637478,-397.9050634713964,-172.84322543904386,-156.12030361032055
35,-381.4666006677603,-123.6385815158126,-239.16332531970815,-346.4834727448786
36,-140.80973050072168,2.7373194576704947,-298.8185740494943,-327.26140754535595
37,-280.2167269195777,-449.28912660854917,-230.36293531520727,-337.1870161242266
38,-393.68916131368854,-453.11021639910336,-162.51738269815579,-230.71749017477492
39,-295.918798078327,-284.94501970278975,-200.36647096007482,-326.8002971661259
40,-156.80107695156383,-210.25608086182828,-92.83138764164052,-230.15032446136607
41,-182.37572482247364,-105.48205103907814,-183.96524398273908,-142.71288521928625
42,-411.7110805051335,-183.18928254653463,-145.2753785911301,-282.33286498674374
43,-249.67557795788773,-242.61202610419073,-185.62521330516603,-213.34101714110102
44,-143.0263213255311,-252.1737869548403,-126.84182145834615,-163.34434110736277
45,-298.35554588550923,-351.5974296681406,-46.80506709855393,-192.77461054546401
46,-175.45743083770725,-192.55807283556268,-304.86918155794444,-331.37043007251975
47,-237.7623884851328,-298.46524391895696,-226.7302755952311,-163.7084770669057
48,-183.62265640021758,-303.42461730694805,-161.35174063062323,-124.55569330756646
49,-212.27443019163098,-314.4216525708103,-42.3206768397463,-180.84674419326058
50,-140.4008043055584,-240.36478430356115,-161.8221607293753,-30.5130425567437
51,-239.49002411302055,-284.072968567699,-91.88456529085818,-39.461791433122585
52,-201.32165793615007,-300.69535284743125,-166.5765062876116,-209.92129395283035
53,-75.04060542648492,-354.42854016741023,-78.00935723745278,-346.32212458425704
54,-96.52098836087393,-161.47741233144023,-156.99525505756554,-120.5581372910527
55,-230.3061487497046,-280.92159877605945,-66.87843268246269,-226.87368390950132
56,-304.5964125924722,-213.25028579877704,-211.73157178046296,-191.9429769981865
57,-378.30026783949853,-449.85251497734197,53.79912439672907,-155.35764794477205
58,-168.10639811872466,-199.89677743469196,-191.0879915410232,-144.18082505802874
59,-340.3144297337847,-183.64283434672558,-156.11879195711745,-172.28450198959982
60,-361.1774619170447,-192.22807393704198,-215.82566418731022,-177.5634782715538
61,-499.31209698791713,-234.2766578970076,12.315765266786684,-18.22919868763738
62,-176.35111192626584,-55.659717508737025,-170.03986795940025,-26.61496564763118
63,-626.0913852945765,-224.670227998926,-267.3488876515522,-214.11635682626928
64,-224.58700777800766,-145.26094650124472,-194.36899513609063,-186.5693919668419
65,-733.2468486523621,-371.9367209387226,-7.62172047881846,-223.82391648932148
66,-86.86887965076849,-302.43138473047316,-214.55283366934322,-176.33797466225008
