,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
0,185.0,82.0,84.0,131.0
1,169.0,113.0,88.0,162.0
2,86.0,77.0,175.0,114.0
3,167.0,130.0,52.0,109.0
4,84.0,99.0,61.0,138.0
5,93.0,130.0,114.0,94.0
6,133.0,103.0,69.0,131.0
7,136.0,108.0,84.0,213.0
8,127.0,101.0,119.0,86.0
9,121.0,175.0,170.0,61.0
10,104.0,345.0,88.0,60.0
11,82.0,253.0,113.0,54.0
12,192.0,118.0,66.0,70.0
13,140.0,113.0,73.0,62.0
14,101.0,133.0,86.0,80.0
15,164.0,100.0,87.0,82.0
16,196.0,193.0,89.0,84.0
17,214.0,347.0,126.0,64.0
18,136.0,209.0,105.0,85.0
19,108.0,303.0,88.0,84.0
20,111.0,304.0,95.0,106.0
21,179.0,293.0,92.0,93.0
22,152.0,224.0,96.0,58.0
23,101.0,380.0,90.0,76.0
24,124.0,563.0,88.0,68.0
25,95.0,688.0,162.0,115.0
26,128.0,109.0,71.0,134.0
27,111.0,141.0,72.0,573.0
28,123.0,117.0,854.0,125.0
29,123.0,128.0,102.0,118.0
30,122.0,205.0,104.0,125.0
31,102.0,218.0,131.0,104.0
32,183.0,273.0,341.0,112.0
33,170.0,157.0,160.0,93.0
34,155.0,108.0,69.0,239.0
35,205.0,51.0,71.0,121.0
36,103.0,309.0,94.0,206.0
37,136.0,205.0,65.0,182.0
38,133.0,117.0,66.0,246.0
39,110.0,174.0,55.0,221.0
40,193.0,430.0,146.0,202.0
41,240.0,127.0,88.0,393.0
42,309.0,90.0,73.0,461.0
43,164.0,87.0,145.0,688.0
44,111.0,97.0,105.0,757.0
45,346.0,94.0,69.0,625.0
46,106.0,146.0,79.0,596.0
47,164.0,81.0,181.0,537.0
48,102.0,99.0,248.0,483.0
49,110.0,95.0,232.0,583.0
50,291.0,77.0,152.0,587.0
51,390.0,92.0,171.0,584.0
52,382.0,86.0,88.0,575.0
53,183.0,109.0,160.0,649.0
54,257.0,78.0,103.0,581.0
55,270.0,125.0,108.0,652.0
56,249.0,113.0,110.0,691.0
57,193.0,105.0,137.0,642.0
58,218.0,108.0,141.0,648.0
59,128.0,176.0,208.0,687.0
60,344.0,120.0,125.0,834.0
61,329.0,61.0,454.0,1000.0
62,151.0,102.0,144.0,778.0
63,173.0,100.0,153.0,958.0
64,323.0,90.0,99.0,627.0
65,287.0,94.0,135.0,862.0
66,354.0,54.0,156.0,757.0
67,353.0,128.0,97.0,671.0
68,163.0,150.0,91.0,299.0
69,117.0,105.0,106.0,877.0
70,175.0,261.0,208.0,752.0
71,197.0,77.0,197.0,923.0
72,103.0,149.0,132.0,987.0
73,79.0,118.0,161.0,1000.0
74,141.0,79.0,106.0,795.0
75,157.0,101.0,116.0,771.0
76,147.0,249.0,205.0,694.0
77,326.0,288.0,125.0,689.0
78,130.0,181.0,207.0,645.0
79,118.0,81.0,304.0,114.0
80,214.0,162.0,219.0,780.0
81,133.0,161.0,175.0,631.0
82,334.0,216.0,199.0,136.0
83,173.0,173.0,194.0,678.0
84,307.0,79.0,174.0,557.0
85,293.0,336.0,175.0,700.0
86,118.0,79.0,204.0,598.0
87,277.0,145.0,216.0,586.0
88,341.0,424.0,207.0,746.0
89,248.0,74.0,228.0,605.0
90,368.0,135.0,181.0,603.0
91,284.0,88.0,196.0,307.0
92,341.0,139.0,190.0,203.0
93,418.0,71.0,172.0,251.0
94,483.0,86.0,182.0,705.0
95,191.0,91.0,218.0,373.0
96,219.0,84.0,233.0,738.0
97,200.0,227.0,247.0,712.0
98,298.0,126.0,231.0,542.0
99,218.0,94.0,195.0,588.0
100,924.0,171.0,221.0,378.0
101,151.0,155.0,223.0,306.0
102,128.0,139.0,242.0,672.0
103,538.0,76.0,234.0,214.0
104,51.0,148.0,215.0,299.0
105,236.0,173.0,231.0,782.0
106,124.0,221.0,202.0,874.0
107,345.0,87.0,208.0,267.0
108,105.0,139.0,242.0,324.0
109,195.0,113.0,254.0,774.0
110,441.0,173.0,250.0,871.0
111,105.0,154.0,254.0,756.0
112,91.0,148.0,241.0,769.0
113,453.0,79.0,274.0,807.0
114,92.0,57.0,262.0,688.0
115,128.0,135.0,285.0,274.0
116,139.0,180.0,243.0,887.0
117,199.0,233.0,263.0,682.0
118,76.0,90.0,250.0,374.0
119,97.0,131.0,263.0,612.0
120,70.0,93.0,292.0,810.0
121,78.0,147.0,269.0,667.0
122,297.0,429.0,276.0,921.0
123,371.0,167.0,314.0,927.0
124,166.0,259.0,290.0,701.0
125,323.0,110.0,286.0,900.0
126,183.0,393.0,314.0,259.0
127,222.0,82.0,326.0,982.0
128,243.0,271.0,201.0,351.0
129,110.0,333.0,264.0,1000.0
130,1000.0,141.0,295.0,966.0
131,283.0,393.0,248.0,951.0
132,281.0,198.0,292.0,1000.0
133,193.0,83.0,298.0,758.0
134,191.0,132.0,291.0,301.0
135,316.0,243.0,311.0,366.0
136,486.0,163.0,329.0,893.0
137,899.0,215.0,138.0,954.0
138,156.0,137.0,327.0,875.0
139,243.0,102.0,351.0,840.0
140,849.0,144.0,174.0,892.0
141,331.0,134.0,404.0,438.0
142,490.0,188.0,86.0,158.0
143,234.0,110.0,396.0,330.0
144,476.0,157.0,218.0,856.0
145,406.0,110.0,444.0,408.0
146,426.0,234.0,275.0,335.0
147,1000.0,117.0,335.0,142.0
148,504.0,197.0,439.0,147.0
149,131.0,169.0,324.0,286.0
150,682.0,215.0,598.0,138.0
151,1000.0,84.0,325.0,292.0
152,1000.0,157.0,339.0,145.0
153,197.0,181.0,416.0,84.0
154,1000.0,194.0,440.0,204.0
155,491.0,179.0,273.0,133.0
156,127.0,93.0,308.0,214.0
157,426.0,155.0,435.0,152.0
158,141.0,108.0,349.0,368.0
159,792.0,129.0,317.0,246.0
160,590.0,130.0,135.0,233.0
161,560.0,134.0,357.0,130.0
162,1000.0,99.0,497.0,142.0
163,1000.0,260.0,346.0,117.0
164,54.0,126.0,249.0,259.0
165,1000.0,125.0,325.0,133.0
166,1000.0,199.0,93.0,337.0
167,1000.0,156.0,184.0,137.0
168,1000.0,209.0,169.0,134.0
169,91.0,336.0,252.0,326.0
170,161.0,363.0,458.0,132.0
171,811.0,75.0,1000.0,138.0
172,99.0,307.0,395.0,117.0
173,491.0,138.0,500.0,274.0
174,1000.0,178.0,392.0,141.0
175,171.0,152.0,293.0,160.0
176,288.0,198.0,592.0,136.0
177,79.0,404.0,176.0,162.0
178,151.0,125.0,456.0,136.0
179,130.0,379.0,396.0,422.0
180,615.0,162.0,191.0,110.0
181,429.0,250.0,201.0,131.0
182,283.0,222.0,187.0,218.0
183,314.0,144.0,437.0,131.0
184,557.0,133.0,905.0,149.0
185,1000.0,127.0,443.0,354.0
186,517.0,138.0,450.0,365.0
187,1000.0,100.0,444.0,571.0
188,1000.0,138.0,630.0,454.0
189,661.0,147.0,170.0,135.0
190,418.0,189.0,530.0,229.0
191,256.0,186.0,181.0,141.0
192,437.0,465.0,467.0,894.0
193,1000.0,119.0,348.0,143.0
194,401.0,119.0,472.0,976.0
195,1000.0,95.0,486.0,865.0
196,888.0,161.0,534.0,202.0
197,416.0,176.0,510.0,854.0
198,1000.0,157.0,522.0,293.0
199,714.0,118.0,238.0,842.0
200,410.0,128.0,509.0,291.0
201,349.0,191.0,111.0,793.0
202,536.0,179.0,101.0,781.0
203,445.0,205.0,518.0,144.0
204,970.0,208.0,132.0,781.0
205,1000.0,148.0,128.0,789.0
206,94.0,194.0,517.0,732.0
207,1000.0,202.0,360.0,844.0
208,1000.0,213.0,476.0,759.0
209,1000.0,147.0,194.0,748.0
210,425.0,107.0,119.0,121.0
211,640.0,137.0,675.0,284.0
212,1000.0,235.0,98.0,80.0
213,1000.0,218.0,500.0,672.0
214,1000.0,117.0,230.0,142.0
215,375.0,359.0,636.0,191.0
216,1000.0,204.0,180.0,136.0
217,197.0,162.0,523.0,821.0
218,812.0,117.0,214.0,653.0
219,93.0,169.0,575.0,660.0
220,806.0,235.0,820.0,848.0
221,379.0,160.0,532.0,135.0
222,389.0,174.0,250.0,742.0
223,968.0,229.0,217.0,795.0
224,55.0,146.0,345.0,809.0
225,52.0,328.0,279.0,827.0
226,862.0,428.0,239.0,841.0
227,667.0,155.0,244.0,877.0
228,123.0,277.0,114.0,723.0
229,1000.0,146.0,239.0,860.0
230,1000.0,125.0,444.0,139.0
231,213.0,411.0,535.0,850.0
232,1000.0,237.0,573.0,904.0
233,1000.0,329.0,654.0,719.0
234,627.0,254.0,530.0,915.0
235,514.0,360.0,540.0,828.0
236,711.0,405.0,543.0,188.0
237,326.0,359.0,413.0,304.0
238,218.0,188.0,702.0,288.0
239,464.0,330.0,829.0,317.0
240,304.0,346.0,547.0,817.0
241,456.0,326.0,362.0,891.0
242,924.0,322.0,244.0,910.0
243,50.0,99.0,613.0,820.0
244,319.0,495.0,580.0,1000.0
245,800.0,217.0,592.0,820.0
246,728.0,316.0,539.0,859.0
247,1000.0,341.0,705.0,858.0
248,1000.0,299.0,609.0,907.0
249,266.0,195.0,576.0,911.0
250,279.0,285.0,578.0,706.0
251,91.0,258.0,597.0,763.0
252,115.0,261.0,246.0,923.0
253,198.0,121.0,682.0,948.0
254,570.0,335.0,589.0,986.0
255,878.0,94.0,566.0,925.0
256,1000.0,78.0,788.0,358.0
257,753.0,287.0,688.0,930.0
258,105.0,125.0,564.0,931.0
259,519.0,77.0,394.0,939.0
260,777.0,370.0,591.0,944.0
261,1000.0,70.0,522.0,898.0
262,908.0,111.0,590.0,1000.0
263,927.0,335.0,303.0,974.0
264,1000.0,69.0,565.0,970.0
265,127.0,166.0,532.0,945.0
266,936.0,221.0,641.0,984.0
267,1000.0,250.0,283.0,1000.0
268,873.0,384.0,179.0,864.0
269,562.0,320.0,278.0,894.0
270,1000.0,110.0,266.0,986.0
271,647.0,315.0,360.0,1000.0
272,568.0,81.0,188.0,962.0
273,674.0,366.0,213.0,1000.0
274,1000.0,322.0,714.0,1000.0
275,1000.0,140.0,495.0,1000.0
276,843.0,341.0,566.0,936.0
277,417.0,350.0,303.0,1000.0
278,76.0,97.0,550.0,1000.0
279,160.0,360.0,535.0,1000.0
280,815.0,191.0,618.0,1000.0
281,969.0,335.0,343.0,1000.0
282,813.0,331.0,567.0,970.0
283,1000.0,361.0,558.0,982.0
284,722.0,352.0,852.0,1000.0
285,721.0,105.0,283.0,1000.0
286,934.0,352.0,658.0,1000.0
287,901.0,297.0,840.0,1000.0
288,869.0,349.0,774.0,1000.0
289,710.0,208.0,679.0,1000.0
290,689.0,95.0,536.0,1000.0
291,393.0,343.0,620.0,1000.0
292,853.0,117.0,426.0,884.0
293,208.0,116.0,788.0,1000.0
294,95.0,113.0,591.0,1000.0
295,88.0,195.0,641.0,983.0
296,1000.0,346.0,947.0,960.0
297,1000.0,330.0,837.0,929.0
298,127.0,332.0,682.0,1000.0
299,915.0,150.0,616.0,974.0
300,882.0,340.0,620.0,1000.0
301,852.0,138.0,593.0,997.0
302,1000.0,355.0,318.0,961.0
303,363.0,336.0,967.0,155.0
304,426.0,331.0,529.0,1000.0
305,188.0,121.0,587.0,1000.0
306,307.0,336.0,520.0,1000.0
307,464.0,134.0,932.0,1000.0
308,150.0,123.0,722.0,998.0
309,80.0,353.0,536.0,1000.0
310,116.0,185.0,509.0,1000.0
311,182.0,353.0,581.0,1000.0
312,1000.0,269.0,545.0,1000.0
313,88.0,196.0,449.0,912.0
314,286.0,125.0,520.0,966.0
315,132.0,149.0,523.0,952.0
316,140.0,168.0,526.0,936.0
317,859.0,134.0,730.0,978.0
318,1000.0,143.0,715.0,874.0
319,739.0,139.0,494.0,975.0
320,555.0,200.0,621.0,961.0
321,1000.0,183.0,600.0,941.0
322,214.0,322.0,729.0,909.0
323,1000.0,136.0,746.0,935.0
324,162.0,175.0,535.0,952.0
325,212.0,171.0,699.0,951.0
326,778.0,224.0,672.0,981.0
327,298.0,194.0,836.0,136.0
328,92.0,289.0,976.0,1000.0
329,196.0,168.0,827.0,131.0
330,207.0,214.0,532.0,169.0
331,144.0,146.0,583.0,1000.0
332,293.0,173.0,634.0,159.0
333,248.0,228.0,613.0,964.0
334,266.0,210.0,711.0,970.0
335,1000.0,217.0,848.0,210.0
336,322.0,165.0,885.0,185.0
337,911.0,197.0,748.0,1000.0
338,922.0,159.0,832.0,984.0
339,939.0,187.0,627.0,1000.0
340,176.0,169.0,645.0,950.0
341,203.0,137.0,654.0,1000.0
342,56.0,225.0,752.0,994.0
343,180.0,155.0,872.0,1000.0
344,1000.0,360.0,680.0,964.0
345,114.0,149.0,619.0,1000.0
346,57.0,175.0,648.0,938.0
347,75.0,242.0,755.0,938.0
348,69.0,237.0,658.0,109.0
349,89.0,182.0,726.0,988.0
350,122.0,259.0,817.0,933.0
351,1000.0,195.0,656.0,1000.0
352,701.0,125.0,852.0,1000.0
353,271.0,120.0,550.0,1000.0
354,444.0,221.0,659.0,998.0
355,61.0,336.0,595.0,959.0
356,259.0,343.0,723.0,1000.0
357,654.0,97.0,656.0,986.0
358,460.0,331.0,620.0,887.0
359,1000.0,165.0,664.0,964.0
360,1000.0,347.0,849.0,1000.0
361,175.0,425.0,726.0,979.0
362,614.0,376.0,694.0,995.0
363,306.0,360.0,583.0,1000.0
364,432.0,238.0,986.0,1000.0
365,917.0,278.0,746.0,1000.0
366,104.0,268.0,639.0,956.0
367,127.0,377.0,565.0,953.0
368,122.0,99.0,604.0,1000.0
369,399.0,420.0,1000.0,1000.0
370,252.0,400.0,730.0,996.0
371,160.0,373.0,917.0,1000.0
372,209.0,375.0,617.0,1000.0
373,349.0,275.0,656.0,1000.0
374,247.0,206.0,627.0,1000.0
375,1000.0,294.0,934.0,236.0
376,60.0,407.0,642.0,242.0
377,599.0,231.0,952.0,989.0
378,754.0,289.0,568.0,967.0
379,973.0,303.0,621.0,1000.0
380,961.0,268.0,134.0,265.0
381,991.0,208.0,711.0,1000.0
382,900.0,239.0,898.0,955.0
383,884.0,267.0,72.0,1000.0
384,754.0,166.0,596.0,1000.0
385,969.0,218.0,266.0,971.0
386,982.0,303.0,896.0,909.0
387,1000.0,165.0,871.0,1000.0
388,957.0,268.0,613.0,988.0
389,787.0,435.0,617.0,1000.0
390,525.0,232.0,824.0,893.0
391,517.0,253.0,769.0,1000.0
392,1000.0,388.0,749.0,1000.0
393,792.0,199.0,718.0,941.0
394,838.0,253.0,842.0,879.0
395,124.0,250.0,852.0,938.0
396,637.0,379.0,806.0,941.0
397,190.0,417.0,639.0,916.0
398,148.0,397.0,715.0,1000.0
399,233.0,226.0,648.0,1000.0
400,100.0,241.0,673.0,310.0
401,712.0,201.0,800.0,1000.0
402,83.0,282.0,573.0,1000.0
403,1000.0,267.0,781.0,968.0
404,910.0,351.0,666.0,164.0
405,915.0,218.0,782.0,907.0
406,990.0,249.0,618.0,994.0
407,936.0,264.0,687.0,934.0
408,953.0,266.0,509.0,947.0
409,1000.0,320.0,595.0,925.0
410,935.0,259.0,887.0,930.0
411,978.0,220.0,734.0,928.0
412,1000.0,149.0,77.0,812.0
413,95.0,398.0,667.0,939.0
414,1000.0,403.0,155.0,911.0
415,702.0,194.0,161.0,878.0
416,785.0,233.0,140.0,890.0
417,1000.0,464.0,814.0,953.0
418,714.0,358.0,70.0,923.0
419,645.0,214.0,604.0,902.0
420,66.0,374.0,580.0,938.0
421,1000.0,461.0,880.0,879.0
422,1000.0,397.0,626.0,869.0
423,1000.0,444.0,719.0,869.0
424,851.0,298.0,597.0,959.0
425,199.0,393.0,338.0,921.0
426,559.0,173.0,700.0,971.0
427,978.0,120.0,144.0,986.0
428,880.0,265.0,677.0,842.0
429,1000.0,330.0,615.0,923.0
430,574.0,366.0,697.0,908.0
431,135.0,413.0,642.0,1000.0
432,284.0,343.0,717.0,897.0
433,165.0,346.0,699.0,835.0
434,793.0,174.0,128.0,933.0
435,133.0,225.0,166.0,927.0
436,128.0,394.0,652.0,881.0
437,1000.0,250.0,152.0,892.0
438,233.0,225.0,643.0,985.0
439,133.0,418.0,666.0,935.0
440,106.0,234.0,753.0,798.0
441,851.0,178.0,642.0,870.0
442,888.0,275.0,797.0,867.0
443,148.0,222.0,676.0,907.0
444,946.0,285.0,723.0,1000.0
445,859.0,258.0,648.0,997.0
446,194.0,357.0,761.0,872.0
447,158.0,311.0,670.0,781.0
448,440.0,135.0,792.0,1000.0
449,86.0,175.0,703.0,1000.0
450,71.0,185.0,693.0,205.0
451,1000.0,216.0,627.0,838.0
452,54.0,273.0,740.0,867.0
453,77.0,395.0,775.0,941.0
454,303.0,210.0,744.0,890.0
455,213.0,320.0,813.0,779.0
456,93.0,216.0,749.0,1000.0
457,80.0,202.0,670.0,1000.0
458,94.0,143.0,872.0,889.0
459,370.0,282.0,714.0,920.0
460,482.0,206.0,712.0,839.0
461,1000.0,390.0,783.0,837.0
462,94.0,455.0,93.0,910.0
463,1000.0,295.0,660.0,862.0
464,985.0,251.0,967.0,867.0
465,1000.0,357.0,636.0,829.0
466,554.0,317.0,713.0,874.0
467,537.0,149.0,781.0,1000.0
468,1000.0,304.0,682.0,823.0
469,672.0,307.0,740.0,910.0
470,612.0,115.0,596.0,892.0
471,262.0,323.0,482.0,847.0
472,102.0,293.0,726.0,1000.0
473,959.0,369.0,1000.0,879.0
474,183.0,225.0,650.0,1000.0
475,804.0,261.0,591.0,877.0
476,938.0,289.0,688.0,900.0
477,963.0,248.0,755.0,903.0
478,1000.0,369.0,747.0,857.0
479,659.0,289.0,771.0,828.0
480,200.0,255.0,684.0,885.0
481,699.0,211.0,645.0,201.0
482,218.0,177.0,878.0,879.0
483,562.0,228.0,594.0,818.0
484,683.0,434.0,621.0,839.0
485,977.0,282.0,732.0,771.0
486,855.0,249.0,654.0,575.0
487,648.0,256.0,912.0,869.0
488,647.0,365.0,876.0,619.0
489,715.0,236.0,696.0,894.0
490,526.0,344.0,754.0,783.0
491,543.0,232.0,631.0,850.0
492,578.0,370.0,683.0,865.0
493,716.0,253.0,763.0,808.0
494,831.0,306.0,492.0,812.0
495,490.0,251.0,762.0,668.0
496,1000.0,229.0,712.0,732.0
497,1000.0,292.0,711.0,916.0
498,719.0,281.0,1000.0,817.0
499,554.0,310.0,724.0,814.0
500,1000.0,390.0,723.0,931.0
