,Initial RAR 0.3,Initial RAR 0.4,Initial RAR 0.5,Initial RAR 0.6,Initial RAR 0.7
34,-99.50359448147037,-10.36670957115993,-136.44462971066366,-55.1802426098095,-101.37708012307037
35,-206.86889103328048,-242.80736901563296,-118.41386592675481,-108.30778433625034,-167.1873276583708
36,-135.75370944201984,-284.8180491144842,-202.7002503112092,-103.22208771150741,-126.0122861007793
37,-219.53967847571116,-183.0565259724999,-52.81940574996102,12.602764169321404,-289.92514312477755
38,-331.36666465115377,-83.98782936424368,120.91603520059684,-80.01101795767859,-108.66539705961159
39,-120.98347748371773,-7.639252007974889,-123.76425626665146,-328.82286279485504,-189.4949556778543
40,-121.8857260076253,-235.51415485205604,-31.898033749444423,-104.14900878010226,-116.9399315415123
41,-363.1898793847963,-239.40468007957708,-195.48684611181932,-191.61098905579453,-11.543611917097238
42,-236.30151395044254,-51.934240354651536,-79.83845839830263,-205.57202173593654,-13.953774942978797
43,-168.44965484128164,-39.24687677013347,-199.74352923280316,-108.04873830907697,-69.94931798649685
44,-168.30551566347629,-70.60184049190858,-332.52763457866376,-276.3074166108878,-68.81604114660473
45,-304.26002969439617,-33.66517341487439,-196.15582209313558,-333.7945064294722,-300.1211714306917
46,-94.10936132221096,-84.06678409427302,-49.96003006181671,-23.263243537834384,-106.61974790066806
47,-400.31342395774703,-153.36652837314122,-116.51162677942129,-73.004092525269,-9.25718719591488
48,-150.72726475898375,52.85268616516016,-59.43826603113359,-117.98149087155227,-61.27221165665535
49,-428.5032641902436,-20.932884795248114,-91.9017019955323,-102.96680342561818,-39.42039844021191
50,-216.94759123407414,-169.17780720382035,-243.97575167693813,-112.89833240300133,-55.47930416763097
51,-177.05862310563262,-252.85043569990634,-139.88354595078658,-92.20469381203274,-261.5624618973096
52,-198.94925061899232,-46.73462625620948,-262.08473537136763,-72.63779241917474,-17.630301862117292
53,-147.09965942629438,-298.0622568719691,-106.85131381776111,-44.55236308758098,-164.6822823035313
54,-275.1139710858906,-44.39078491484808,-431.3474752727313,-63.204568831425185,21.04609684772538
55,-257.3183590624752,-224.56504011574629,-165.93683117126142,-115.39033438837143,-129.3239649054052
56,44.08532087614924,-379.8524142395722,-184.4846577435448,-200.34114410886608,-154.37882993953917
57,-49.622787462049295,-17.374839417314234,-442.0188475355754,-123.57235164219155,-93.56664223994986
58,-260.64567867495225,-125.46838540124995,-16.99633882943158,-76.77971823054261,-340.53388388117014
59,-239.52020611067562,-294.77330420441115,-235.00007225392628,-163.01829920614463,21.25837083301957
60,-287.51381862023766,-348.229675558273,-546.2913454928523,-168.1515896822494,-314.8800959078927
61,-288.2285572202211,-161.58436020275317,-517.9338048609819,-194.78255543482294,12.796664751228434
62,-256.9600037645696,-2.684402602699919,-271.37736038581784,-90.03235881496227,-313.674745485338
63,-267.6570166738586,-242.474618259068,-163.6010955203979,-343.25420336866796,-153.80967605838464
64,-244.58571442882408,-86.88042797174198,-315.67785157611854,-200.81004495736352,-237.17992196748187
65,-286.0842343698925,-13.457235685075446,-54.03709629325306,-103.71960456160855,100.2382451368826
66,-273.3301371007359,-48.79579081774885,-112.44917517980677,-246.92030156148442,-60.59316990400795
67,-486.6574983211008,-27.647587353243125,-91.22254667965925,-159.0761937811231,-195.1252017077761
68,-396.90215389657465,-112.19290402555637,-1.1251018584247277,-37.53228374385658,-152.75880142529508
69,-298.7643987799957,-199.13220366467857,-241.41729125177866,-96.60500406635813,-87.83218524436958
70,-276.29976619612273,-23.09446697138081,-169.66657895003254,-85.96331097400898,-36.121169193157414
71,-243.2949703793337,-208.74154566655804,-125.10451808388083,-236.31994438258613,-173.14768973184607
72,-485.4195035810748,-157.523043667408,-164.8338097029407,-60.91993401426544,13.853059807637878
73,-413.75354960785927,-92.93564222321442,-267.34558607889704,3.8033697090755423,-82.5105109908036
74,-330.46782877854105,-62.16164250162331,-235.74010274759,40.55390034168344,-218.3218290334809
75,-521.4033203342544,23.82659154810453,-121.06829179149227,-245.0038889632676,-295.84952116032844
76,-391.22225213671027,151.99199171490682,-141.5794345678445,-221.18122741810086,-207.5163617669945
77,-77.83883625628366,-346.4748005301475,-199.43808126127556,-21.881242354468,-195.58714138952973
78,-293.785691517901,-92.78386160706243,-270.5926093505678,-3.6658964323980996,-76.97534110912305
79,-392.6020477630551,-58.387167301040535,-179.81867429816322,-295.1091170151773,-162.7496659013321
80,-215.02749693279407,-53.684145936542905,-164.64641185804538,-5.7221016678469425,-189.1991568004642
81,-237.63756671386128,222.2351688543405,-233.90672054509014,-88.07422584622398,-208.14586024044297
82,-202.0783237071924,-125.53351287689635,-302.8666267364363,-56.37535663132557,-120.74314679647439
83,-305.7541356532206,10.037457885069372,-126.45636078508575,-19.788116007422246,-195.6856036409945
84,-224.27318005933463,172.2113575080043,-213.72850018441267,-111.7740918480606,-211.5743006394672
85,-190.3032035274656,122.4212708204561,-74.19554635304758,-227.36085819095135,-67.95602205527481
86,-237.09852186001152,-23.96963202008878,-221.5613834873633,-183.90513080896406,-260.4018188624333
87,-267.979416464281,167.57668326025575,-100.14159704394889,-202.77480922744843,-109.74414677452552
88,-139.45594081476014,-186.45983055088948,-258.5641803994181,-84.72099740107197,-102.97085998834712
89,-296.3854886529674,-122.68967416011955,-199.84687016553858,-128.79887434100075,-41.12179305049481
90,-257.66277972430595,-106.98355021281182,-220.2127539558429,-214.7601099204051,-56.106395809439434
91,-217.05133859071802,-90.65725908015126,-280.5969233640491,-173.47634510959477,-140.72769920344442
92,-267.9286141021818,-13.457803592013846,-68.68273657517175,3.6519157181359816,30.49138699061865
93,-297.86798546752544,-133.9918713281759,-147.73293134991383,-264.4824507410109,-323.30941325620927
94,-181.46497801754725,-189.26400279443965,-73.42747761380025,-217.20316989583358,-247.77411451111672
95,-293.7275923840435,4.70831578769652,-74.56667769850858,-164.26461423253136,-274.4427655318827
96,-0.7072893906587723,-87.24172347086366,-170.1459372960542,-97.9845474456353,-91.97347042352347
97,-293.3603491503492,-121.11005274213673,-235.48693602108034,-174.55027897227066,-33.7042120218086
98,-190.38819718028927,55.460832642846114,-251.89090298196942,120.81852844707541,-63.18569229471259
99,-180.0491975803376,-126.5577074583388,-205.50900914047003,-207.6401537359163,-255.1167560619723
100,-230.67023589445887,-136.73609367257106,-240.25733730922744,-179.72284442306773,-275.8929707167275
101,-218.5598650373262,109.77942246116176,-203.39217686949578,-182.46359926871756,-62.25330266399241
102,-252.47626770817584,-110.26394127736316,-275.11301290715244,-413.39198203710197,-102.4520088511858
103,-372.513529455675,76.76944213474077,-376.54729483357,-290.4859972674074,-75.9187884033926
104,-233.99365254862698,37.94662501997921,-241.46265030901841,-148.9279473735752,-113.90662548839794
105,-215.85315015547835,112.83341088909062,-149.18280068743132,51.69982922824737,-349.9953787750456
106,-248.5967355947683,-297.6396981934877,-441.0586316485397,-57.71249175500568,-85.53378198105722
107,-244.1827059193242,101.00484102950469,-315.4983736488597,-339.5474472005123,-98.94938726588776
108,-258.9193435428308,-102.5965371379075,-213.79998854097653,-217.48648505514848,-52.526819759521004
109,-281.2471408033597,114.38534850178085,-131.08708821972033,-313.56845136459856,-29.78787078971193
110,-151.09221033054908,65.428693272916,-364.20662336253,-291.9697741667188,-70.93787250607416
111,-135.9419761397863,-157.26947849317975,-216.05493633232845,-239.2908961555707,-92.23272530640297
112,-181.42540548451927,156.10036434466326,-13.093366578645316,-44.08969225206007,-188.93826657340287
113,6.7760013431114885,-74.92461417498495,-341.93319945647335,-78.03299528228251,-103.40856744535594
114,-248.28822475143562,186.94562150959362,-156.8514294927649,-251.43931805779854,-290.2386673018117
115,-193.78688663637507,146.54993105655532,-288.7101867821891,-172.88538873454684,-117.5886796865365
116,-224.3545212622571,-95.1993058392886,-114.67263486214641,-263.41912283534896,-92.63830481618689
117,-39.76877381539637,-203.3077541555026,-228.68516505840586,-233.87921791397576,-86.045259435865
118,-262.281945596529,92.74851877958514,-113.06390005340954,-179.80778695082824,-85.65380440303153
119,-187.54207835126374,4.727569063445981,-169.07125316317396,-36.788622911757294,-107.59881375621623
120,-128.07503419301545,95.22359635723693,-210.13463089308178,-223.37143877579086,148.28175288597458
121,-262.00644328701026,-58.86751689978222,-25.010031224241814,-228.0590739914851,196.18848497454826
122,-277.3877480685828,25.53137536485893,-195.51366381485911,-247.78795879604337,184.96886644832807
123,-236.11143823365586,-89.26999767172569,-153.91703130083417,-66.12941598660956,88.67769715387107
124,-395.5068079951857,-269.28279579991204,-474.9581521824594,-249.7330965989878,147.53834196462947
125,-216.78005443297138,-84.49286789894529,-183.4203495941769,-375.54968574150257,-39.35725698713517
126,-182.31373221189432,-7.170507699320837,-266.5344081266221,-228.52485086451028,151.60546139342188
127,-295.924887085768,-116.24085710790365,-485.0755914249698,-498.39837972003687,178.43016964106113
128,-330.4574708202963,-157.8509726661571,-41.276561365104584,-189.4629019638498,81.39837945576836
129,-322.76296460240326,-200.91676149842374,-254.1589859026838,-195.73782120080128,176.75678433634326
130,-306.8301453374621,57.82870464221989,-353.60341748593623,-278.62787757355886,63.38070690300277
131,-176.18998383177035,-202.0006692470571,-101.57140753801396,-234.20092806959977,-171.79512376443256
132,-223.90249733196316,-26.37082886059919,-253.3355055340208,-124.78600010322047,68.62886358950072
133,-158.01698549486727,-135.51531683680395,-338.35426987195615,-162.68770496819366,52.01125608913725
134,-204.9819492129006,7.847813240028747,-227.8768994478898,-207.25842711361176,-50.923443314247734
135,-200.67069037303128,-100.3601331604242,-177.32042448138608,-149.72938273503348,37.91429112437659
136,-200.82805090491178,-166.52919072325466,-234.4690768254926,-372.31019767211865,-80.86230527995198
137,-313.4574312000534,-111.46958776447931,-169.80679406885073,-115.62096654207323,145.75324363167928
138,-313.4508126303894,-225.4957103166612,-228.8941694535239,-150.4035582431527,-167.86993682598006
139,-171.68854551891326,-74.67233711229647,-252.18965892987197,-231.6092962352664,-62.72211036736056
140,-359.94062941240264,-128.24527530972398,-351.1632260734183,-114.99352592885387,134.36059107320872
141,-178.47550130875396,52.82785539626135,-204.02101410888886,-322.8669579233567,-4.495569825283095
142,-206.99120724428417,-103.02003851985428,-273.6702119828907,-146.31783266882377,22.30186916302008
143,-206.02395085962132,-313.90086925392336,-500.4381648552456,-64.86117754998216,12.317939665340411
144,-193.26618312955458,-187.56045272496718,-84.30361073997956,-77.42124116263602,-23.558913485347965
145,-165.69524897540074,-83.33477950297231,-130.30580693180008,-130.00766795051484,-39.26308945982494
146,-218.97593937365534,-209.8517313621271,-193.26141762352813,-2.0479658455139997,-110.19189310638777
147,-233.0315373470979,-200.1564484115823,-214.31126264679534,-149.15521007950824,-143.50185110251428
148,-191.0217714202225,-32.82477595897254,-169.59597986402488,75.40465168200916,-46.790635903126145
149,-182.3922691849193,-108.03248968617166,-165.81992392688414,-50.78378580629255,-135.88178513667998
150,-171.81775030625045,-213.5502395366177,-304.55207297320857,-152.25356144028672,-115.05430338015114
151,-218.49154518482453,-47.247442449904426,-318.8920670835106,-63.57802153302214,-104.35626847762185
152,-175.6804820569626,-142.45460254920337,-52.627658829919724,-71.78562172155797,-117.45051927107774
153,-300.8539575762818,-170.15882125866625,-124.27394685020724,-119.70862474559944,-102.81892357063633
154,-202.7086638632867,-154.0538893765834,-172.38634166441273,8.843794408143141,168.52232679618646
155,-154.38898382074677,-109.72441777229778,-94.33959982943836,-135.35708549509886,-64.05380515994271
156,-403.26160275071373,-161.2984368592773,-91.32168807066606,-140.44142031449482,-138.6021102560956
157,-87.11224224010341,-56.86630222209091,-283.94059257944843,-281.0993111339741,-88.78165273022421
158,-204.06325729771515,147.95435045324547,-138.50619696807746,-225.50009703203227,-32.79223898424293
159,-184.51165671075125,-136.98182371260637,-211.56047531111594,-167.4846218541012,-120.94713965906664
160,43.5359178888413,-171.1588711009238,-190.18989825643524,-145.21463818844163,-155.6708231436786
161,-193.24225665511722,137.9982836949975,-65.87895097839123,-127.51677065973783,-83.52902467699835
162,-325.46299313417876,-135.89488084944617,-67.9394462986316,-85.10755396506006,-115.33427317549027
163,-135.58286321599746,-89.02685722308254,-224.49544927685304,-156.74954784529433,-114.72437164905979
164,-118.04272834298537,-246.7158123961105,-242.71577536775678,-151.3784436647245,-87.87745687933747
165,-170.60364884555486,-153.9849078595521,-112.99006561004757,-145.10549673338474,-119.59050977221625
166,-160.36451413619415,-37.29907883129297,-51.80536507836176,-178.61418313929238,-148.84205479013755
