,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
0,79.0,122.0,78.0,103.0
1,82.0,56.0,66.0,83.0
2,86.0,60.0,71.0,121.0
3,53.0,66.0,51.0,143.0
4,57.0,61.0,87.0,183.0
5,81.0,91.0,81.0,75.0
6,66.0,86.0,61.0,95.0
7,85.0,54.0,64.0,105.0
8,68.0,54.0,64.0,118.0
9,82.0,102.0,80.0,62.0
10,77.0,113.0,59.0,58.0
11,55.0,77.0,58.0,83.0
12,86.0,88.0,81.0,64.0
13,65.0,67.0,69.0,60.0
14,147.0,72.0,73.0,104.0
15,160.0,60.0,138.0,228.0
16,63.0,70.0,54.0,283.0
17,80.0,89.0,662.0,95.0
18,53.0,59.0,62.0,74.0
19,77.0,63.0,68.0,104.0
20,48.0,90.0,98.0,96.0
21,75.0,68.0,71.0,271.0
22,73.0,51.0,58.0,112.0
23,74.0,54.0,103.0,154.0
24,53.0,83.0,85.0,180.0
25,275.0,67.0,118.0,96.0
26,113.0,83.0,126.0,223.0
27,94.0,53.0,501.0,267.0
28,318.0,84.0,434.0,396.0
29,366.0,54.0,204.0,176.0
30,226.0,71.0,230.0,254.0
31,165.0,70.0,182.0,477.0
32,121.0,53.0,116.0,281.0
33,139.0,77.0,104.0,165.0
34,157.0,87.0,166.0,348.0
35,170.0,76.0,138.0,526.0
36,187.0,74.0,213.0,187.0
37,190.0,85.0,267.0,269.0
38,883.0,92.0,109.0,538.0
39,138.0,65.0,717.0,195.0
40,113.0,82.0,375.0,157.0
41,136.0,62.0,144.0,174.0
42,239.0,62.0,190.0,381.0
43,91.0,87.0,161.0,437.0
44,157.0,130.0,121.0,290.0
45,101.0,163.0,113.0,88.0
46,101.0,89.0,114.0,353.0
47,95.0,144.0,243.0,511.0
48,100.0,547.0,125.0,493.0
49,131.0,85.0,383.0,201.0
50,116.0,196.0,119.0,230.0
51,161.0,142.0,537.0,268.0
52,152.0,83.0,736.0,343.0
53,162.0,183.0,650.0,265.0
54,123.0,139.0,769.0,277.0
55,156.0,579.0,758.0,297.0
56,138.0,102.0,183.0,416.0
57,123.0,103.0,1000.0,354.0
58,122.0,300.0,199.0,256.0
59,130.0,573.0,164.0,248.0
60,118.0,158.0,756.0,220.0
61,238.0,499.0,648.0,503.0
62,141.0,342.0,862.0,268.0
63,135.0,558.0,771.0,393.0
64,337.0,582.0,182.0,188.0
65,117.0,765.0,258.0,453.0
66,209.0,136.0,123.0,136.0
67,127.0,722.0,795.0,245.0
68,141.0,202.0,748.0,465.0
69,268.0,819.0,728.0,1000.0
70,168.0,962.0,869.0,142.0
71,278.0,795.0,651.0,196.0
72,260.0,860.0,348.0,157.0
73,129.0,844.0,699.0,82.0
74,197.0,857.0,688.0,158.0
75,114.0,784.0,139.0,172.0
76,218.0,765.0,262.0,100.0
77,208.0,388.0,477.0,88.0
78,123.0,407.0,232.0,89.0
79,266.0,343.0,125.0,82.0
80,199.0,258.0,254.0,132.0
81,131.0,446.0,566.0,235.0
82,392.0,378.0,191.0,186.0
83,125.0,410.0,716.0,67.0
84,127.0,407.0,216.0,84.0
85,225.0,445.0,209.0,83.0
86,217.0,374.0,477.0,62.0
87,116.0,331.0,154.0,104.0
88,195.0,224.0,563.0,77.0
89,108.0,180.0,456.0,64.0
