,Buffer Size = 60000,Buffer Size = 80000,Buffer Size = 100000,Buffer Size = 120000
0,75.0,62.0,76.0,88.0
1,55.0,76.0,85.0,54.0
2,71.0,81.0,124.0,88.0
3,54.0,71.0,139.0,77.0
4,81.0,76.0,106.0,64.0
5,88.0,66.0,159.0,66.0
6,67.0,55.0,83.0,82.0
7,76.0,66.0,83.0,77.0
8,75.0,62.0,71.0,63.0
9,61.0,56.0,75.0,60.0
10,51.0,54.0,97.0,57.0
11,61.0,69.0,83.0,67.0
12,72.0,66.0,88.0,76.0
13,63.0,80.0,103.0,59.0
14,53.0,52.0,178.0,50.0
15,71.0,87.0,299.0,96.0
16,175.0,61.0,368.0,398.0
17,87.0,181.0,151.0,93.0
18,94.0,91.0,171.0,131.0
19,101.0,288.0,214.0,83.0
20,165.0,120.0,107.0,207.0
21,78.0,144.0,180.0,155.0
22,88.0,101.0,305.0,337.0
23,99.0,130.0,124.0,285.0
24,108.0,142.0,108.0,259.0
25,371.0,242.0,327.0,240.0
26,569.0,138.0,315.0,364.0
27,147.0,1000.0,212.0,237.0
28,147.0,260.0,253.0,113.0
29,83.0,66.0,310.0,235.0
30,95.0,125.0,266.0,183.0
31,95.0,154.0,313.0,139.0
32,95.0,93.0,234.0,147.0
33,99.0,239.0,189.0,132.0
34,83.0,162.0,261.0,216.0
35,88.0,193.0,412.0,240.0
36,109.0,253.0,187.0,266.0
37,108.0,235.0,277.0,137.0
38,98.0,173.0,250.0,131.0
39,95.0,68.0,299.0,102.0
40,80.0,204.0,142.0,208.0
41,89.0,193.0,234.0,145.0
42,103.0,163.0,209.0,176.0
43,86.0,196.0,409.0,129.0
44,105.0,132.0,371.0,110.0
45,131.0,147.0,285.0,121.0
46,85.0,121.0,205.0,97.0
47,88.0,144.0,192.0,178.0
48,257.0,118.0,321.0,190.0
49,108.0,231.0,621.0,81.0
50,124.0,337.0,351.0,93.0
51,150.0,93.0,168.0,122.0
52,93.0,347.0,227.0,205.0
53,138.0,138.0,256.0,226.0
54,135.0,162.0,197.0,77.0
55,94.0,312.0,255.0,128.0
56,206.0,222.0,231.0,224.0
57,281.0,145.0,205.0,99.0
58,107.0,111.0,192.0,181.0
59,268.0,144.0,186.0,124.0
60,105.0,120.0,176.0,210.0
61,98.0,110.0,194.0,127.0
62,139.0,94.0,181.0,242.0
63,121.0,139.0,185.0,225.0
64,161.0,370.0,169.0,302.0
65,149.0,377.0,173.0,206.0
66,152.0,300.0,202.0,182.0
67,401.0,155.0,195.0,230.0
68,93.0,175.0,201.0,276.0
69,378.0,120.0,177.0,109.0
70,210.0,114.0,172.0,188.0
71,169.0,126.0,254.0,205.0
72,164.0,215.0,100.0,94.0
73,103.0,236.0,168.0,277.0
74,168.0,138.0,177.0,204.0
75,1000.0,133.0,178.0,184.0
76,129.0,94.0,191.0,168.0
77,256.0,157.0,211.0,333.0
78,98.0,100.0,252.0,155.0
79,98.0,219.0,374.0,307.0
80,94.0,284.0,173.0,248.0
81,100.0,232.0,184.0,175.0
82,96.0,224.0,173.0,176.0
83,99.0,237.0,176.0,230.0
84,101.0,287.0,173.0,219.0
85,100.0,194.0,180.0,194.0
86,96.0,229.0,205.0,205.0
87,93.0,240.0,177.0,180.0
88,103.0,266.0,158.0,208.0
89,97.0,210.0,188.0,322.0
90,92.0,395.0,233.0,297.0
91,97.0,229.0,175.0,303.0
92,109.0,263.0,190.0,146.0
93,97.0,135.0,161.0,215.0
94,178.0,204.0,156.0,286.0
95,150.0,86.0,277.0,158.0
96,90.0,116.0,155.0,239.0
97,249.0,288.0,213.0,167.0
98,202.0,109.0,221.0,160.0
99,207.0,465.0,210.0,172.0
100,268.0,96.0,309.0,145.0
101,97.0,378.0,240.0,217.0
102,94.0,107.0,174.0,287.0
103,96.0,286.0,387.0,249.0
104,102.0,254.0,140.0,141.0
105,256.0,127.0,289.0,237.0
106,176.0,414.0,274.0,140.0
107,92.0,331.0,174.0,130.0
108,199.0,238.0,241.0,169.0
109,211.0,214.0,295.0,287.0
110,251.0,187.0,428.0,138.0
111,214.0,190.0,281.0,288.0
112,94.0,441.0,206.0,140.0
113,427.0,133.0,413.0,224.0
114,256.0,213.0,144.0,242.0
115,92.0,178.0,174.0,197.0
116,100.0,310.0,355.0,259.0
