,Initial RAR 0.3,Initial RAR 0.4,Initial RAR 0.5,Initial RAR 0.6,Initial RAR 0.7
0,-442.42594587204155,-110.94600728412365,-149.64807734605205,-463.63299995587226,-377.17759604119703
1,-543.7434921219499,-129.76628629690737,-131.63273254488976,-267.48018197866804,-90.27990426298445
2,-300.92845501908926,-177.4656063464675,-264.1272619099629,-333.53138349096315,-142.55288605540562
3,-536.3988017594072,-169.12907391303517,-219.02247885914488,-336.4003236627127,2.6937281197702703
4,-568.9339430710497,-253.8056034679937,-358.5807104634847,-503.04040183367056,-273.7334565993843
5,-587.9753510591602,-144.93113493808147,-257.90617785491406,-326.39284039677676,-329.26472850483975
6,-340.7559679296645,-327.98632539721564,11.160526859662781,-401.7667559467473,-409.8146147126791
7,-576.1526500219425,-139.64662520503725,40.837933373794385,-542.4270066912017,-542.915342065776
8,-242.1605930109441,-250.497514782626,-247.5994872832642,-359.469042602327,-55.54347534654624
9,-619.2077415687851,-138.3712888580622,-244.6023242483954,-596.2580968043217,-229.11952765321095
10,-630.7158243725905,-305.54533903198444,-231.54968089841591,-570.429267481225,-190.12527104390898
11,-243.60318503598992,-252.4269023968789,-305.99079457428275,-105.9140605207392,-366.8795784191643
12,-287.1544589110679,-309.72750761799364,-384.08933993090244,-38.05334971155918,-271.100166004058
13,-522.3908873233966,-497.4694623677582,-106.13906747578329,-339.7129649567572,-292.19530342703536
14,-491.2976561644035,-32.71520137496863,-844.0647097123491,-58.663278822291986,-336.97779108625764
15,-251.01530978023877,-135.20675734041012,4.13425527307686,-328.3313720790816,-31.675981542676638
16,-130.99471660482357,-71.1106668575164,-189.8765362483259,-59.78444316964484,-278.46686802730426
17,-130.0376165887978,-197.2355412894413,-284.6556741762131,-40.09416574188518,-167.306314650976
18,-162.04296773188508,-225.4462505536171,-403.4960843836683,-426.79959736633367,-59.31962457924598
19,-180.830030289689,-98.4447613268695,-364.5009254433142,-182.88447360482144,-243.46341591462158
20,-163.291934713135,-178.37569600192052,-164.17134955444178,-201.40301311604327,-78.63676880687785
21,-146.8675107607275,-142.0430969513326,43.10171379969859,-229.69782033439486,-118.22361632262886
22,-308.0097488636445,-114.11759478030915,-43.90638192594674,-76.25540213873472,-131.00165736500674
23,-189.40133552864518,-183.29371124216732,-57.992066330472085,-212.67898221349964,-290.2853732819665
24,-552.4326401740357,-279.36132162944114,-569.2557005963819,-219.1999383728874,-127.72909980638609
25,-170.06320850983394,-543.8720334750244,-140.98983312754024,-171.49403670389518,-75.98978112797298
26,-113.12953770947321,-107.02157173474535,-9.48236391649138,-541.4461611961308,-19.564315526159646
27,-133.01074108094735,-289.23968132281146,72.37607529145316,-283.03434386588003,-238.90006357669048
28,-168.82682091136297,-162.66021526986174,-74.42505119148557,-349.17589252671166,-120.31703159394274
29,-150.6110122679134,-126.28557604576628,-60.326672913600596,-524.7547994279663,-85.26526493573131
30,-363.3427770649509,-170.14319161240638,-197.47760153665934,-526.8276542011988,-55.720897571884066
31,-405.1166089570938,-318.8557219099856,-131.85584488627245,-372.7679174705012,-78.63987417009541
32,-300.62313548637917,-198.51073309252655,28.457837146723193,-262.0833631903713,-110.25090964334186
33,-192.59322364078275,-413.06310984609956,-143.04038815470415,-263.7419720083635,-70.05639911159638
34,-102.32348926187366,-343.0305290019061,-249.56462186001323,-258.2045717584077,-151.3419624458314
35,-44.14648289781327,-257.69953522207857,-375.32502671026873,-213.91656223937437,-153.63181580780412
36,-289.5536151373036,-264.7089329039081,-152.36227371649068,12.102724251514289,-184.86537322955894
37,-276.491760793268,-113.10518976156482,-220.48464772890424,-95.14864491720178,-76.78725056131574
38,-495.66643950611183,-186.0873666434722,-327.62908509802514,-97.37902302432767,-236.7967059448459
39,-286.5566196934853,-118.97593239070844,-375.12737023093194,-89.79367616605155,0.09584548015834438
40,-247.80277506828986,-165.19541793187943,-111.68463816374174,-302.02477490382654,-46.21767920969461
41,-81.6611228505622,-333.0378378862604,-69.3643627132422,-200.58543932455262,-77.83734384662037
42,-145.2338498304868,-193.44479069590096,-67.87345488387204,-255.8623229444644,-41.91456290174981
43,-182.24643205512675,-56.349454104365414,-367.74422401983475,-215.0941916603992,-139.9572667383182
44,-129.68366987456287,-168.9757287373962,21.072917312947823,28.46890282253716,34.24117993589063
45,-110.46136901256197,-154.3293240217185,-273.98869723153996,-187.5958079690874,-167.0518807166498
46,-333.30225501530924,-162.7443099525774,-98.00085109767156,-72.70920589724966,-308.54937477752054
47,-174.95297069898695,-72.9669291122379,-44.63601858592616,-270.489120646022,-2.4783915649388177
48,-104.40524555109472,-102.68848304914304,-69.05186169644823,-200.2471800977525,53.58399838809579
49,-389.3384333124172,-227.014837902127,-129.03673175981766,-62.182457218962085,-89.41126289819519
50,-595.332796354054,-243.06551318487007,-244.30962862462766,-223.9174011394972,-108.21504883863767
51,-367.8727843800167,-579.9634061725724,-228.14347241047483,-130.33089219969855,-208.44121333959572
52,-190.39087681717646,-105.96040725670977,-181.25479779491758,-218.7440475301012,-128.42324751661644
53,-195.5901045272169,-95.31031137655263,-207.22821577919197,-225.29766436975473,-172.82507508902555
54,-101.53250979166587,-82.41174869107874,-230.6238721323791,-302.9992257762365,-68.6472758840527
55,-243.1884742714411,-104.46849695686501,-217.4847919734514,-221.24105098708782,-34.5016798819446
56,-202.45846186827174,-243.80999220391163,-76.024605231005,-4.661435830448767,-128.02792428932895
57,-182.63769852319922,-277.9255381211511,-200.30286869463822,124.8461459058017,13.836794547920269
58,-167.5185448454644,-57.085549766865945,-191.24998068757247,-175.96464649612642,-78.43876253015503
59,-136.01589285791204,-159.90510257182038,-58.46688937297178,-190.44217333978787,-141.07938418519177
60,-158.1848500886579,-254.06009030658893,-64.88157919907194,-79.60237440470858,83.49983083940008
61,-151.3087799016261,-241.5705695134063,-240.0273874801489,-313.07227190212814,-100.56462215950523
62,-121.23337009613215,-307.60241698976586,-206.863395893556,-419.2020679363477,117.1309584872044
63,-163.8379022890166,-92.86194777437414,-214.95152525925613,-130.7558757061071,-35.65454032862161
64,-241.80195409476497,-20.855379908703767,-265.06092742907015,-152.84750545007728,39.94476280459436
65,-299.92647551368793,-152.16693455190205,-189.93274328660948,-240.15574533097282,-70.45869640101138
66,-167.5728104754299,-171.52838387561206,-197.83872039992394,-119.96674983985615,-116.73002286360217
67,-143.60305815667243,-134.96598793263678,-50.25820443919899,-129.57358710936091,-265.1423040751866
68,-245.31893896836627,-200.85346651453483,18.622168975730375,-215.6767818459898,-477.8193093433127
69,-348.09192819255065,-104.84402984905846,-394.0486918088163,-221.20498948212096,-244.32487497643794
70,-76.7787032375621,-167.27114034282187,58.332474892285376,-42.96868440629591,-536.01179002732
71,-228.4671065495711,-303.07450343220694,5.332005453690016,-68.87950466864464,14.127209419658596
72,-165.5239626219282,-280.6928270112229,-231.2172072352068,-248.19087145102156,-67.90298391434362
73,-219.70386030039597,-284.0212382198604,-239.7446805635505,-275.8347908509662,38.622453274379176
74,-349.7181049338857,-47.64113094250064,-73.2769760705992,-191.95165165588935,-109.6272643062383
75,-304.6094957731059,-164.347861617291,-36.40858087350924,-236.27459092804892,4.419809672037715
76,-92.68809893628287,-85.4874618328256,1.0848846985102654,-397.08424898806686,-24.574221497288747
77,-475.1355932571635,-213.41392199828948,22.850060058558114,0.9190148209832216,94.25690931939755
78,-468.7951572107236,-155.52181433491302,-116.23457897284436,-102.20811741329314,49.04923382908299
79,-214.9836581708522,-152.73216610282128,-175.15481429373307,-17.719401821589926,115.86380472204
80,-277.8949746763677,-132.64195778304995,-195.3827410922397,-85.60160071887569,184.61939597780196
81,-236.4655548080202,-72.69117250264756,-175.4054755279569,-31.88865092782177,-21.100681697835867
82,-109.15343368182437,-76.86291373428132,-54.57870681859432,-70.04986574259496,227.02073905345716
83,-98.7021736455352,-134.445258803865,-262.86759533988777,19.568218687335303,-19.723410504273247
