,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
0,57.0,61.0,109.0,329.0
1,52.0,242.0,118.0,198.0
2,78.0,84.0,106.0,74.0
3,54.0,107.0,123.0,143.0
4,58.0,140.0,139.0,79.0
5,88.0,99.0,178.0,79.0
6,66.0,81.0,103.0,126.0
7,81.0,80.0,79.0,62.0
8,73.0,159.0,87.0,86.0
9,71.0,115.0,78.0,102.0
10,69.0,103.0,88.0,99.0
11,63.0,112.0,106.0,99.0
12,70.0,82.0,69.0,113.0
13,58.0,90.0,893.0,57.0
14,62.0,88.0,396.0,61.0
15,73.0,81.0,632.0,74.0
16,98.0,93.0,643.0,99.0
17,64.0,141.0,607.0,66.0
18,68.0,115.0,231.0,153.0
19,51.0,136.0,202.0,129.0
20,62.0,117.0,241.0,659.0
21,53.0,120.0,111.0,369.0
22,78.0,102.0,190.0,255.0
23,54.0,117.0,193.0,96.0
24,71.0,116.0,167.0,229.0
25,108.0,722.0,172.0,400.0
26,582.0,502.0,92.0,552.0
27,98.0,723.0,103.0,516.0
28,68.0,94.0,171.0,679.0
29,87.0,72.0,114.0,614.0
30,86.0,199.0,123.0,655.0
31,54.0,517.0,134.0,126.0
32,76.0,87.0,113.0,553.0
33,62.0,525.0,125.0,131.0
34,88.0,273.0,140.0,141.0
35,81.0,795.0,114.0,177.0
36,65.0,77.0,106.0,89.0
37,87.0,60.0,118.0,114.0
38,60.0,80.0,126.0,99.0
39,55.0,69.0,90.0,151.0
40,79.0,92.0,103.0,160.0
41,59.0,82.0,135.0,124.0
42,58.0,100.0,107.0,153.0
43,61.0,120.0,111.0,152.0
44,87.0,94.0,110.0,154.0
45,64.0,62.0,104.0,175.0
46,62.0,149.0,85.0,157.0
47,80.0,64.0,80.0,143.0
48,57.0,58.0,70.0,147.0
49,109.0,59.0,103.0,101.0
50,86.0,79.0,123.0,126.0
51,55.0,53.0,82.0,127.0
52,62.0,79.0,88.0,124.0
53,86.0,63.0,161.0,142.0
54,69.0,70.0,111.0,91.0
55,56.0,94.0,157.0,160.0
56,67.0,74.0,214.0,149.0
57,88.0,55.0,83.0,187.0
58,70.0,71.0,167.0,207.0
59,51.0,63.0,88.0,170.0
60,65.0,91.0,113.0,190.0
61,66.0,71.0,127.0,151.0
62,66.0,73.0,165.0,191.0
63,90.0,68.0,169.0,242.0
64,63.0,61.0,127.0,206.0
65,90.0,74.0,125.0,178.0
66,62.0,94.0,104.0,170.0
67,75.0,106.0,182.0,215.0
68,89.0,175.0,162.0,174.0
69,72.0,60.0,193.0,214.0
70,92.0,89.0,179.0,208.0
71,77.0,57.0,154.0,101.0
72,63.0,85.0,182.0,129.0
73,55.0,85.0,178.0,189.0
74,55.0,93.0,101.0,220.0
75,59.0,59.0,113.0,199.0
76,63.0,89.0,195.0,197.0
77,54.0,66.0,276.0,177.0
78,57.0,87.0,277.0,228.0
79,87.0,73.0,111.0,241.0
80,71.0,64.0,98.0,232.0
81,56.0,114.0,127.0,284.0
82,75.0,76.0,143.0,217.0
83,52.0,80.0,108.0,170.0
84,65.0,62.0,116.0,309.0
85,83.0,74.0,107.0,173.0
86,80.0,88.0,164.0,173.0
87,68.0,122.0,185.0,237.0
88,57.0,114.0,114.0,219.0
89,61.0,95.0,106.0,147.0
90,55.0,98.0,113.0,118.0
91,75.0,74.0,205.0,241.0
92,51.0,110.0,138.0,227.0
93,53.0,68.0,105.0,113.0
94,64.0,67.0,151.0,98.0
95,53.0,74.0,192.0,159.0
96,81.0,57.0,194.0,355.0
97,118.0,75.0,333.0,174.0
98,55.0,77.0,256.0,121.0
99,89.0,72.0,223.0,150.0
100,67.0,108.0,304.0,289.0
101,76.0,51.0,362.0,262.0
102,61.0,83.0,166.0,309.0
103,89.0,90.0,109.0,335.0
104,69.0,69.0,190.0,313.0
105,67.0,68.0,242.0,271.0
106,54.0,62.0,222.0,165.0
107,67.0,52.0,312.0,207.0
108,52.0,79.0,431.0,172.0
109,162.0,97.0,382.0,195.0
110,54.0,50.0,133.0,160.0
111,66.0,58.0,114.0,235.0
112,90.0,61.0,169.0,120.0
113,97.0,66.0,108.0,189.0
114,52.0,131.0,328.0,230.0
115,89.0,80.0,223.0,207.0
116,80.0,76.0,273.0,149.0
117,83.0,52.0,178.0,221.0
118,68.0,82.0,117.0,224.0
