,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
0,-105.6995243535766,-490.82801712361845,-390.90472995664976,-330.88427412846784
1,-84.52763797025858,-445.4595720889617,-537.0073276796625,-463.7780301069064
2,-417.8431654531797,-494.06371729076943,-416.0646311521672,-342.4292458849097
3,-472.88913571481703,-1062.4935612299976,-557.9727822194483,-281.77842616523526
4,-158.23426955990556,-442.5713937164433,-465.0038888298417,-303.7629823508991
5,-129.22855793479573,-627.0203399868808,-368.36923961162097,-384.13447923065905
6,-351.0952874625183,-771.9865574307262,-290.8683473159706,-270.18292648034287
7,-381.05030875273144,-481.02568653008325,-401.03053292721427,-403.540136481898
8,-418.9733748987618,-412.64844441369195,-485.8274800056293,-461.51752003182224
9,-154.27789949510918,-480.3807292969635,-319.87668774890136,-311.7500350541179
10,-485.2902296186889,-471.4801187312071,-489.37789786070863,-314.93657069360427
11,-95.0429840238767,-527.6072779175342,-418.7340769759993,-333.90371032968795
12,-175.36963922851078,-561.3268990873412,-141.49999616770933,-299.8264055870066
13,-159.00898101025217,-439.12649408461886,-111.81838625423651,-373.75490195303297
14,-163.48107173371,-491.3632896300725,-116.96353730030825,-352.01528629346876
15,-199.68075785101098,-825.47938073089,-364.7151981853627,-319.9322274712172
16,-654.6094131145319,-256.70973875124855,-64.8670364666683,-306.51144115168705
17,-50.9002036572158,-495.60877104699597,-323.9671302714846,-554.7357679765082
18,38.893045460229644,-287.85262218951584,-177.55059721769044,-355.04312162107533
19,-177.79667066218684,-152.99458497392155,-249.41926842706997,-569.5339087019938
20,-548.9868854083531,-131.9387039503212,-204.4744827728708,-290.1597216417639
21,-231.98644843205224,-353.3348740218615,-223.0770104954504,-347.6923963403099
22,-412.2157881904558,-206.2789091850678,-168.0607999036342,-388.78785575033584
23,-387.96136953339226,-166.3516660848475,-259.5953853758916,-414.04630649004406
24,-60.877434044621964,-328.9049343929591,-221.20521087514686,-292.03097279261124
25,-322.1965674216833,-113.4165193440211,-255.70309368981913,-366.75578374562843
26,-149.57234219106485,-373.970438999384,-187.07572293508835,-142.05088081486218
27,-396.11649999543636,-471.6011334432604,-181.57900820291638,-216.65625546953208
28,-260.38804977508016,-68.56427922391737,-288.94001852906194,-165.87290041436057
29,-360.9771266110098,-147.1177809860921,-134.50446395576205,-182.86421247827195
30,-415.2194179163373,-145.85454711756978,-121.21972721116609,-169.15854800142594
31,-75.48003596584365,-359.3812057766146,-321.91772087541716,-173.0218695610797
32,-79.0180209951065,-163.65983778411092,-132.24001903710183,-148.81269478069083
33,-73.02919524904044,-154.75822561414424,-99.5503692287775,-194.7211322679425
34,-156.42760615830485,-339.506530340408,-116.48772196171811,-139.51444860245005
35,-87.28656699505073,-200.96687138000476,-119.8272247881045,-72.26304524776472
36,-209.77124462361172,-265.43962677230684,-52.36869390205209,-169.35118058280608
37,-12.35857878074357,-562.8021304812034,-206.23000072152982,-125.6191061610423
38,-110.72723131522363,-225.7616005886808,-77.35441719385699,-152.64989334140355
39,-191.52416841774826,-523.1780001747493,-309.82487417543416,-131.66288629635693
40,-137.9576458148664,-352.2212377633252,-174.51409415602257,-100.45822230221957
41,-321.5631903894392,-549.8589669772603,-123.21958925944442,-206.02898207961087
42,-304.09634221045974,-209.8470695011252,-279.02730109065095,-497.1841484680403
