,Buffer Size = 60000,Buffer Size = 80000,Buffer Size = 100000,Buffer Size = 120000
0,76.0,63.0,83.0,48.0
1,95.0,64.0,87.0,55.0
2,133.0,61.0,111.0,78.0
3,124.0,61.0,138.0,61.0
4,79.0,52.0,143.0,96.0
5,95.0,88.0,80.0,73.0
6,105.0,72.0,119.0,72.0
7,117.0,66.0,186.0,76.0
8,154.0,79.0,164.0,57.0
9,133.0,60.0,56.0,70.0
10,78.0,79.0,53.0,71.0
11,70.0,62.0,76.0,62.0
12,79.0,61.0,126.0,61.0
13,73.0,61.0,125.0,62.0
14,93.0,54.0,218.0,81.0
15,76.0,62.0,159.0,95.0
16,111.0,196.0,1000.0,64.0
17,102.0,77.0,166.0,53.0
18,106.0,100.0,97.0,60.0
19,104.0,88.0,125.0,69.0
20,123.0,70.0,134.0,84.0
21,183.0,69.0,140.0,75.0
22,216.0,66.0,140.0,63.0
23,87.0,66.0,105.0,59.0
24,395.0,56.0,116.0,93.0
25,179.0,90.0,81.0,56.0
26,153.0,52.0,81.0,56.0
27,240.0,64.0,68.0,54.0
28,124.0,89.0,88.0,80.0
29,171.0,88.0,78.0,79.0
30,189.0,138.0,62.0,70.0
31,104.0,92.0,93.0,72.0
32,163.0,93.0,64.0,64.0
33,112.0,130.0,71.0,90.0
34,135.0,117.0,162.0,66.0
35,227.0,77.0,90.0,86.0
36,200.0,82.0,74.0,63.0
37,126.0,72.0,55.0,61.0
38,211.0,80.0,57.0,64.0
39,237.0,74.0,60.0,88.0
40,79.0,83.0,64.0,74.0
41,260.0,104.0,87.0,60.0
42,177.0,123.0,64.0,55.0
43,142.0,232.0,65.0,62.0
44,197.0,109.0,107.0,83.0
45,210.0,350.0,74.0,68.0
46,213.0,321.0,89.0,57.0
47,159.0,611.0,119.0,70.0
48,106.0,124.0,87.0,80.0
49,172.0,122.0,140.0,90.0
50,164.0,228.0,76.0,90.0
51,243.0,298.0,86.0,69.0
52,347.0,186.0,57.0,89.0
53,153.0,96.0,92.0,74.0
54,260.0,173.0,93.0,57.0
55,180.0,502.0,109.0,64.0
56,157.0,176.0,79.0,76.0
57,394.0,145.0,88.0,51.0
58,305.0,144.0,117.0,73.0
59,341.0,91.0,58.0,52.0
60,137.0,170.0,95.0,64.0
61,258.0,165.0,61.0,58.0
62,363.0,158.0,88.0,59.0
63,623.0,172.0,55.0,67.0
64,244.0,200.0,68.0,59.0
65,476.0,159.0,67.0,86.0
66,430.0,248.0,78.0,86.0
67,393.0,199.0,80.0,72.0
68,237.0,81.0,64.0,89.0
69,559.0,177.0,68.0,55.0
70,259.0,174.0,79.0,60.0
71,858.0,158.0,64.0,90.0
72,317.0,193.0,72.0,71.0
73,274.0,158.0,84.0,78.0
74,287.0,197.0,59.0,60.0
75,247.0,102.0,87.0,66.0
76,255.0,94.0,80.0,68.0
77,80.0,208.0,72.0,69.0
78,137.0,362.0,59.0,59.0
79,194.0,177.0,57.0,82.0
80,100.0,231.0,65.0,82.0
81,229.0,312.0,69.0,81.0
82,297.0,637.0,60.0,90.0
83,206.0,168.0,57.0,64.0
84,208.0,281.0,54.0,59.0
85,249.0,230.0,64.0,80.0
86,153.0,336.0,84.0,66.0
87,175.0,371.0,68.0,85.0
88,157.0,315.0,62.0,66.0
89,113.0,266.0,85.0,65.0
90,274.0,324.0,75.0,56.0
91,179.0,228.0,73.0,73.0
92,263.0,239.0,80.0,67.0
93,221.0,195.0,91.0,55.0
94,165.0,181.0,80.0,84.0
95,168.0,301.0,82.0,60.0
96,286.0,182.0,85.0,62.0
97,207.0,170.0,65.0,74.0
98,196.0,311.0,101.0,59.0
99,83.0,250.0,65.0,65.0
100,123.0,226.0,78.0,63.0
101,149.0,215.0,88.0,83.0
102,224.0,305.0,75.0,75.0
103,90.0,198.0,79.0,64.0
104,245.0,288.0,70.0,56.0
105,320.0,349.0,76.0,57.0
106,282.0,189.0,65.0,68.0
107,130.0,311.0,72.0,79.0
108,201.0,276.0,63.0,84.0
109,157.0,152.0,86.0,64.0
110,170.0,213.0,88.0,55.0
