,one 64 layer,one 128 layer,two 64 layer
60,-108.27304959564262,-200.97047573826978,-223.7064149679484
61,-61.65955029883246,-92.17696121968153,-132.28785394308943
62,-61.84214409588179,95.42498767385031,-79.65825552480669
63,-153.01568454233174,-423.78848016797826,-72.2742649233106
64,-262.6984305124389,-259.8538588985282,-74.05355056304441
65,-34.48903020121317,-133.91005281649214,-399.18422194407447
66,-62.03090950141895,-213.76875056474262,-108.97184640714438
67,-154.7691303290734,-277.52553470496196,-119.09497890153325
68,-209.31456983894725,-122.95193238810708,-212.7672929281164
69,-53.599992144908995,-225.7961889167342,-430.61917357327815
70,-406.0144852723489,-87.9625488346877,-483.3918813306765
71,-129.99242848585263,-211.38220066102025,-426.63867665364336
72,-185.47776075914794,-314.2025602809972,-713.5102888199647
73,-74.02269873531685,-252.28286757128248,-635.3795706663982
74,-83.56792271018006,-331.3977811366094,-539.7109934376952
75,-149.0303374544045,-96.72519729997268,-535.0958769433918
76,-113.00424636774346,-71.57003274117776,-365.9449533728937
77,-218.88024750448824,-156.75841830671402,-432.2099718221443
78,-201.21776522920925,-147.68955662286734,-64.62022928250074
79,-113.98282812177222,-127.95938160145889,-375.46135815321156
80,-203.22608219474102,-43.38993245069525,-324.75484629315156
81,-89.1720335721292,-153.54718559936236,158.6992706839264
82,-74.34055353988072,-68.57208567619134,-92.67314101868396
83,-48.71247817862851,-292.99456938156914,-124.05414395623893
84,-158.4001277289812,-225.5666980116028,-93.27969895663318
85,-310.38905681761645,-51.77305021038342,-369.7800136351339
86,-186.47860647698326,-258.9144533003649,-87.47050834168606
87,-307.6448066868038,-285.8340923165368,-458.1410143631221
88,-191.03993620108943,25.472806576888132,-259.005178438042
89,35.1037426350341,-229.74965961274242,-221.59484564160653
90,-190.98798003745242,-111.59851126480012,-124.72516937566445
91,-49.939559739614296,-253.52993231706975,217.11389671105877
92,-285.25182045835857,-216.2092141768892,-134.095806467908
93,94.02009179788021,-209.72905526042547,-148.77252094733967
94,-65.82016995843662,-320.6224400957575,-132.47303416383616
95,-241.83811746127122,-689.3517506359534,-62.99784936032073
96,-189.70554552587177,-140.00774175740827,-332.64947947783116
97,-109.33522837770624,-200.637809393268,-62.801198043385924
98,-45.998394146918685,-463.02064268552607,183.3135597643689
99,-241.86856912369262,-102.35469942437129,-219.0900499776825
100,-74.44832694921651,-240.93872591575675,-347.53551975358187
101,43.347443453387484,-190.12074241823876,-331.20349150851507
102,-167.42715449602628,-100.9843835396624,-532.8579266176685
