,one 64 layer,one 128 layer,two 64 layer
0,108.0,58.0,76.0
1,97.0,83.0,101.0
2,61.0,78.0,84.0
3,90.0,81.0,140.0
4,76.0,77.0,161.0
5,64.0,74.0,79.0
6,141.0,56.0,107.0
7,102.0,54.0,96.0
8,67.0,82.0,72.0
9,71.0,58.0,285.0
10,64.0,74.0,77.0
11,64.0,55.0,84.0
12,132.0,55.0,61.0
13,207.0,88.0,165.0
14,133.0,55.0,109.0
15,107.0,176.0,101.0
16,106.0,133.0,299.0
17,103.0,87.0,163.0
18,96.0,80.0,143.0
19,101.0,107.0,365.0
20,128.0,61.0,556.0
21,90.0,134.0,186.0
22,121.0,95.0,310.0
23,108.0,80.0,153.0
24,97.0,80.0,304.0
25,208.0,74.0,214.0
26,128.0,77.0,141.0
27,177.0,78.0,97.0
28,174.0,56.0,213.0
29,74.0,77.0,136.0
30,116.0,200.0,160.0
31,89.0,93.0,70.0
32,140.0,70.0,215.0
33,245.0,266.0,158.0
34,127.0,96.0,446.0
35,137.0,93.0,520.0
36,249.0,74.0,520.0
37,248.0,180.0,412.0
38,236.0,276.0,388.0
39,108.0,91.0,410.0
40,213.0,499.0,547.0
41,237.0,86.0,249.0
42,258.0,200.0,546.0
43,124.0,224.0,373.0
44,192.0,84.0,383.0
45,211.0,221.0,449.0
46,99.0,91.0,553.0
47,314.0,83.0,425.0
48,218.0,80.0,489.0
49,176.0,126.0,561.0
50,187.0,136.0,573.0
51,106.0,210.0,536.0
52,108.0,139.0,479.0
53,101.0,262.0,688.0
54,110.0,65.0,658.0
55,134.0,126.0,543.0
56,183.0,250.0,245.0
57,117.0,106.0,225.0
58,181.0,132.0,482.0
59,498.0,289.0,158.0
60,140.0,82.0,180.0
61,99.0,333.0,460.0
62,181.0,283.0,407.0
63,113.0,320.0,473.0
64,186.0,291.0,647.0
65,223.0,381.0,496.0
66,215.0,353.0,486.0
67,251.0,117.0,459.0
68,187.0,395.0,516.0
69,158.0,493.0,522.0
70,207.0,219.0,514.0
71,1000.0,541.0,522.0
72,200.0,493.0,515.0
73,140.0,88.0,538.0
74,150.0,449.0,581.0
75,189.0,502.0,565.0
76,366.0,72.0,541.0
77,206.0,485.0,577.0
78,210.0,79.0,552.0
79,218.0,88.0,536.0
80,272.0,398.0,621.0
