,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
0,81.0,55.0,91.0,71.0
1,80.0,66.0,77.0,95.0
2,124.0,51.0,176.0,81.0
3,78.0,71.0,59.0,93.0
4,128.0,80.0,80.0,90.0
5,103.0,64.0,115.0,99.0
6,83.0,78.0,126.0,91.0
7,163.0,73.0,105.0,73.0
8,152.0,78.0,85.0,107.0
9,86.0,86.0,78.0,85.0
10,57.0,64.0,67.0,131.0
11,104.0,84.0,57.0,76.0
12,70.0,52.0,76.0,86.0
13,94.0,70.0,82.0,94.0
14,86.0,52.0,822.0,64.0
15,80.0,110.0,85.0,52.0
16,80.0,57.0,352.0,69.0
17,63.0,67.0,94.0,111.0
18,55.0,77.0,228.0,102.0
19,61.0,74.0,145.0,147.0
20,130.0,78.0,146.0,67.0
21,157.0,52.0,109.0,121.0
22,115.0,57.0,124.0,53.0
23,61.0,62.0,195.0,118.0
24,337.0,55.0,197.0,155.0
25,118.0,70.0,83.0,231.0
26,147.0,68.0,86.0,203.0
27,91.0,72.0,148.0,114.0
28,418.0,80.0,93.0,89.0
29,279.0,80.0,81.0,82.0
30,104.0,79.0,102.0,1000.0
31,82.0,80.0,196.0,325.0
32,91.0,53.0,203.0,414.0
33,91.0,62.0,650.0,249.0
34,85.0,78.0,204.0,516.0
35,982.0,84.0,191.0,265.0
36,798.0,57.0,121.0,298.0
37,729.0,76.0,233.0,283.0
38,648.0,86.0,194.0,209.0
39,646.0,70.0,90.0,327.0
40,760.0,77.0,82.0,311.0
41,732.0,65.0,81.0,284.0
42,655.0,61.0,78.0,209.0
43,933.0,72.0,72.0,408.0
44,724.0,74.0,97.0,322.0
45,591.0,61.0,86.0,209.0
46,288.0,76.0,75.0,199.0
47,302.0,52.0,83.0,385.0
48,350.0,62.0,89.0,328.0
49,116.0,81.0,108.0,410.0
50,454.0,53.0,59.0,114.0
51,723.0,64.0,111.0,58.0
52,475.0,68.0,94.0,134.0
53,563.0,74.0,55.0,169.0
54,90.0,77.0,99.0,120.0
55,527.0,52.0,166.0,82.0
56,474.0,63.0,203.0,74.0
57,105.0,96.0,127.0,520.0
58,106.0,53.0,138.0,630.0
