,one 64 layer,one 128 layer,two 64 layer
0,-280.98251353802675,-686.0401071117931,-493.0496861247022
1,-6.263560444512208,-376.9330878571699,-513.2539285687196
2,-283.3377219870181,-766.5018760529779,-599.9209100575356
3,-224.41258827314613,-540.6384655625536,-991.5093460703505
4,-462.2595787183051,-774.3333823065167,-649.4422791493292
5,-634.7328116003845,-501.0691896493945,-832.0347862069359
6,-171.39739443485334,-645.8341236714168,-787.4490930220668
7,-300.6052899617408,-483.12383576630054,-625.583886971944
8,-63.273732984038645,-520.9228383572164,-827.1949472662975
9,-389.5421203781754,-874.108798074902,-539.5106656596854
10,-403.0754934851532,-360.88144108729375,-468.8176130634635
11,-346.70516393533876,-303.81563750957594,-730.7021276037101
12,-366.74792946606544,-502.4572996895176,-732.4109920347455
13,-102.0017969838741,-464.91481373753925,-435.11124938073107
14,-124.59995175178852,-681.9362078065111,-410.85495832141976
15,-204.470659011541,-531.8318071093383,-198.86132550566145
16,-295.36023591384856,-258.58776729826263,-304.47139308463375
17,-392.0757300406293,-125.91845999194419,-183.11019422282226
18,-95.92896263325395,-101.73195520284256,-124.24457765782472
19,-292.7899927763213,-100.08145437644458,-147.03407328608574
20,-91.38572865453999,-154.4549038473475,-221.70815968462279
21,-104.44610226336457,-245.92033168883717,-591.5627782629601
22,-448.897351845203,-116.35186113556485,-131.98138556347283
23,-142.63234340128415,-209.4003399620881,-167.83536405155024
24,-281.70360930516904,-223.2623781636156,-433.7802232791819
25,1.2661007059987384,-147.49289755323568,-130.14108438855217
26,-142.18956496964736,-150.97312737328375,-166.3449241722476
27,-136.1726758651027,-162.24348666939375,-139.8367138095956
28,-31.95719040294611,-8.639121907212711,-222.76212293918135
29,-26.41470866866665,-128.14851886791928,-152.3399738174426
30,-123.26511438562196,-153.00120122394964,-267.8731984461924
31,125.50659741973183,-114.04820715474636,-334.70091317710524
32,-60.6368746529231,-149.49146404836435,-111.46766410443034
33,-82.58071602874472,-135.65992799903796,-212.4592231962619
34,-130.29842031219167,-130.71903747581433,-282.3850565840112
35,0.5794382257958262,-120.88674860346151,-180.5808556656159
36,-63.27536520616476,-176.343199868119,-121.68918443729149
37,-75.84534195915249,-82.09448417631577,-181.36206766514687
38,-14.740369919915054,-79.91738226264056,-318.6711331762697
39,-33.76714060803644,-202.2136222751717,-43.2021595097539
40,-50.55001665389079,-161.40890171788595,-152.13282916965815
41,-301.76793703094836,-262.811579982716,-153.32841530836518
42,-320.7037340441465,-166.32547053498547,-156.9132562889366
43,-156.35215672305134,-172.72824934179485,-203.57487760476047
44,96.78198695848805,-223.35555366986333,-168.9793617031632
45,-69.28515734712161,-216.99046750870377,-94.31020526380937
46,-35.91047875276041,-151.1060951860814,-149.2293228970791
47,137.44348812461206,-268.44364503070256,-5.203168254927533
48,-218.92235654923763,-831.9438558981875,-172.7768400173674
49,-126.583062417411,-571.897872260912,-111.62444332944554
50,-63.04360061251048,-310.2127143967131,-133.04304340710556
51,147.49788178097674,-409.2493860024013,-130.8334460356877
52,-87.31292081883903,-364.0547171875315,-194.56607185732383
53,-56.55593211987927,-112.31644823103755,-33.7850307538161
54,-210.3694986826463,-308.25086763083107,-98.0094429846079
55,-95.85326239518422,-105.30518859470288,-68.34520916363002
56,-51.87113308526001,-128.0689050194783,-23.68761614329786
57,-193.8879442998263,-156.30009137768286,-297.3056344920766
58,-136.1505224781861,26.816094217639133,-102.11411100976036
59,-25.517751574196637,-369.5529374185572,-351.53372322791836
60,-60.06565598858272,-117.4893764296616,-82.14486006894984
61,-99.61775259730693,-173.79365945881023,-16.405855722830452
62,-61.17646214312809,-139.42946004084536,-101.61507538806148
63,-145.53444554236492,-364.60349847236665,-43.113644671809354
64,-65.67582256634353,-122.76855520693132,-195.91451600049106
65,-203.63222480430034,-121.90762473643483,-87.80730326168141
66,-49.454092877898844,-140.29733253540687,-31.225052851418326
67,24.299367831127825,-506.6042856423822,-20.79409276774922
68,80.9945116646707,-131.49178010658414,-216.65289980555733
69,-176.03977590107402,-232.7880363104583,-48.1727175076966
70,-198.08331344926893,-382.3103501918543,-97.09552173033288
71,-100.28222066410262,-149.70432063831967,-228.33517889610542
72,-183.38400046226207,-124.44070179042112,-71.26633796592141
73,-59.550523515591706,-295.6409364184185,-37.304385635589085
74,-63.566313872839636,-779.8891247214706,-135.7850163983963
75,-244.7473459235582,-152.80387325343852,-262.54100241254844
76,-101.39672642723977,-216.3962105330375,-211.68417641695262
77,-254.89523430427516,-146.398940751731,-118.32508452818868
78,-120.10124468734311,-171.71996834646612,-268.0401049511471
79,-214.23304556640244,-92.95349564414671,-197.33734523953734
80,50.31426410771108,-175.66606460601093,-153.67758848479463
81,-396.4215526331216,-113.33390958561682,-132.03726718834804
82,82.04127883930799,-167.28927532599508,-187.82501952828227
83,-55.35134109474724,-128.9974525048719,-404.4542026747759
84,-357.60790113378795,-122.55789361037071,-225.71009825806766
85,-32.209937368117565,-128.62314051904966,-279.9471038424826
86,-229.17794226826413,-459.45798254266117,-214.8723115707879
87,-399.1928511154472,-118.88375620638607,-134.61848130225866
88,-114.2942904853542,-93.73669304853901,-175.3066760423814
89,-229.08494809650145,-121.50035399283257,-87.86477978752012
90,-271.63515383534343,-149.82563705968266,-90.65833081316927
91,158.75220705194644,-114.66924234781706,-253.588777336796
92,236.59176552917364,-108.56482092547235,-175.74881819828576
93,-34.662261042338315,-127.30449435997879,-175.23337705473259
94,144.78128376262725,-390.65246219023146,-132.8504685905299
95,-50.12280588299581,-224.53173291088456,-117.13998625931386
96,-133.63565477339847,-161.73469768293597,-180.84155923743361
97,-81.25209390948376,-121.68489623634098,-224.3970773367514
98,-411.0700376396811,-94.61536660924826,-481.9221092323036
99,-69.47107866040525,-1324.2624482768274,-100.22261395610876
100,12.84758209172685,-1036.8788287132702,-86.4578444738369
101,41.7267155678461,-117.18957628289493,-324.99812487051804
102,-35.680971713923725,-140.13806495893024,-272.42792616307935
103,-156.77487635066825,-331.4867772360834,-294.60815892465007
104,-32.04068468025088,-105.00347259999418,-196.43050650404714
105,-216.42190059893244,-126.41407635173852,-104.90310286431
106,-203.03380928412255,-474.2416411703551,-121.2904905078209
107,-268.0271631100636,-53.515926721163865,-310.4539780501216
108,-239.6595348078504,-113.82267274624348,-248.10286914984744
109,62.57019357266759,-186.92166085146278,-364.88211436052757
110,-44.303948240800935,-114.87831218393922,-76.7446225692822
111,-311.1277003787702,-124.11192142922165,-149.9324299283931
112,46.26445900973975,-251.8458977800559,-293.72266622693814
113,-85.34310118458505,-317.66198935062243,-80.95464233681395
114,96.24229523576413,-355.12067911832014,-111.84949611982888
115,-14.83522248515348,-187.04901057720014,-83.53724937600609
116,-66.08911767911859,-18.507190304710022,-186.51484005302586
117,-211.51001682940614,-150.4499352519008,-104.57934972001482
118,-135.78474576448446,-379.0054877145154,-212.51960180551907
119,128.20944434677193,-123.450732764994,-109.66987869321387
120,-83.57910228658528,-84.31516184021687,-156.18800872783441
121,-155.27632505209112,-322.825764759589,-153.32005185043494
122,-103.72755407532573,-146.2776040517409,-53.556895997325825
123,-34.296762102199395,-120.55543241722958,-205.30400625330793
124,-19.111696616551086,-932.7921056100339,-143.80822882168485
125,-127.26121345933244,-115.26829742636502,-105.49661572992926
126,-43.78766387663201,-164.4157272104659,-88.24698793680767
127,-185.38030769886203,-96.53797407138126,-39.3333608709911
128,-40.94337258792768,-184.69075234265614,-80.39476910428614
129,-62.20980249650166,-165.3026122445826,-234.68521922949606
130,-116.58201771263828,-131.5427735525596,-110.57954451784214
131,-41.993075330767255,-1210.815693841431,-283.0487614124704
132,-192.73622435465262,-205.25995606568748,-144.95425894919714
133,-88.36799494237059,-137.3782663407958,-197.02640776037083
134,-130.64752283250516,-148.69648654024516,-126.31677599397322
135,-125.04219975643797,-319.8517660138965,-78.54157363511959
136,-104.76213643768423,-41.23952842588007,-210.08646163131277
137,227.67227871163573,-122.97763474404351,-180.60108228582027
138,-43.133113095754396,-185.45837599046826,-109.73007867722268
139,247.38429642278481,-129.52585304204058,39.016415777300494
140,-45.26699465262209,-115.78064943328295,-139.95148944982657
141,-58.74304235114066,7.785658972630358,-196.21278683173017
142,-201.1043988216116,-125.2852681525753,-91.35203008106397
143,171.1121008879732,-216.19443678634053,-181.36998785107573
144,-239.42080513435667,-146.8834022347478,-104.96702314640929
145,-142.65659839257182,-102.7388445471149,-93.32775442346905
146,237.44511536847375,-164.1865884623217,-258.7020706163842
147,213.99836432949712,-191.29812840791865,-216.66701269938537
148,-116.38794293063106,-423.4676691667004,-152.9636575429464
149,-222.00535208001628,-103.61069735624793,-152.84067221545058
150,-78.4899504468878,-124.09891128551598,-115.50971671077642
151,93.52634464137417,-105.78377961633663,-221.70486536857214
152,-53.48214904683861,-1148.0399554919463,-92.51279026256731
153,-7.712574067625923,-558.0545374559206,-448.878354571816
154,-107.0961907355033,-157.14873370433548,-60.44129776787787
155,-350.4353839063285,-116.87406606055444,-119.4042743815643
156,111.02234549787931,-190.3591095495126,-105.458026636386
157,187.2228187764092,-150.04277062038605,-176.7711154616221
158,-174.41035381095674,-199.17639956215208,-251.95163793291627
159,57.28550454300854,-184.5542816562638,-211.67949654633088
160,5.993929167155258,-148.3155373338681,-205.19535018641352
161,37.08255095113284,-210.8160605506813,-213.9574274441016
162,-56.0539577727926,-42.568550179939606,-263.9504539645695
163,-54.138867977775966,-396.36815083096553,-158.04845394119326
164,-35.273157521180195,-946.9566842764798,-157.50790141856723
165,-277.7388247696639,-166.27176137462624,-138.42181927738613
166,-442.6416667598251,-35.88811238458615,-279.3280953755406
167,193.9288135134628,-197.37544385232314,-202.6328758706731
168,-249.3262051385591,-281.84314840200256,-9.965689644883426
169,122.11102519664195,-495.60558844494153,-97.15553144114469
170,17.9444353115417,-237.80278115736613,-148.45260493138125
171,-195.91589373497663,-150.94029944441607,-153.16384763697167
172,-140.80563528580302,-113.61846516479127,-173.48296804973944
173,-42.69119663634491,-84.18172595250444,-520.7790205964111
174,-332.091372933902,-99.64154764299018,-291.05741843931605
175,-34.590917913686866,-147.13863814630417,-25.791278488555406
176,-65.10166956455339,-7.877238343193255,-266.6315785656061
177,167.45147756146883,-53.95466416995559,-273.64236866125736
178,219.25903841756528,-280.45519647119795,-90.86169761123713
179,33.43700340619135,-100.8858769158135,-218.19756523552635
180,-86.8741125643966,-131.677860114924,-47.795730440917154
181,186.5268314339133,-292.03711115528574,-237.30723755775892
182,194.47325547263517,-182.87232611221106,-211.88234627318084
183,-2.9127611973493606,-127.94472835669731,-128.17014340120596
184,-119.26294991405362,-109.05287046251675,-298.2525600956112
185,-249.81579478983375,-302.1733404954295,-204.32050738930428
186,212.7589154857747,-1176.6237023942592,-145.79461610565147
187,-51.8063315223778,-121.42137466025486,-131.79255868088848
188,-252.53977456254916,-417.6764918459968,-235.06188551202843
189,29.466898172317286,-159.63360362687814,-142.02972917509538
190,198.56727711132157,-1092.220410804332,-182.11671742857487
191,-216.79159976580553,-136.23752907847467,-24.777227767454107
192,82.32922336509597,-1221.0054325963465,-195.9901826716476
193,179.77188238622685,-1049.235822328002,-203.8165709845674
194,259.09430553397,-161.72920301744546,-93.31274837843992
195,-80.77016076015643,-101.82501274135977,-36.067672671727905
196,74.02342792792807,-1204.260868365577,-281.87944617364565
197,-78.99513863590383,-169.22801644761734,-190.3651013349588
198,-53.0233982247798,-205.85837186751309,-219.28250180438582
199,-126.66588802774015,-74.06457401105307,-249.4757252016102
200,-47.59552376637762,-135.13916648957505,-161.41193789580137
201,104.90888348051003,-154.002766426657,30.753590690574214
202,13.193896368555016,-145.2936724416663,-288.6119540332013
203,232.35366656891276,-98.33274380575527,-233.24583575662473
204,-335.7369806712136,-143.97321580729073,-105.83356913283413
205,-34.32137690274061,-118.35387604195326,-103.65958634136591
206,-9.08631471517802,-106.67687694623781,-215.54173353734234
207,180.68268962042185,-282.9339555770217,-268.5911428452056
208,-56.284132358739065,-312.1989478677074,-129.2461553302361
209,151.78472656117304,-234.078850463348,-234.06922311480383
210,182.57077140102388,-1236.7284003294674,-215.5672481562084
211,221.31946252554806,-131.67938472238563,-143.0633197474824
212,-26.80519002162937,-132.44457409281392,-248.27821450835796
213,-195.68476031798485,-146.15126473310312,-126.18296020435437
214,-69.5481685345356,-111.93966570693327,-78.6349741003725
215,167.1301738859363,-174.88332122878705,-232.99834894428417
216,228.96239764012975,-223.42510119720527,-241.1295762589591
217,178.98960660729819,-122.3688636279579,-169.56201916724623
218,95.23636833760256,-120.00855364952207,-283.2041206302449
219,173.75695445208981,-95.41770753820073,-140.8488157692051
220,119.20461077180165,-271.1441702483652,-54.042437766449254
221,212.50958282592836,-178.41295089457878,-195.55419428939854
222,99.57462650221248,-108.27226728178648,-87.33494599381352
223,-111.69770917295875,-126.89408262758158,-197.3937094259533
224,7.926052061332932,-38.27105340935138,-97.10414335948025
225,167.09393167249107,-1183.6617986987856,-153.66081925646162
226,-113.24259928297279,-116.68941911145075,-15.894996846542156
227,221.266692619041,-119.15377300322697,-176.69675843536817
228,-1.3042839691490116,-66.12918051196725,-25.458550733193903
229,183.42122446959155,-119.1243997914925,-6.1102511514317115
230,134.59658098683647,-127.47604161387851,-263.9366718540549
231,148.7664918682606,-150.7312091300896,-248.36004025560555
232,88.39970262960597,-1116.1502658080374,-50.884246972954074
233,91.92978813931616,-136.27535179353814,-379.812833107813
234,129.157694041445,-111.10823285182408,-322.7798030993847
235,-45.46408094993277,-1369.9601106261068,-39.393232344583865
236,65.21614577631482,-138.2830067141194,-449.42779456809274
237,183.08658452409736,-251.97563446730004,-116.97842595554968
238,61.554202721715534,-119.01636589699402,-333.8216739048377
239,111.84909904340017,-158.33607234418258,-279.04237054272073
240,-113.68368604975242,-108.38210349331644,-320.58674224330053
241,-117.49521195752747,-208.0390708603658,-258.07941489170867
242,-152.77550267867713,-407.93986762102327,-173.2796997115227
243,180.08362877929954,-314.17606987370897,-255.69726169018324
244,143.83315565111747,-97.04881037560509,-246.9755867929436
245,-302.0657047359897,-173.44245870538717,-78.34784798085471
246,202.6127381102578,-141.14827942841265,-79.3045602362109
247,165.99608209931802,-266.2204592189696,-64.98824389303664
248,-367.02872986943464,-159.98961610998913,-343.7317290792692
249,209.05075660129256,-117.06931592922663,-312.3260305021762
250,198.67474049631295,-124.01618515214741,-336.5634154575962
251,150.31931656109506,-142.0339558437457,-50.79072177412777
252,176.1904136956107,-81.68747651822463,-161.22862177861947
253,245.66517796344493,-1255.1581512771804,-172.23909882098337
254,169.53162545605716,-145.8883330200984,-118.27787939975921
255,169.31545070446688,-125.84469176503006,-186.07965156202118
256,198.01960568140626,-125.7093210369685,-161.84474104765454
257,160.68472776025288,-123.73744714068738,-76.72960598900268
258,215.96081749316215,-94.32077012995556,-62.5798684327708
259,231.18527659389127,-1280.937815889301,-197.8866233407855
260,127.63303109762143,-193.8687417349907,-168.60055850898385
261,161.94937644064987,-119.68666183032624,-212.43919527771615
262,136.20987882540237,-106.41258889222041,-95.91749179578886
263,199.32283383254497,-207.52966231350433,-151.64716321583433
264,168.7102961012434,-123.34859014746816,-216.04602874420908
265,170.53500972048965,-88.55703174242971,-247.7241607062084
266,96.83283085254502,-112.26714111142435,-319.156132610462
267,191.05142138061623,-122.40166343668999,-175.4306951227693
268,161.99474842074804,-133.6631733025177,-106.1205138807718
269,181.685518297502,-188.36701978960866,-146.46554460800064
270,249.08008055464674,-163.27125088738825,-181.48759190475903
271,80.53614748511619,-244.7464901187712,-68.99054173314691
272,96.10288811002034,-281.44664107029735,-164.6094211878205
273,118.75864633208207,-149.81262464664348,-178.1464851667649
274,-17.319270611646488,-94.70280277909652,-119.0853964912957
275,233.6672645895385,-174.38439810859148,-220.52635997479047
276,139.94273249416906,-140.61722544284487,-310.48707369781874
277,125.90086482494893,-152.40984144089487,-251.6754359996428
278,111.23496589862691,-55.63931514186559,-65.35924565420802
279,122.80525138625282,-272.4531853500956,-155.26512047879513
280,-95.02477474722659,-147.82334613979137,-27.71531212818931
281,72.66365354906844,-128.86470115946207,-104.37978226657071
282,180.61733295014824,-313.0289792383119,-197.5543434921383
283,229.8819899551782,-109.9461301168543,-131.02873241108978
284,179.51972786996527,-136.50845618787227,-116.54575074190247
285,198.56530674896086,-110.80474077538238,-140.53900494902462
286,201.56272778077152,-89.72380031186725,-112.45848756367405
287,107.9880571027558,-104.18238308471145,-132.85197101945798
288,127.37706622869827,-117.77246922234781,-160.6375296946551
289,208.24179306289915,-163.77027633748477,-73.27187864801351
290,219.9490883745911,-95.97805917645317,13.860529379299678
291,13.125435450768009,-191.52591600517792,0.5328076364257441
292,123.73218141421793,-478.7757315014159,-27.031698690517757
293,151.43757225309673,-197.67933189883018,22.37731882683451
294,137.29951234155504,-122.65377428576296,-176.81938527578632
295,127.32893590197688,-244.26293733013185,-50.53696921737901
296,169.18459814579506,-120.47765276346041,-66.12272683895323
297,198.18325656444284,-232.6044074021791,-37.68173346664332
298,-145.31465391686078,-94.46475444931485,-27.638617809624662
