,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
0,-468.41719468676047,-109.83695108401915,-186.50065211761006,-569.0478494029024
1,-463.1553986493521,-153.9015841377227,-542.2937638701641,-717.1868374387184
2,-920.1598635272666,-100.21384150222957,-1286.8793057341393,-562.732558845498
3,-505.55004304949495,-145.64245121027074,-124.42325897039598,-648.2848144396713
4,-671.5526357072779,-153.98251766662406,-190.5464306540282,-676.8671260522001
5,-532.272631223577,-138.06081017443213,-804.6704157802351,-701.4889689234136
6,-603.2373906450464,-38.56682386908632,-971.0342767018865,-676.1672373874186
7,-897.08356916878,-121.96703608541532,-663.0625228954316,-503.1354375602098
8,-887.9056231380563,-165.16586266226628,-593.4525600446527,-809.4298434080108
9,-358.4486632657394,-123.26776712917211,-392.70565651302815,-460.3310777360644
10,-91.31436918942835,-151.70230230952586,-298.3587245329791,-901.884886630817
11,-329.5697754884776,-175.08072179001272,-217.77383586007238,-412.14687895647273
12,-410.9777159707858,-111.79632359997964,-365.0410872832071,-91.95657122671156
13,-706.4173848467514,-165.37924220779973,-42.487846041881426,-56.964046966544274
14,-190.5877803590204,-91.81657758017201,-46.538436297316835,-113.37682641045171
15,-6.989449265072466,-641.083505109204,-23.440280654416597,-107.48214372979575
16,4.19325606604464,-249.59545743810017,-129.08301482021062,-119.97619681341706
17,-166.0047305623375,-124.1235395949497,-96.70353498526534,-400.5632005574661
18,-171.59822852546165,-459.94268604836236,-208.5124628496725,-505.25151182283213
19,-244.06362433187604,-119.02095033297132,-232.31634380094624,-41.695283183230124
20,14.261701546572638,-105.29206370446263,-232.78951631966376,-78.76211603916973
21,41.97691546787442,-89.22111026475233,-94.20720663923811,-108.58388495466644
22,-9.069110360921869,-146.16360227811384,-55.33000374170015,-136.06924546870908
23,-268.44731712800393,-136.75802233409325,-169.33930044887066,-138.37796861750522
24,-27.36088220387282,-105.66861039509917,-319.29007379920495,-184.51448251662055
25,-59.310474278778784,-129.56911416380012,-161.2070271469916,33.953444683917354
26,-45.91571680758075,-135.97830250220858,-166.4471181076808,-269.2441565862249
27,-290.61270609030817,-157.2078903719011,-303.7243066230999,-177.50157594286648
28,-49.14963552453341,-122.07539074002152,-168.74993024582625,-267.7681318654795
29,-352.8085305581627,-252.44727733888368,-157.70601677955113,57.03220120271655
30,-289.04360234250146,-161.6147739625172,-238.783417937389,-95.36769509807985
31,-312.70015371982703,-231.03634544811098,-162.3140798022622,-134.0390147303986
32,-337.3390217164649,-101.98410303205142,-253.90629485816757,-108.46718166302996
33,-261.51488198045956,-168.21645590116634,167.16903977879895,-69.41460712034447
34,-282.8145721698707,-196.9862764633122,-589.6864845669176,-181.49151753554065
35,94.36627613102588,-148.34180114241408,-626.2328613264137,-23.10301455303376
36,152.92863123352268,-174.3095009532152,-270.4419340392137,-32.528418124918005
37,174.13444630498321,-114.81541502759868,-185.58349136230498,-64.92870446897865
38,-117.57125394725125,-231.03125642268174,-316.9870445123065,-4.354815373742198
39,-30.235239623638506,-173.64461986026248,-336.3026745413034,-19.544842351417415
40,-152.46114183425283,-15.69801305226612,-217.2246200313731,-52.54290725395808
41,-117.44488536935032,-242.02865739538382,-269.12896200964775,-4.0524470247052164
42,-49.360030779541056,-124.82976147554429,-337.3298863300738,-57.2890607982803
43,-471.10082393118387,-189.66582577905052,-330.72800437957903,167.0643938830308
44,-351.96504399460554,-15.222899306947426,-312.138043992553,12.634581429829609
45,-156.89397022962552,-163.57830291727777,-432.81218931150465,-195.43722689625469
46,-410.6734211653368,-155.05934956726134,-388.97001716135213,-154.54387249652305
47,-293.65664974128936,-129.7928220131351,-244.20743782836456,24.111730263251147
48,-309.4864148231362,-221.55969993486465,-454.9480926111347,-5.71212690533082
49,-83.6883447617577,-167.5961825541001,-437.8646077806048,218.88652302379103
50,-357.6696573484317,-130.48371795260996,-258.1126215887207,-86.07685554587232
51,-237.31185495278476,-155.50945802365317,-204.94780687423247,-89.9210910937416
52,-212.0414753587121,-202.67090018777387,-194.82976920428638,-248.14078214643735
53,-190.8756286572895,-216.31285095970298,-277.5021944841345,-39.83621681594995
54,-308.0962561322219,-143.41704232986314,-190.23284088861547,37.56920875526285
55,-220.098998387336,-79.45516149464748,-255.98862648166082,-5.105452946882195
56,-310.927055454431,-216.90954945140524,-439.5507644511202,-182.35887196847165
57,-311.94430141005085,-139.10866558109154,-257.6610931154669,-204.3435987400387
58,-440.5035409658402,-87.08503961009005,-335.1041073787205,184.89424476029728
59,-265.51176079090123,-26.6203620684891,-152.53837025085778,28.644253201008752
60,-265.5488249064424,-138.5875162140183,-195.3487087248983,-14.53143847745406
61,-212.4823443693943,-132.11313482241775,-78.76453268741896,-261.712722797231
62,-303.8990873671641,-158.27448064721648,-111.73291736565889,-14.919102199016905
63,-318.69402349788265,-143.39189419180641,-177.8025650531728,-244.9864062552994
64,-272.51489700960536,-184.18594596998935,-142.15260358546146,-183.30770104180021
65,-690.9426398759026,-83.42302986471793,-149.55304247670887,-274.97908891126156
66,-390.93927875226,-130.35360634946798,-132.6840285859893,-313.1866672737749
67,-686.7653361544593,-184.6194938801018,47.54140304535143,-0.049571300742215385
68,-951.7252855578355,-278.74151648475384,-152.11525001204768,-225.16127908680448
69,-2429.4879681585294,-146.01641505597132,-203.96465848855308,-369.7302855879808
70,-2235.1043309455035,-291.73716877264053,-192.010356874053,-262.77217617964425
71,-809.5114893125522,-473.23973881832575,-274.40920171895374,-7.3871583202406015
72,-291.8499928740964,-150.76884623358006,-190.26978127658987,21.813744761324287
73,-250.98160263550483,-201.4464212824416,-219.20546137619309,-37.4210450885934
74,-2022.42720998806,-233.8993693253467,-190.22450971191023,-17.885100626127056
75,-313.83446198460024,-408.7599428577279,-36.01563479772358,-224.8426622359056
76,-230.5087628493288,-126.0196826407516,-165.27599020208936,-283.68535804547344
77,-233.38570917575646,-230.14545010451582,-246.12477779096304,-157.21357827003123
78,-214.64443032328407,-391.7845834127867,-213.41495941554118,-198.42969877613808
79,-180.53993606922967,-284.2987348105637,-172.8221848728923,-198.09839719307496
80,-107.22194787800932,-135.52898439532672,-198.59686352103301,-323.91151549029337
81,-163.3485647222579,-199.1262915316895,-205.6355519953742,-24.588800867085055
82,-166.91573180358515,-90.07989153811464,-184.6334723593635,-42.2327830983744
83,-167.23208273235582,-284.4027985694028,-162.57621710396128,-61.536146832451585
84,-230.5544952440787,-90.95348692580302,-57.81138019662279,-234.32791168003172
85,-240.61289469067614,-272.3239945603806,-216.61769521711238,-430.74602401577755
86,-1337.4472273047331,3.5643219825843886,-38.02467551137485,-212.23715195206535
87,-695.1231763504932,-204.3316110170428,-215.888194114942,-204.79400178919605
88,-380.62394890124295,-94.00195119477081,-163.61070503397457,-7.017413103219411
89,-376.1901336661001,-200.98401263767295,181.06686418049333,-297.7473015104551
90,-382.8459527988688,-124.10928922758207,-31.386458997084077,-47.54520552358311
91,-3805.7318599932923,-229.74899830100108,-272.2268785088337,-98.95753299762862
92,-87.2353603278206,-76.7310724968244,-170.41488572370216,-245.06201831464608
93,-287.6136877108809,-290.8982563997863,-195.13909410142134,-254.45391368883028
94,-178.3316193714083,-105.11619956620498,-99.5573503904334,-268.792479882918
95,-326.8587935862804,-158.8203749973204,-172.8807208528081,-130.46669141197134
96,-163.87114124677998,-459.8909616670572,-48.37405108163659,-299.0556786887331
97,-234.65461793296302,-188.5990887515299,-160.98727536923235,-277.85647913729633
98,-217.87974331686405,-310.3176102648968,-124.30137833299642,-321.9604765543718
99,-279.14160731661667,-171.74964992757089,-264.2034504538872,-261.05439696030254
100,-297.7476280822908,-183.8332782046088,-153.78117876565273,-334.9266081621921
101,-312.04837984466496,-250.5847284417674,-187.63890182421324,-2.5273847387801567
102,-212.33976492254908,-79.22068345894728,-134.00299138240413,-406.34094419824265
103,-262.74203068065594,-93.09140414987647,-92.80278970167657,-398.3135137634845
104,-247.80282855584394,26.907898530319898,-115.36662207885527,-387.6214387608841
105,-334.36336902657473,-463.9677653669158,-273.0933164757023,-394.9882839107155
106,-387.91986083048266,-84.1117728651104,-110.51735172706957,-498.530771702547
107,-215.3260601782355,-287.7622601042061,-123.13366002732323,-425.4906917949653
108,-321.1311934924332,-161.66613269839388,-121.67134478964073,-432.36146679421324
109,-242.48639235252136,-96.74186380654749,-55.167648913357226,-530.5152456400792
110,-377.3905032498502,-108.07380722286806,-67.58751102745208,-459.1223775313837
111,-240.57492287737134,-157.79012104537915,-135.42456533246462,-323.3318806650788
112,-268.23717759436556,-36.87455739465335,-30.92099329598568,-525.2684312271009
113,-274.3781290223342,-109.67675387921413,-101.54775354747298,-452.0154104944267
114,-105.16091289964844,-280.2250750311882,-62.21339731339094,-478.2404046801977
115,-357.8896835153175,-110.01151484484558,-68.51147333326492,-365.5384287033172
116,-231.96586292181212,-215.7923090934032,-23.620710735265504,-557.9641216780636
117,-184.47745899430097,-109.52727833107238,209.72072759320918,-425.02837083187853
118,-455.8552413977745,-110.7761541306475,-75.92932223980876,-478.2684357285195
119,-425.0103451788223,-172.06873191240365,20.654350404455244,-578.5631856693504
120,-300.41657328244605,-334.8194833970791,-296.7547471085164,16.81192315972561
121,-149.65821259883785,-131.03189514275647,-43.27990636990596,131.96855206074088
122,-418.11497405539654,-213.31037400979224,-80.79258557388984,171.30847994443658
123,-291.90802509203127,-100.2594349631568,-179.01741354454117,-476.2245130039998
124,-225.64190170854198,-112.93274938390348,-340.9184855144831,-26.239528668072367
125,-110.86387105433563,-66.30847696974607,-47.85332458710741,-278.42919236777266
126,-288.8592069543649,-230.05804713207655,-343.5585493987066,-449.63899428076854
127,-287.4166128822261,-121.27302427491213,-6.2580972185185,4.622302433447203
128,-341.5237825054031,-120.10366353237396,-201.94745737361816,149.43904172755163
129,-110.80490750452365,-124.36180778603403,-68.19058692247843,152.58055488398406
130,-172.27135609730163,-335.6447361478904,-119.9322420488538,116.32087255751719
131,-339.6159428334204,-106.48550680533556,-153.7587715825361,-31.262605653961486
132,-239.84683871806467,-106.42372863728781,-223.78747639174333,-36.10743038796984
133,-75.38607300515865,-149.95169944567166,-215.54313352064156,-47.15791202304604
134,-252.3364010565827,-315.8756017955993,-137.750969126741,-243.4583992034013
135,-285.3925659816945,-161.8907684092298,-66.2018054479342,-63.41998185389323
136,-189.26339022495284,-284.3125121430595,-206.31583566112778,-94.71550834816725
137,-349.38633119832684,-159.56574559447705,-96.14866065641421,11.657135936607801
138,-350.54241320410364,14.55585199206439,-160.77055865724589,3.6624049824560103
139,-509.72169440945055,-260.4948831176756,-131.06262672736375,180.6766203049574
140,-189.39729083211085,-382.6585118432587,-167.71784388398453,11.33387733124215
141,-253.4147375195317,-278.8979767510413,-51.03761191971893,-88.77167123402572
142,-250.92099446418794,-103.00849565461985,-348.50995286631087,-285.8117559250049
143,-226.19560534266733,-229.9867863825432,-95.14977233930254,-20.14990457803468
144,-156.72312724430674,-82.36390407126179,-138.7330759543264,-66.875089800941
145,-199.90614972519882,-159.4168583992623,-264.7558841568426,135.56539360130512
146,-309.66148078862295,-111.0864750201097,-387.60525589010155,-89.46462223571282
147,-269.61623746749734,-215.63083742294162,-188.63161767708863,-57.9559903312495
148,-249.4402238308498,-192.5917564637843,-187.72663918265383,138.30236007396334
149,-169.10262606852035,-49.48868345096107,-54.77831062748649,-76.74594335110976
150,-159.92377667447812,-153.8893718166495,-118.52280846023447,-65.01456437337846
