,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
0,-365.8169720468983,-461.71641992109414,-751.680760157942,-697.2282194282735
1,-344.9311936100298,-787.1508414434853,-591.3720772499059,-521.5486522294641
2,-411.1901643735148,-489.7985913177055,-647.5062196964806,-4.429226486129096
3,168.0300190481085,-500.707522282718,-600.5491063306026,-202.3026819086845
4,-749.0123174515686,-446.84050406329885,-640.8918252822381,-580.3265899725677
5,-270.74696080920654,-417.9747088247078,-627.7544118612195,-633.2170222322529
6,-302.23770174001186,-708.7823797931222,-2956.803480198635,-516.0353015112412
7,-588.5154520925911,-751.380415033219,-704.4893614257204,-635.7275142692076
8,-468.9060886007628,-524.0566278525685,-751.0731193309558,-368.37743150599664
9,-187.96920220484657,-484.9484546873465,-503.85199211914437,-583.6458591977073
10,-263.0017243765898,-560.4960050772127,-498.12023147013986,-339.38344821360124
11,-31.766761517509792,-616.9638236545082,-130.91706381310206,-393.90624880758935
12,-182.67574795529887,-600.8888563008678,-425.7010911573274,-395.7818007178361
13,-475.23978000843374,-376.5877198240314,-437.41400232649255,-222.62860594889798
14,-203.09169802091756,-728.0230882646342,-251.26091964613013,-120.6562859920767
15,-262.5218479063859,-700.7243431043358,-190.63619668020988,-743.0618881478431
16,-168.91591986261437,-677.263860826032,-257.36059982317335,-128.6898267454287
17,-211.67948229152518,-356.8012548460672,-303.25282142074354,-116.53845628486611
18,-258.2781915059025,-165.28095071120418,-319.2141033812304,-130.75107437718188
19,-244.22591430671966,-283.6430031622999,-216.5102155284498,-156.48832810738793
20,-298.1313520708829,-90.44182220918492,-156.67300631240667,-142.66966218656938
21,-330.59574102511965,-38.88089213959923,-250.48869443383657,-110.24245618965085
22,-373.8162106500247,-176.14098184241993,-231.53746030304632,-151.30571511827537
23,-237.66908301524285,143.4178882567281,-415.30339867494735,-150.97650046265755
24,-306.74882498913774,209.0388022072146,-151.31149476125717,-150.72276957934787
25,-129.25064003755705,-348.86695256321667,-298.73890466910836,-140.9961499950674
26,-122.47665147996636,-300.2149016127315,-240.91979674597187,-314.7927917599401
27,-117.48585131432598,-213.45356293822744,-221.5811458618638,-289.3988283607332
28,-243.71141274628178,-564.2831241844606,-151.3738134112753,-273.21866625899133
29,-152.90100122428754,-435.051186318654,-135.6404877118555,-257.3838634490804
30,-160.8547893618078,189.21568459347776,-167.49994148429425,-143.90088794318694
31,-113.2069596042948,-442.2013802515828,-49.80386925464025,-190.29162543799345
32,-47.29315895243175,73.12692887249266,20.44914314976242,-176.52894218083887
33,-281.7324913553449,-212.9481783048716,-137.98223791981113,-232.94953084931893
34,-129.12399927648764,-156.02716202846042,-131.1362750331319,-237.1360096831497
35,-173.65005520655384,-42.27013860333731,-153.572677674639,-119.32547238369966
36,-175.625184082314,-273.6946324392716,-152.59510629377763,-376.0613730211553
37,-81.67404115114653,-52.082180251188795,-89.24416336397795,-249.9207033549036
38,-206.2521536450542,-270.0775117326483,-168.50345230337336,-172.41608185440927
39,-333.4270192000829,-67.9625186801265,-155.72006447605577,-104.02911238474823
40,-60.909548566521394,-41.39250518605448,-170.22111778917554,-81.59574551307324
41,-517.2286635699761,-30.589613689485073,-341.04098801833936,-187.49540414881287
42,-178.83135692730195,-381.7249388002382,-156.57432336160934,-529.2359388736677
43,-180.17934113644196,-332.07272253482114,-207.366351811061,-222.39020350115504
44,-284.05947862298046,-35.42366333281412,-121.25096355021708,-144.41692858592717
45,-45.03075965931562,-277.9438619790499,-182.48337774566852,-183.01024823505327
46,-33.07684392340734,-41.0091076406365,-113.12660695062121,-7.418323897762548
47,-178.13998422823002,-4.297193138529401,-176.30383976935667,-147.12647370929557
48,-22.678361391623127,-33.08865032528316,-169.42261018652135,-151.40463566540012
49,-2.471514911083304,-184.73111703240886,-20.36859667280899,-193.8161664857872
50,-107.08447347211307,-427.65774116860314,-201.319061265122,-139.04475476043518
51,-206.76331139501713,-404.9337294560476,-146.67215384207952,-89.79328042522248
52,-63.92547599254236,-67.80069697866938,-129.7241591016733,-111.51799862188155
53,-43.62881335418783,-277.9385262361675,-136.86015292989396,-133.20388217562447
54,-246.40667821222368,-443.36707696336407,-129.1242583572139,-200.43899056052163
55,-42.792882955545345,-100.10835440073855,-114.42692969576001,-154.22340892759564
56,-238.23911570749704,-473.2692630086386,-207.21411907791042,-186.26195706295545
57,-226.7473416806926,-89.67309006789137,-124.44511977967636,-186.43635481519112
58,-645.5695899167556,-103.55236358404245,-289.27982368941093,-224.00722773460046
59,-199.48986424283314,-40.71990670281523,-135.92245788098563,-352.824978327261
60,-333.69470474606305,-430.9484394211019,-124.82572266951749,-210.6046066632261
61,-224.42388381385442,-443.745798578065,-219.06744671817796,-243.16907945965943
62,4.754757506278949,-387.3949302825223,-190.0627117307735,0.05870681844986336
63,-108.52807004846937,-60.604050366491926,-277.9346379104875,-128.04629165521558
64,-50.485188772068504,-460.39986766594615,-146.7470977099305,-148.91364618213697
65,-124.56016838627794,-407.39944294805196,-210.4531200975452,-151.98106673925048
66,-274.0827436799608,-331.9000946293463,-118.52925664538927,-163.47576787493233
67,-65.92374183860126,-554.5861005534405,-192.51912586866953,-159.20913721679062
68,-151.80665411822332,-131.46525022990025,-149.49664431172204,-251.27578404257562
69,-453.95659384347863,-673.4844978543653,-146.32889125607056,-172.59331813223844
70,183.5432419397523,-54.63224158070917,-327.8175521921131,-162.14873540195168
71,-130.35811569825194,-538.4843527626845,-147.41489031388542,-253.27725191218838
72,-76.4125941075831,-484.1891886838342,-139.57742806035418,-163.23394755004696
73,-170.85624405640084,-519.7202966262846,-190.15659409299118,-171.29668837469643
74,-240.86058864592212,-577.4436783391974,-176.8521795733995,-79.96260498237604
75,-301.0602095207112,-615.1994730478079,-145.43346500909075,-167.3093604440399
76,-605.3703313884153,-547.717721186046,-268.5140576112494,-109.97009322589126
77,-188.96745221932426,-150.3127295159029,-232.76738689461826,-232.21001704921983
78,-332.60918698384387,-529.3806654338694,-237.9315188851708,-148.63807617541374
79,-117.71191145820343,-492.941130881973,-123.78467987447031,-196.66661477006232
80,-577.9304143551569,-474.88795469204456,-125.00710821429871,-170.79168161483983
81,-153.31935097656128,-136.55148737709217,-123.74964311838637,-175.6148243110101
82,-123.26912673845791,-225.37686260561816,-117.05314956254705,-116.79625121519842
83,-218.04717802371053,-523.7716956997551,-70.21740028207773,-218.08267383010846
84,-154.22663064885325,-318.66136157385307,-196.5390545739781,-354.79051276817273
85,-31.490753170000318,-260.8282207290014,-124.98916999955674,-165.13869545783757
86,-125.54163735540293,-358.5961284101742,-86.5325730557945,-147.34159727556232
87,-249.25829781563866,-454.6936788157013,-113.813917051828,-231.6344808108514
88,-116.68052969878147,-175.8951241614517,-96.02442134675913,-143.77122013301994
89,-192.5593013432249,-192.0481543063662,-152.97360837238767,-236.46143884059865
90,-240.15476344024017,-203.40114948751142,-163.29719556015294,-166.57651459086554
91,-211.20824903043183,-412.49813663045256,-120.14922313812619,-233.13993213899565
92,-170.41377035051818,-257.8988073648706,-110.43222798166757,-140.13953115073983
93,-139.43861168186191,-244.48593482119333,-178.3471033348191,61.061188939691185
94,-124.83239853546004,-179.21232708154128,-100.53788867721819,-141.22546846275577
95,22.535677894087144,-227.73330892825237,-119.7807173461704,-282.91728252322036
96,-33.60294356852435,-176.4271741485329,-82.12010809426695,-94.82701154254336
97,-190.5240002488124,-70.01695606018967,-116.40839031162852,-165.48357698663216
98,-212.56954507612684,-259.93486921225394,-116.00140561089948,-229.19704386473734
99,-179.62048509923937,-187.14825598900774,-137.06715155951733,-145.07362337978554
100,-94.14822661969889,-239.5469792732481,-97.3820564101976,-331.5797005547968
101,-244.18245970424726,-324.774178343174,-127.81798987748004,-87.89616289871869
102,-19.780498630649177,-66.78612362194295,-64.9240160269392,-180.2817426508306
103,-5.614895255340031,-262.21564807346465,-135.48589921199758,-378.53367340212503
104,2.364126951972736,-295.8168827595921,-131.65469745003068,-232.88505201672044
105,-85.90431902886095,-253.87254147460308,-107.30907973931872,-195.71585064085315
106,17.373808099565025,-180.89727675746346,-70.86390057208611,-95.23667885928323
107,-58.08734261572046,-263.41877128533133,-115.86976957912968,-117.87334202473303
108,-89.85497513501471,-663.7514483399996,-143.8087251065282,-230.84192224298252
109,-99.95565819338553,-223.73572614737748,-165.3091857578603,-116.44571001485457
110,-149.00800143239732,-208.3985084063643,-75.82447758291123,-130.5336500467734
111,9.669434358786347,-197.42760835502213,-131.36669696412812,-366.7791161426272
112,230.6152056886101,-278.3647091074988,-154.72961333534022,13.129952375902846
113,1.910544680715205,-312.5804378907944,-107.61572371390378,-113.11787978833945
114,-22.405541483278668,-298.65386474605555,-119.31633333285544,-146.65896822332118
115,0.4293814701569971,-182.3102247020779,-204.95612372646565,-115.9154235895955
116,-90.39348004477205,-457.3859291438287,-118.99445886873207,-221.66858716726972
117,-58.76366012755555,-209.8700587535522,-118.97880066469268,-144.6729966179688
118,-155.13772893631784,-531.7124042836356,-149.09122701392516,-175.94321486477702
119,-105.2022925310741,-448.85991812604215,-127.77196160030377,-221.07222461101037
120,-119.85264178722618,-453.99561587782864,-65.6902619029515,-176.08632300481378
121,-115.00836129412083,-438.63217879957364,-143.5574555135591,-178.1395675682966
122,-119.51269045321956,-308.8926920666245,-138.27319180219735,-142.15045750600186
123,-143.02584444274106,-458.8512639825954,-153.42918295880463,-143.0237289877621
124,-102.38054886905365,-271.9590352384099,-121.48878041825952,-122.39802909028131
125,-63.98951972875304,-251.552302176286,-202.12100838502266,-332.370127321017
126,-71.72422335407043,-364.95561599567463,-133.3181267307889,-205.81967998385278
127,-23.444439833108518,-247.8335298756238,-190.17867603167133,-188.14268731188895
128,233.94466904552442,-390.42089697920267,-150.99860664680148,-193.09636421875274
129,-34.71207528303199,-228.2354200075338,-6.434830103762465,-430.64917755557804
130,-61.50589172710025,-534.8755684123157,-109.4563413111064,-239.2304338307984
131,9.296420782383649,-304.68130641037976,-101.15783595973927,-212.50531774846957
132,-32.16525564181542,-222.9172039156768,-99.38117782295242,-111.04427676376321
133,-113.15872759630504,-504.4848495664986,-133.60038593279813,-202.52789579863065
134,-124.21003805114287,-552.667982540016,-118.40483994035347,-368.75598926670455
135,-146.96691029133223,-241.71122945658826,-164.278380941801,-168.22896661446595
136,-40.549996377828734,-240.82182582554626,-187.019009428025,-314.83934887924045
137,1.4705006950094344,-524.4737999053352,-312.4315879701287,-211.00481918232913
138,30.821213120985362,-129.53241025214837,-134.28609885928637,-463.37687379668824
139,-102.52639317318341,-315.8548202710351,-22.603610245678595,-240.83789745198595
140,-56.68849912074259,-490.95498207760903,-407.53289705163166,-142.9092709932852
141,-99.26139005026185,-380.88869224986956,-126.97659863408921,-164.17639818284422
142,-61.696923592329966,-465.65937415178587,-70.12679077938355,-179.90705524394866
143,-30.484673420677524,-401.33680137111384,-112.1246605282959,-129.7214857553856
144,-342.6311349944375,-447.4820766242478,-89.51040450382058,-128.59187566897435
145,-81.63593400719503,-486.49561425856024,-19.894684364273616,-117.29214618507474
146,-6.313841774593143,-154.76991558266855,-190.52628219552724,-166.08559357345894
147,-210.29940717234425,-497.3196267788545,-132.60867085505808,-130.9084450711916
148,267.0640107731998,-550.0269854528489,-28.707150797350238,-142.76725226256752
149,49.43249980861853,-572.0433010293682,-150.2859959621897,-107.43350920481832
150,-137.77391378379025,-229.79617838025436,-186.50979784046632,-133.37975921817383
151,7.922977589807445,-751.4612379569303,-122.37963724200922,-133.8878782224231
152,-22.57601413907139,-207.93701851737063,-150.47478391739548,-143.30785244255406
153,194.61546405404192,-578.7698164373196,-140.25813871213515,-401.26740370440086
154,-37.29845978989713,-363.0956513452193,41.55728005782956,-250.78304653214897
155,-106.38937362539775,-286.4036458138229,-124.52298325239737,-135.88918728673008
156,-118.2954006587198,-403.9356605279534,-15.42956787344663,-125.04612375304288
157,-102.30921136970741,-113.10277354805099,-78.079123702777,-152.9212439110944
158,177.73410450217108,-119.64154019351876,-56.382019430327446,-138.8308133681029
159,24.230633683781875,-109.11248197688147,-473.36254192606407,-200.91088929435458
160,-89.93400148628449,-148.13568168053308,-125.92733293762097,-199.73515023350916
161,-101.40651532717006,-162.35165123415305,-114.309701274811,-223.42415543983697
162,-150.85925336759271,-436.1274634627651,-98.80345887685809,-249.5508680459027
163,-122.68632695449432,-158.89524239174042,-531.7816887946694,-151.19525345324197
164,-98.76211469780814,-54.552961460440706,-121.47029170252006,-425.04185071213413
165,-75.48006906667152,-160.8255782544774,-472.66482615546283,-131.740218632581
166,-121.71427505682452,-124.95913693096111,-105.74326433814447,-119.44216661890252
167,180.1825255906197,-203.0449639885798,-135.66756540014836,-248.5326861786823
168,-22.12581409470907,-110.61369648799119,-114.63329026773727,-122.51792915317907
169,-82.19611992753815,-349.0720877851302,-113.65262959030649,-246.15557989979337
170,-120.84416134500313,-150.92537301486058,-165.20816132360346,-200.52315397021417
171,-185.07711874261352,-380.5731693535238,-351.190000162206,-117.19630330718773
172,-34.16424059964294,-265.5155588243932,-93.35730653739776,-191.2700117599635
173,-146.50883152717506,-474.82606554287173,-266.765499900012,-205.28821469277779
174,-162.2284702668157,-309.0428752950904,-457.91970707433376,-141.40027134709015
175,-216.27945583951924,-254.30812919581123,-87.42480778348109,-122.02564221040666
176,-192.0048815732502,-249.10426833741911,-462.605753475463,-151.9120811721935
177,-180.04975231323118,-56.43393482503874,-272.77045244014107,-112.92728126543184
178,-184.7610925438691,-262.7889852720648,-18.69589108487378,-166.09532211451784
179,-160.22822121867236,-121.42196891679801,-413.887287655533,-137.7807154665922
180,-92.74935105353839,-290.6873430125085,-332.98266927715565,-204.31992254215982
181,-163.04108542332733,-223.12418851135115,-138.54657470374895,-127.07500978755267
182,-200.04088147477773,-165.30386462110238,-320.2918059880177,-183.05908363817372
183,-1.9189572460648492,-239.7957096545411,-158.3770426089993,-136.3237790061761
184,-129.80939391685283,-253.26016985542853,-210.63478376983275,-121.33847903389065
185,-208.1003770856592,-434.4472339879476,-228.73260382556688,-141.23549013089092
186,-127.36572199297132,-216.13328756674736,-351.2349198957027,-120.31716113782078
187,-190.4973113029779,-580.3118386966344,-179.0021832498815,-112.7978113291156
188,150.92069684887525,-173.81819182816537,-262.07393658998694,-168.81773568227658
189,167.1984142547155,-250.91461281401988,-240.56084458714903,-125.46188566930222
190,-140.4402639929918,-135.9573980921972,-159.68456257788887,-34.209987599651214
191,-131.90521115501423,-133.23196093868938,-461.8420132303566,-116.8679023704446
192,-10.020209324435797,-154.60436726817426,-395.01359285283024,-219.48010140037297
193,123.53260669771936,-332.5776799965531,-328.29887612080114,-158.50671724163954
194,-109.89763324901712,-132.16055544986665,-408.3370729844553,-115.25597816140206
195,-258.02931058435644,-111.6319407687806,-220.68362697660154,-199.51119264066114
196,-173.97319475044299,-136.89531894225664,-292.95752572385663,-193.68534269857173
197,-143.18522401034636,-110.54548676737998,-206.8476533274466,2.4867615750753487
198,-233.50690609995632,-193.66652484072029,-223.4450482095356,-147.36623476075394
199,-73.4166184979375,-128.7510483210317,-257.70111303853,-112.94891774382535
200,-147.88968371405167,-103.48584614846322,-329.0413036116238,-107.52458487849641
201,-65.90876964402783,-318.4266298586741,-288.2657344624737,-138.89887029788406
202,-120.80694558468849,-471.07038481615626,-279.5452245796304,-138.14319164708306
203,-181.86527179211498,-104.19021923570347,-272.51506591721704,-25.70405770861636
204,-58.439173662766954,-131.66254398780615,-300.3720268489982,-129.82342319266786
205,-181.48496296689046,-152.26138071959593,-355.20157344780324,-407.3365929552724
206,-85.85812849562214,-302.28948274971196,-373.37147313209704,-125.3228749461565
207,-65.58144923623871,-88.42415120034762,-366.0866542102058,-226.08258620900267
208,-114.18462848113153,-526.7828074079446,-428.89477992513866,-241.10408923514606
209,-214.11431069015168,-104.2865201939355,-232.3799366989588,-190.0229570118272
210,-195.22896714308018,-57.379364677580035,-256.4669888860146,-137.35294779416085
211,-135.0507432854172,-73.97722665854113,-337.4251475810155,-272.35620680390934
212,-187.3543298014456,-179.986641699866,-504.86846568362506,-103.7180700246364
213,-229.39024854495457,-101.79461139386498,-91.65534288106201,-116.8386726022805
214,-148.83348275950723,-295.7408772659256,-336.0939353511178,-206.53161132189544
215,-170.28767308975182,-195.85472678329148,-275.1974738178309,-115.37582925987918
216,44.74556269204311,-157.8232276272391,-358.7509973631215,-384.01052446896693
217,-206.74680307804232,-227.3203500578005,-235.73406176389847,-204.87621362024402
218,-152.01566114682856,-114.51460204861564,-532.3632073022944,-174.00564381109513
219,-212.6053692393185,-255.4130605363036,-327.49891214621834,-137.89755337342356
220,-136.42830984992972,-231.29978603437604,-404.06468691133205,-152.36411235098075
221,-214.45071938734952,-366.722461604926,-34.4103170122802,-121.73702448584748
222,-214.104054287658,-314.27166798304546,-121.1029684347563,-122.9752445506089
223,-272.4863254654498,-183.9559419654409,-62.39373932334331,-106.3673613636002
