,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
0,-325.1122628971748,-380.5853479261672,-150.60006916966336,-252.0882513705135
1,-525.5991833661205,-659.7302439044947,-612.7417842453431,-383.97571315712787
2,-386.06193982270423,-1038.9374947664382,-114.99940427956415,-426.19496693425464
3,-464.2500635945993,-788.987068765465,-2535.8460350528294,-279.24858401375616
4,-82.59940149415912,-440.1413230516165,-249.0609810794707,-245.48847052771455
5,-442.99504970219937,-596.3465632252313,-122.74866613509585,-397.02402187950923
6,-351.0653570289299,-345.2629733288592,-778.0176169421401,-241.19996149045448
7,-328.26550176004264,-809.8813656300599,-36.45044763156969,-354.6276965710126
8,-289.9363212412328,-810.396893054263,-123.44514889553224,-248.19458248894293
9,-253.596683296246,-738.599897674713,-86.64478171501196,-437.7682897041903
10,-548.1713082958386,-506.82178854338304,-1272.5880453648454,-256.4443903050873
11,-499.6789229803074,-542.3915841860085,-144.75227216683487,-399.4372746404013
12,-523.9384827614051,-457.52547994340193,-148.7314746435845,-343.616569218093
13,-254.3197615815546,-469.3382158364766,-160.64795204877373,-355.07295366898427
14,-391.323109606049,-541.1164769258751,-255.91730668477524,-277.5292231419214
15,-104.69304036402238,-320.11458004763716,-97.57882198478936,-507.24080554491593
16,-125.21714730073015,-333.8189871405402,-138.24029019112805,19.28391588304963
17,-146.01029401291368,-671.6831974035723,-112.33403793527614,-50.24338595979462
18,-139.73660199201825,-328.01447063754074,-123.60221604085265,-352.47944142390224
19,-285.2266472802384,-104.98476993527842,-189.74466500115693,-231.83085935502186
20,-107.9640678601917,-78.75466728206912,-239.01086842216813,-419.75641978542933
21,-132.7044802757166,-114.55516042126877,-160.06646894877244,-274.66579849113305
22,-168.0730791370829,-281.8662416048171,-206.42668783431236,-149.0983336327497
23,-378.83549629130107,-310.6509600436013,-188.57562140173164,-118.10549057595986
24,-79.37241519065304,-251.93553455873868,-311.3720285695586,-143.3606970744037
25,-168.07638609079083,-590.6535153847384,-53.27940073176413,-170.04886743866837
26,-159.73989562356752,-721.2542144427958,-209.02611980070543,-102.36420819455492
27,-308.97981199814933,-373.65518953435463,-137.13808475554936,-164.7127081095583
28,-104.05634801672649,-112.18227271352875,-133.37970971957776,-151.2635628013956
29,-169.69123703217747,-214.81270454891893,-164.5993698617197,-134.80306338779042
30,-252.39855304897432,-187.1183311979729,-144.23203311994058,-182.1624876851975
31,-322.99219601870976,-196.2194127321731,-250.72747650206267,-234.33898297065042
32,-110.61235175484634,-87.77546739143438,-337.6636265699792,-199.6003020213439
33,-136.2592876038595,-146.59511918193195,-161.70834798035483,-248.8254131556206
34,-246.22993231999334,-233.0939528826725,-397.4225447671812,-308.7493540455665
35,-252.76217986291678,-95.1184018291005,-239.78571857193995,-133.36392159833153
36,-77.62936737481469,-112.66977072675489,-209.36333463736148,-396.746303188458
37,-161.91546403410968,-119.46419114230363,-227.73175619837272,-276.370351429391
38,-45.06273916288841,-227.75514134281516,-215.73756992663954,-182.54590713111597
39,-150.07281449304833,-74.04577166646746,-150.16315045907115,-7.2136185153292445
40,-346.04828664019965,-137.29307866493673,-36.018761085223304,14.199841009609642
41,-294.4222605574734,-51.01084541493647,-279.02538493014913,-367.6725048687029
42,-261.84612733004883,-95.7639180496894,-122.38846858008444,-289.6601127972932
43,-132.24599661749355,-267.91854314557827,-374.51532866861396,-161.22397746360093
44,-239.860006590698,-176.5555852308386,-154.2315608374351,-102.49739576120557
45,-399.69281526009485,-490.8424553998396,-155.96015446962355,-191.42451129001722
46,-286.3911930536998,-265.0250698681713,-134.6709943595089,-306.3522098308458
47,-391.75886278314175,-269.9929420499331,-174.2875891409302,-243.77717859778005
48,-65.34977577173885,-252.4489590923695,-375.17625375542224,-199.46952906580168
49,-298.6151427008559,-108.5024342054588,-406.264734162577,-163.3978693847193
50,-199.35530894966433,-203.7422473257967,-147.38418224077446,-99.91074487448216
51,-390.4199441314581,-73.38328937191307,-112.7671054059312,-156.12343046044126
52,-274.76475297845786,-253.70899693125975,-284.68774454153186,-147.72397298858937
53,-264.1462838171494,-325.5660054659952,-138.12497742801474,-86.79012741258377
54,-239.23163742988288,-466.1010189832059,-94.23784349031106,-423.548802703741
55,-107.8336179323797,-249.95050138010498,-188.22757370536428,-286.17736530721726
56,-68.95022783442755,-297.7386730981738,-122.39005773734686,-355.2481055754018
57,-262.9436068966711,-309.2633081092123,-139.42986799071807,-55.25661346025601
58,-126.10842050842675,-258.53905496800644,-124.39645782375604,-163.96946461052113
59,-272.7611154612629,-266.4846285018469,-133.95961702952687,-60.27912242491931
60,-181.3723048696154,-311.62840538250066,-326.1370029403479,-177.3593666594362
61,-80.11915542516054,-534.7600616813406,-135.96101630813197,-213.94143145541534
62,-166.17888796417026,-329.7681886795915,-380.17886545088857,-62.30586113815297
63,-178.8254493466319,-347.88316447977115,-67.20353124406424,-92.92822300004342
64,6.930098778406617,-151.76640238615067,-135.38879066047707,-36.140685805356185
65,-144.40383671115626,-117.16237606314374,-155.53854356303083,-80.77478694734779
66,-180.1193945928253,-148.1120819202306,-111.75741052568358,-43.40782971858468
67,-147.54540533383124,-113.67770406208295,-109.5335653755678,-77.82091538984342
68,-351.1509537696928,7.515802065997619,-88.48851142971392,-167.63439034655522
69,29.90075274790206,-163.73091107426993,-23.804406909109332,-135.53740563608284
70,-36.54209173454207,-146.98728394271302,-159.05294936332922,-252.53872191050968
71,0.44157326762135085,-90.17153358308263,-141.80137999958094,-152.26145784054413
72,-121.03385000567707,-237.99041381892118,-100.18132295089987,-127.03530850378992
73,-370.30875551024957,-143.21336646033936,-127.04105996842131,-152.81446992894752
74,-304.43459707567365,-123.54240012836169,-141.80518956389471,-219.7200803128424
75,-30.47034796767538,-169.17799352422563,-118.38081546044208,0.21012765692287871
76,-249.47350288781038,-186.01125802854702,-107.43156064666934,-83.95546942240136
77,-160.34979820120446,-427.27657003722794,-140.61401724658253,-235.0584846313345
78,-158.96934506431924,-186.8362821568742,-128.5635232130209,-62.231243344116386
79,-66.5158756730866,-277.79700962648946,-112.28723995201682,-301.7800363422322
80,-193.6325763471387,-158.18646880920576,-139.3193577385003,-207.83132729766945
81,-178.3026832631572,-222.79283636479903,-29.71711443975643,-53.68914073663629
82,-136.4436146187976,-354.2625683276634,-120.63190616755867,-283.8690874406339
83,-90.2081213999387,-218.8079014435774,-163.16680584627946,-206.60003499988474
84,-322.4875031282338,-178.4302156775338,-146.40502658450404,-213.09439003105564
85,-0.4177981136002533,-125.55278971299913,-142.65979746833244,-98.31824852016778
86,-280.96647928974915,-166.80483847169882,-120.66272052627136,-196.35991279703137
87,-390.2764696523334,-112.41169880228352,-142.41204954035473,-94.45836123282525
88,-339.12097337463,-177.67018171135578,17.599160889923127,-264.98215761132485
89,-252.24676580999073,-169.55847560564047,-103.42353035807054,-186.53672536783552
90,-47.20840437514284,-78.12063547120215,-146.3416670949405,-195.47284776342232
91,-174.30364030333573,-213.13331157339215,-121.55147805016924,-289.7389785030624
92,-149.14971316836477,-225.11445493461918,-145.75645591479463,-229.30123365036306
93,-157.16312069924135,-115.04602899106888,-129.59113579998782,25.484214023503966
94,-286.8565479319717,-211.2207731181814,-110.77134018689804,-38.55954863859941
95,-253.84351997125202,-212.18615799317374,-187.8748297467257,-37.372002820999064
96,-292.83425750987624,-172.90325471892754,-146.95145589964307,37.52690117817605
97,-169.32179858873474,-272.39444697239117,-196.25239119711028,-191.5292684093236
98,-235.46496597904235,-209.0031357072844,-154.58296083355862,-57.908898223281454
99,-0.37886682255268056,-69.74716525561445,-150.36769709828428,31.12621768279027
100,-50.605920739365985,-82.58608758207639,-103.55398543739271,-199.02697244758866
101,3.390339163678533,-232.4574882206127,-118.23535315290322,-281.56623899367617
102,-124.22615939795419,-71.86959824981625,-98.54377934735544,-126.8750272755075
103,36.26830161637178,-321.1507682602591,-111.59920071929088,-286.66822817477765
104,-212.1602262906501,-308.06150812622514,-100.68143677001319,-178.6921795223208
105,-232.25347435633125,-150.82780778555855,18.80533424762774,-309.76351978968523
106,-167.171812293446,-184.01710472509066,-77.777385630471,-228.8494061567211
107,-36.56879178871283,-217.77780104854392,-189.02606882810267,-9.825854084946286
108,-230.19182398617295,-230.4466872010015,-190.36220385435166,-357.78771965083956
109,-215.99686602881607,-166.7625003668863,-51.409024397469466,-78.6469057276722
110,-175.50662952619902,-192.9924135528088,-110.5824681190251,-109.75578128389354
111,-99.9975838257871,-153.99391607105343,-152.6743636949788,-13.730591846464932
112,-276.8636896321486,-236.81724717921264,-16.30889354398488,-194.84562769008818
113,-205.1831606406746,-191.54533200580846,32.521838944690074,-133.3543599080803
114,-54.61889644677913,-177.81343530695762,-121.06330505003336,-106.00562853864353
115,-75.55862441325212,-321.15430309296084,-35.978856992015665,-120.49217383504592
116,-115.05772049454852,-218.8848118717474,-131.98922015034898,-129.43629984224185
117,-190.07004786946788,-204.61266132705327,-116.7880355751695,-140.5016234553112
118,-74.7117862321875,-45.96125614447632,-123.65351206455398,-238.83025503204533
119,-163.9744413624856,-181.21858096326832,-127.76956968025442,-112.14239956556065
120,-273.08336220458295,-143.45827562695945,-133.27486695658067,-148.88545452770853
121,-245.87826811888633,-180.52490892234985,-250.00136157102017,-146.16905161268392
122,-175.76992008569528,-176.14695351726192,-246.98397731070676,-89.60567183143613
123,-111.48757539897562,-100.01246427928596,-326.9791835694887,-105.6898262466605
124,-81.08971740597889,-209.2981480518674,-143.93781470647912,-176.1583760066737
125,-103.34852386638089,-165.36964142308875,-152.2302465580267,-138.95050431767754
126,-94.96263641386975,-119.92879476450841,-211.37506307266995,-1.0222815424075975
127,-86.29505759638333,-114.43129242708399,14.753668345381953,-166.1572324067226
128,-228.26166892955442,-252.4474793822159,-154.47542531766726,-194.97325411097904
129,-21.517160862535818,-112.1131587732624,-158.58145195142833,-239.00826657424014
130,-41.985043522401206,-118.6474862299572,-341.932029161836,-101.88034986914928
