,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
284,-437.7653136513338,-113.33622027257215,-330.4891561357641,-194.138938022284
285,-291.9876451872953,-272.1001256380084,-57.517801057878586,-151.0709589245412
286,-69.36864436048614,-252.63435201278293,-208.4607099747612,-230.6128198062944
287,-203.26759905156968,-162.238285537021,-175.57926267343663,-104.56087528670693
288,-285.55628045850756,-122.88587484118943,-133.57435954041608,-262.1015028180079
289,-91.95717051088832,-335.5527132040403,-133.08511588635116,-51.71263254748477
290,-398.0698940756398,-113.67402528751008,-153.6349391991634,-165.60607528062891
291,204.50414707054279,-137.83336397387947,-152.60965946179545,-250.16945323914257
292,-163.1429796691233,-100.54015722548552,-173.86684234690188,-144.0138492452246
293,-297.3860656629811,-148.0908942315732,-368.5321824684314,-312.2602737227288
294,-98.2402840809201,-108.29404869038186,-251.77000132555213,-161.95033841932636
295,28.458161284711963,-146.7441500411294,-148.03980508466418,-135.29242270255986
296,-158.46147971808466,-146.43543629280055,-130.2008319331,-303.64618370800514
297,73.57995422558113,-92.50678952709892,-92.8127273765451,-101.22879997109632
298,-137.61131692327078,-189.22508052235048,-151.93393803549964,-154.1740553212782
299,-206.6588457608721,-96.13677480718331,-284.3275311979584,-194.6109971737836
300,-352.96567335084876,-259.7466639449136,-163.04740240998603,-173.48868303476775
301,-41.01684727025383,-62.702499781178076,-170.51548261608684,-135.9375042696256
302,-139.99771199792661,-643.789044481408,-129.20840405738184,-219.36156756105458
303,-74.41976696495769,-325.98931744132017,-144.67620821809925,-549.8111266556823
304,-131.03149375790377,13.814764837164375,-107.37890486434212,-184.8254670423475
305,-173.65096113430496,-99.32380233051508,-95.12937341964135,-106.62229969731985
306,-68.68782917432901,-422.41094354677773,-209.38792885158603,-143.01416697995975
307,5.341024189132227,-124.12376734060079,-166.0971671901396,-179.79565277027893
308,-44.648309426545524,-318.01852765042156,-134.75863821571733,-181.2366695749106
309,143.11786913743072,-175.253443583446,-216.81192801297715,-150.373106995153
310,-221.59014487649995,-97.53963206188791,-209.52827734972604,-214.170642721683
311,-155.95905655006004,-136.63161609421766,-240.79964425843423,-127.43804313586193
312,-546.7041663575671,-393.39312102236806,-61.015244616173064,-132.50693088091305
313,-472.87060042505567,-120.7887612104737,-204.61225149023687,-108.22047706316945
314,-142.68040875314688,-114.40919117522373,-315.3855239704385,-155.93262310584987
315,-46.24452564221586,-94.50005223916668,-314.7926403756519,-112.94963730442038
316,-116.2193236997241,-111.55792684263525,-201.7945766764472,-142.48294984613258
317,-45.933568466194444,-106.36844184701494,-186.75581663718788,-210.94528588713052
318,-150.17842661455606,-137.46522864211437,-128.06620360951885,-136.71773573316798
319,-46.669611250468066,-156.65075549087706,-258.2696870970259,-128.09556965712338
320,-231.7727377456173,-223.1441401213829,-76.72982031890302,-140.60529453762788
321,-66.4366320981602,-109.13310872248536,-106.58079695017132,-108.66198139505988
322,-286.5156480901827,-132.34580969722708,-129.05450897923984,-138.08711656541576
323,-104.24423544500775,-92.55523903344584,-158.2037030570249,-170.2640465295471
324,-420.3988571657768,-137.2627646696949,-71.62250626571372,-248.8373349728874
325,19.543310221809495,-432.98582131261463,-38.33248707367781,-117.96710849630605
326,30.116763085865898,-167.18547549254376,-343.289411485645,-99.93745281739052
327,-331.62722785666733,-29.077752624243914,-36.760711856324505,-107.38366285148876
328,212.35500872721894,-210.1993449167333,-6.31457368468034,-110.28260279834282
329,-176.95942551568635,-172.28524212067276,-141.30650070800306,-116.04698815349079
330,-210.5284020821838,-211.08975478839417,-143.5327586512695,-108.4028513109981
331,-190.23206314282766,-272.31201527704366,-163.01733782644772,-176.29355416569666
332,-173.61895166350695,-142.7638748262935,-161.01922949166857,-87.1207949190682
333,-128.81104007280499,-197.17140515394073,-138.41577102772726,-280.7259715889098
334,-150.6240101817873,-152.14699916091126,-167.81746370971467,-97.25307118108793
335,-120.85330893113887,-106.17969027088634,-170.63803329130067,34.064574649958814
336,-156.32369298340484,-336.1514428608177,-84.84075960736993,-116.505069498675
337,-88.57721497909951,-109.71031355636204,-187.21282762664507,-338.99575004637995
338,-64.73912651559468,-73.2279193757133,-194.40941402858851,1.6155546338244164
339,-65.13211429645408,-214.37335215997123,-141.13174828001078,-158.27029236614888
340,187.99797072982187,-134.37912121088263,-197.96135315444434,-244.8689836765475
341,-189.59448601406194,-202.06583400044673,-125.05703194043062,-4.793188881328092
342,174.56529025989397,-88.22240233856999,-121.99273740526303,-158.43820945254487
343,180.47536138530512,-186.22925177648955,-180.0112100496708,-438.9865297853255
344,189.46263594370856,-62.91798028239077,-196.52606253980514,-169.86791038569459
345,-115.65553712021025,-130.86649154401707,-174.1246293476128,-334.6674586519632
346,-360.9665023232382,-122.45265024920624,-147.59836416585262,-179.44698965625048
347,-52.754515133985564,-55.27040296577485,-121.40558807161644,-112.04372070200603
348,191.62786870402692,-41.03859861411206,-185.15941727266866,-147.7080229129485
349,-82.76540885466716,-623.6781306346651,-102.82717012148446,-157.52280539100374
350,-228.19395743836165,-117.57271513483776,-85.1375675688832,-142.15030040418
351,78.70177421247612,-51.969023597252274,-195.33475830979867,-414.2335372333385
352,-22.059177001944818,-124.4485646943514,-94.19051839057597,-125.8385702880069
353,-40.1263134647689,-154.93752575244622,-184.20803056929475,-151.67615704259754
354,-101.25351504046189,-71.64353749809767,-98.56456404316043,-116.27380975292769
355,222.10434893206963,-132.79498318867928,-97.26931594290274,-169.9227265108284
356,29.22634392206393,-51.31498262661511,-163.9305005957668,-93.16262194752866
357,157.4950851196627,-213.22318980843457,-183.82169667578123,-139.9814921108746
358,-64.14818068529829,-400.26088353679586,-153.76635670006004,-123.15638736612101
359,-91.1820032516564,-176.7320394149879,-86.02112557008113,-336.40695029085157
360,-323.8650898522036,-144.85453985492512,-98.10925713890094,-125.7120932995953
361,-132.0735023980976,-1016.694502111901,-183.54041117009234,-375.52975615895184
362,-44.527422909494135,-78.30278990067652,-68.27354074403448,-230.61773671771147
363,-145.5577682928867,-100.41606956453923,-209.16621769471251,-167.4206373823472
364,-199.79427852245044,-220.34102026470157,-152.6853219312459,-190.37948162762842
365,-87.08691511042773,-270.1956834159688,-117.31285151805491,-374.3000213414987
366,170.11126192866453,-237.8711301652938,-203.6208672429226,-125.6880050893254
367,-98.37013303831043,-185.37459585865872,-191.8128952432255,-99.62962570499468
