,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
0,60.0,84.0,65.0,233.0
1,66.0,170.0,73.0,95.0
2,73.0,97.0,73.0,84.0
3,60.0,128.0,77.0,60.0
4,64.0,252.0,69.0,101.0
5,81.0,139.0,78.0,112.0
6,53.0,150.0,72.0,202.0
7,63.0,93.0,74.0,92.0
8,65.0,82.0,67.0,95.0
9,55.0,72.0,76.0,84.0
10,73.0,63.0,65.0,62.0
11,78.0,85.0,69.0,117.0
12,61.0,60.0,72.0,87.0
13,50.0,89.0,79.0,142.0
14,54.0,66.0,59.0,119.0
15,62.0,86.0,59.0,100.0
16,55.0,54.0,83.0,114.0
17,148.0,53.0,68.0,74.0
18,53.0,79.0,83.0,130.0
19,82.0,56.0,54.0,77.0
20,72.0,66.0,56.0,109.0
21,74.0,68.0,291.0,209.0
22,53.0,57.0,53.0,66.0
23,90.0,51.0,90.0,84.0
24,92.0,63.0,90.0,159.0
25,69.0,68.0,85.0,60.0
26,103.0,59.0,86.0,68.0
27,56.0,73.0,90.0,75.0
28,73.0,63.0,65.0,95.0
29,88.0,73.0,79.0,92.0
30,62.0,65.0,76.0,100.0
31,58.0,99.0,102.0,102.0
32,77.0,59.0,75.0,95.0
33,85.0,80.0,78.0,165.0
34,75.0,91.0,81.0,133.0
35,95.0,75.0,116.0,82.0
36,177.0,73.0,81.0,217.0
37,84.0,55.0,105.0,79.0
38,203.0,71.0,93.0,75.0
39,168.0,65.0,128.0,170.0
40,264.0,86.0,83.0,93.0
41,113.0,77.0,139.0,183.0
42,594.0,69.0,160.0,256.0
43,271.0,75.0,624.0,91.0
44,83.0,91.0,72.0,124.0
45,445.0,67.0,85.0,110.0
46,705.0,72.0,89.0,128.0
47,201.0,75.0,95.0,155.0
48,99.0,111.0,77.0,102.0
49,181.0,58.0,108.0,86.0
50,138.0,99.0,91.0,142.0
51,222.0,124.0,91.0,151.0
52,57.0,54.0,103.0,291.0
53,166.0,147.0,98.0,76.0
54,317.0,71.0,105.0,86.0
55,181.0,81.0,136.0,118.0
56,116.0,83.0,134.0,140.0
57,173.0,319.0,318.0,102.0
58,67.0,67.0,97.0,461.0
59,84.0,592.0,62.0,106.0
60,66.0,432.0,335.0,140.0
61,171.0,123.0,93.0,144.0
62,110.0,97.0,121.0,131.0
63,223.0,86.0,118.0,254.0
64,136.0,76.0,135.0,182.0
65,234.0,157.0,119.0,106.0
