,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
0,80.0,101.0,57.0,77.0
1,85.0,90.0,52.0,83.0
2,88.0,152.0,76.0,87.0
3,60.0,153.0,89.0,77.0
4,89.0,73.0,80.0,57.0
5,102.0,247.0,64.0,71.0
6,89.0,77.0,76.0,81.0
7,57.0,89.0,81.0,52.0
8,91.0,115.0,69.0,77.0
9,95.0,140.0,51.0,67.0
10,69.0,115.0,58.0,55.0
11,84.0,404.0,79.0,58.0
12,95.0,229.0,85.0,89.0
13,268.0,198.0,75.0,65.0
14,153.0,107.0,57.0,79.0
15,103.0,181.0,57.0,111.0
16,222.0,119.0,226.0,104.0
17,262.0,153.0,68.0,71.0
18,136.0,206.0,92.0,137.0
19,229.0,163.0,80.0,98.0
20,103.0,170.0,88.0,107.0
21,85.0,185.0,58.0,97.0
22,91.0,198.0,62.0,101.0
23,96.0,178.0,52.0,153.0
24,89.0,150.0,64.0,329.0
25,94.0,150.0,85.0,160.0
26,106.0,200.0,55.0,534.0
27,115.0,134.0,61.0,84.0
28,94.0,445.0,57.0,119.0
29,171.0,191.0,90.0,247.0
30,101.0,248.0,79.0,421.0
31,94.0,201.0,77.0,210.0
32,154.0,119.0,75.0,169.0
33,134.0,163.0,77.0,400.0
34,86.0,209.0,67.0,201.0
35,91.0,263.0,63.0,87.0
36,93.0,212.0,125.0,101.0
37,128.0,231.0,62.0,151.0
38,104.0,178.0,173.0,84.0
39,116.0,181.0,83.0,80.0
40,158.0,248.0,84.0,133.0
41,96.0,307.0,58.0,160.0
42,172.0,249.0,70.0,234.0
43,150.0,173.0,60.0,113.0
44,150.0,404.0,52.0,564.0
45,148.0,849.0,76.0,183.0
46,157.0,76.0,59.0,332.0
47,152.0,79.0,60.0,251.0
48,138.0,85.0,72.0,383.0
49,192.0,83.0,76.0,214.0
50,114.0,77.0,73.0,393.0
51,184.0,80.0,156.0,507.0
52,175.0,74.0,273.0,125.0
53,83.0,149.0,93.0,528.0
54,108.0,91.0,79.0,155.0
55,238.0,76.0,187.0,266.0
56,137.0,73.0,95.0,269.0
57,142.0,89.0,107.0,224.0
58,108.0,96.0,126.0,142.0
59,126.0,212.0,140.0,469.0
60,168.0,101.0,179.0,114.0
61,99.0,176.0,85.0,458.0
62,126.0,103.0,128.0,154.0
63,160.0,90.0,85.0,89.0
64,264.0,95.0,128.0,234.0
65,115.0,120.0,142.0,214.0
66,212.0,73.0,113.0,104.0
67,203.0,102.0,117.0,141.0
68,371.0,90.0,111.0,180.0
69,248.0,89.0,134.0,167.0
70,784.0,67.0,105.0,288.0
71,214.0,158.0,112.0,124.0
72,1000.0,68.0,118.0,213.0
73,1000.0,107.0,126.0,162.0
74,578.0,68.0,55.0,165.0
75,94.0,85.0,170.0,185.0
76,159.0,102.0,105.0,193.0
77,280.0,99.0,136.0,200.0
78,608.0,103.0,115.0,153.0
79,92.0,74.0,171.0,58.0
80,124.0,84.0,136.0,175.0
81,616.0,71.0,148.0,139.0
82,291.0,73.0,110.0,204.0
83,637.0,131.0,175.0,64.0
84,117.0,62.0,162.0,214.0
85,562.0,80.0,159.0,98.0
86,1000.0,108.0,142.0,184.0
87,221.0,84.0,180.0,207.0
88,1000.0,89.0,121.0,260.0
89,196.0,127.0,121.0,129.0
90,164.0,79.0,136.0,252.0
91,1000.0,71.0,155.0,324.0
92,1000.0,98.0,125.0,338.0
93,679.0,113.0,183.0,343.0
94,160.0,151.0,168.0,471.0
95,221.0,123.0,101.0,216.0
96,237.0,78.0,177.0,101.0
97,97.0,92.0,139.0,331.0
98,815.0,82.0,138.0,311.0
99,597.0,169.0,122.0,444.0
100,371.0,109.0,161.0,368.0
101,1000.0,61.0,177.0,350.0
102,987.0,88.0,135.0,243.0
103,1000.0,81.0,71.0,302.0
104,530.0,78.0,94.0,72.0
105,1000.0,116.0,253.0,182.0
106,1000.0,105.0,308.0,260.0
107,1000.0,88.0,144.0,390.0
108,666.0,107.0,123.0,64.0
109,1000.0,106.0,123.0,444.0
110,1000.0,151.0,156.0,206.0
111,233.0,155.0,118.0,261.0
112,1000.0,102.0,280.0,320.0
113,1000.0,87.0,145.0,212.0
114,153.0,115.0,187.0,318.0
115,1000.0,120.0,124.0,413.0
116,263.0,168.0,113.0,462.0
117,95.0,139.0,150.0,89.0
118,1000.0,63.0,164.0,277.0
119,827.0,109.0,130.0,67.0
120,1000.0,68.0,172.0,648.0
121,741.0,134.0,150.0,678.0
122,807.0,64.0,179.0,210.0
123,640.0,145.0,145.0,153.0
124,258.0,118.0,573.0,157.0
125,165.0,112.0,197.0,270.0
126,958.0,103.0,289.0,428.0
127,597.0,155.0,78.0,348.0
128,183.0,137.0,113.0,161.0
129,1000.0,129.0,165.0,649.0
130,1000.0,176.0,291.0,149.0
131,179.0,105.0,219.0,85.0
132,293.0,123.0,141.0,133.0
133,707.0,71.0,140.0,156.0
134,76.0,81.0,62.0,142.0
135,799.0,92.0,123.0,97.0
136,1000.0,88.0,148.0,167.0
137,687.0,199.0,171.0,131.0
138,133.0,85.0,67.0,239.0
139,185.0,132.0,198.0,152.0
140,1000.0,93.0,88.0,136.0
141,122.0,65.0,225.0,142.0
142,1000.0,94.0,138.0,131.0
143,1000.0,147.0,171.0,164.0
144,510.0,81.0,144.0,214.0
145,139.0,88.0,155.0,148.0
146,153.0,60.0,106.0,131.0
147,621.0,88.0,73.0,203.0
148,1000.0,98.0,96.0,138.0
149,103.0,110.0,72.0,126.0
150,439.0,98.0,146.0,430.0
151,1000.0,73.0,119.0,158.0
152,1000.0,110.0,88.0,165.0
153,532.0,85.0,68.0,142.0
154,96.0,100.0,179.0,122.0
155,845.0,145.0,127.0,366.0
156,187.0,103.0,282.0,376.0
157,313.0,100.0,89.0,332.0
158,1000.0,94.0,88.0,149.0
159,135.0,176.0,110.0,140.0
160,282.0,91.0,170.0,372.0
161,205.0,162.0,133.0,138.0
162,228.0,84.0,56.0,344.0
163,1000.0,116.0,161.0,168.0
164,1000.0,165.0,127.0,144.0
165,88.0,215.0,57.0,224.0
166,1000.0,233.0,199.0,356.0
167,1000.0,300.0,154.0,107.0
168,1000.0,104.0,254.0,321.0
169,1000.0,320.0,142.0,155.0
170,1000.0,199.0,131.0,119.0
171,1000.0,408.0,211.0,303.0
172,1000.0,192.0,108.0,121.0
173,1000.0,331.0,110.0,263.0
174,1000.0,370.0,220.0,128.0
175,954.0,193.0,167.0,262.0
176,935.0,173.0,115.0,387.0
177,348.0,173.0,264.0,268.0
178,1000.0,277.0,152.0,140.0
179,1000.0,422.0,181.0,119.0
180,446.0,386.0,136.0,412.0
181,1000.0,109.0,95.0,471.0
182,833.0,277.0,172.0,192.0
183,1000.0,252.0,147.0,390.0
184,149.0,199.0,60.0,454.0
185,1000.0,254.0,128.0,222.0
186,797.0,230.0,127.0,271.0
187,134.0,181.0,78.0,280.0
