,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
0,52.0,62.0,110.0,77.0
1,90.0,67.0,77.0,70.0
2,53.0,57.0,117.0,56.0
3,59.0,133.0,79.0,51.0
4,63.0,56.0,73.0,74.0
5,53.0,66.0,77.0,77.0
6,86.0,81.0,121.0,52.0
7,86.0,71.0,65.0,62.0
8,55.0,52.0,93.0,75.0
9,69.0,72.0,55.0,66.0
10,63.0,62.0,90.0,54.0
11,54.0,67.0,123.0,53.0
12,75.0,70.0,57.0,51.0
13,73.0,55.0,76.0,79.0
14,72.0,84.0,61.0,76.0
15,115.0,164.0,133.0,52.0
16,116.0,141.0,84.0,50.0
17,87.0,112.0,110.0,169.0
18,115.0,128.0,83.0,64.0
19,232.0,165.0,150.0,82.0
20,82.0,167.0,123.0,53.0
21,107.0,89.0,207.0,86.0
22,105.0,187.0,64.0,72.0
23,51.0,59.0,181.0,61.0
24,126.0,214.0,98.0,76.0
25,147.0,144.0,163.0,92.0
26,124.0,111.0,69.0,53.0
27,177.0,146.0,146.0,80.0
28,221.0,172.0,323.0,76.0
29,226.0,196.0,102.0,51.0
30,613.0,201.0,174.0,73.0
31,282.0,201.0,155.0,72.0
32,391.0,541.0,278.0,91.0
33,105.0,180.0,292.0,91.0
34,91.0,203.0,104.0,89.0
35,126.0,123.0,437.0,66.0
36,251.0,150.0,304.0,70.0
37,257.0,128.0,206.0,58.0
38,114.0,151.0,181.0,60.0
39,611.0,124.0,294.0,80.0
40,149.0,96.0,113.0,95.0
41,286.0,171.0,189.0,493.0
42,376.0,166.0,181.0,89.0
43,157.0,100.0,173.0,78.0
44,189.0,127.0,256.0,73.0
45,187.0,113.0,335.0,49.0
46,126.0,148.0,294.0,54.0
47,99.0,112.0,181.0,59.0
48,72.0,131.0,144.0,96.0
49,168.0,137.0,146.0,100.0
50,206.0,128.0,219.0,98.0
51,114.0,248.0,141.0,87.0
52,191.0,126.0,160.0,77.0
53,71.0,174.0,193.0,73.0
54,195.0,172.0,183.0,93.0
55,93.0,263.0,181.0,97.0
56,120.0,427.0,131.0,92.0
57,99.0,119.0,122.0,92.0
58,263.0,142.0,119.0,71.0
59,95.0,342.0,151.0,88.0
60,227.0,272.0,139.0,284.0
61,144.0,163.0,121.0,99.0
62,141.0,191.0,115.0,67.0
63,237.0,277.0,112.0,80.0
64,141.0,226.0,169.0,69.0
65,334.0,292.0,115.0,82.0
66,273.0,259.0,127.0,79.0
67,78.0,138.0,116.0,78.0
68,416.0,253.0,162.0,77.0
69,63.0,199.0,137.0,83.0
70,143.0,110.0,108.0,81.0
71,337.0,307.0,145.0,82.0
72,268.0,228.0,111.0,90.0
73,361.0,271.0,106.0,63.0
74,142.0,363.0,121.0,84.0
75,121.0,308.0,114.0,68.0
76,64.0,307.0,101.0,105.0
77,60.0,334.0,128.0,81.0
78,187.0,98.0,177.0,347.0
79,401.0,204.0,167.0,138.0
80,104.0,213.0,130.0,90.0
81,108.0,213.0,104.0,74.0
82,78.0,255.0,339.0,88.0
83,134.0,87.0,186.0,114.0
84,136.0,311.0,192.0,115.0
85,450.0,465.0,109.0,95.0
86,140.0,364.0,205.0,124.0
87,436.0,95.0,173.0,116.0
88,101.0,288.0,215.0,160.0
89,451.0,246.0,234.0,104.0
90,93.0,93.0,277.0,130.0
91,507.0,231.0,168.0,123.0
92,470.0,213.0,245.0,200.0
93,239.0,136.0,189.0,131.0
94,337.0,253.0,299.0,116.0
95,491.0,100.0,130.0,104.0
96,507.0,333.0,216.0,97.0
97,149.0,113.0,154.0,142.0
98,106.0,370.0,244.0,126.0
99,532.0,299.0,134.0,154.0
100,521.0,89.0,195.0,107.0
101,553.0,113.0,151.0,132.0
