,one 64 layer,one 128 layer,two 64 layer
221,151.0,417.0,992.0
222,153.0,180.0,1000.0
223,104.0,789.0,1000.0
224,473.0,1000.0,1000.0
225,348.0,524.0,1000.0
226,601.0,257.0,1000.0
227,204.0,151.0,978.0
228,522.0,663.0,1000.0
229,292.0,456.0,1000.0
230,376.0,572.0,1000.0
231,231.0,1000.0,978.0
232,172.0,1000.0,1000.0
233,223.0,225.0,1000.0
234,351.0,1000.0,926.0
235,311.0,457.0,911.0
236,659.0,488.0,809.0
237,276.0,276.0,948.0
238,368.0,1000.0,876.0
239,536.0,1000.0,1000.0
240,319.0,295.0,399.0
241,593.0,450.0,271.0
242,615.0,1000.0,1000.0
243,681.0,1000.0,1000.0
244,172.0,1000.0,968.0
245,994.0,369.0,448.0
246,1000.0,281.0,936.0
247,1000.0,1000.0,1000.0
248,176.0,1000.0,329.0
249,939.0,1000.0,309.0
250,547.0,1000.0,1000.0
251,1000.0,1000.0,156.0
252,1000.0,1000.0,1000.0
253,1000.0,1000.0,961.0
254,960.0,1000.0,1000.0
255,218.0,1000.0,792.0
256,1000.0,1000.0,518.0
257,265.0,762.0,911.0
258,1000.0,1000.0,490.0
259,1000.0,1000.0,650.0
260,1000.0,68.0,1000.0
261,1000.0,1000.0,554.0
262,837.0,1000.0,414.0
263,841.0,1000.0,645.0
264,981.0,1000.0,727.0
265,953.0,51.0,1000.0
266,826.0,1000.0,639.0
267,1000.0,1000.0,480.0
268,1000.0,1000.0,984.0
269,1000.0,1000.0,1000.0
270,1000.0,1000.0,858.0
271,967.0,365.0,612.0
272,67.0,1000.0,891.0
273,780.0,1000.0,558.0
274,1000.0,922.0,331.0
275,945.0,1000.0,556.0
276,877.0,1000.0,571.0
277,1000.0,1000.0,413.0
278,1000.0,1000.0,651.0
279,1000.0,1000.0,779.0
280,985.0,1000.0,1000.0
281,659.0,1000.0,677.0
282,1000.0,812.0,996.0
283,1000.0,900.0,1000.0
284,1000.0,330.0,493.0
285,89.0,807.0,975.0
286,1000.0,220.0,974.0
287,884.0,868.0,733.0
288,1000.0,772.0,609.0
289,803.0,985.0,1000.0
290,880.0,349.0,986.0
291,868.0,1000.0,966.0
292,852.0,1000.0,875.0
293,1000.0,248.0,987.0
294,849.0,1000.0,1000.0
295,201.0,456.0,928.0
296,906.0,1000.0,735.0
297,1000.0,409.0,1000.0
298,853.0,1000.0,956.0
299,858.0,521.0,1000.0
300,821.0,103.0,699.0
301,754.0,434.0,773.0
302,889.0,418.0,723.0
303,692.0,482.0,1000.0
304,211.0,1000.0,756.0
305,237.0,1000.0,1000.0
306,300.0,677.0,1000.0
307,590.0,550.0,1000.0
308,837.0,830.0,1000.0
309,248.0,691.0,940.0
310,998.0,1000.0,1000.0
311,1000.0,203.0,728.0
312,677.0,1000.0,926.0
313,527.0,808.0,759.0
314,981.0,1000.0,525.0
315,364.0,421.0,782.0
316,284.0,947.0,957.0
317,927.0,1000.0,1000.0
318,256.0,175.0,884.0
319,205.0,1000.0,933.0
320,1000.0,213.0,1000.0
321,926.0,191.0,1000.0
322,846.0,271.0,957.0
323,430.0,406.0,946.0
324,741.0,1000.0,994.0
325,904.0,1000.0,940.0
326,158.0,204.0,676.0
327,955.0,1000.0,994.0
328,619.0,1000.0,1000.0
329,803.0,1000.0,1000.0
330,865.0,1000.0,138.0
331,977.0,1000.0,915.0
332,942.0,1000.0,932.0
333,126.0,1000.0,498.0
334,921.0,1000.0,1000.0
335,1000.0,1000.0,913.0
336,497.0,1000.0,970.0
337,928.0,1000.0,1000.0
338,1000.0,1000.0,981.0
339,978.0,1000.0,1000.0
340,432.0,1000.0,1000.0
341,999.0,1000.0,913.0
342,813.0,1000.0,999.0
343,1000.0,1000.0,1000.0
344,589.0,1000.0,885.0
345,637.0,1000.0,996.0
346,1000.0,393.0,972.0
347,776.0,1000.0,878.0
348,281.0,1000.0,110.0
349,1000.0,1000.0,864.0
350,1000.0,1000.0,1000.0
351,276.0,1000.0,174.0
352,1000.0,1000.0,189.0
353,1000.0,187.0,887.0
354,957.0,91.0,652.0
355,319.0,1000.0,1000.0
356,168.0,1000.0,175.0
357,994.0,276.0,211.0
358,847.0,144.0,1000.0
359,952.0,1000.0,1000.0
360,237.0,1000.0,441.0
361,882.0,1000.0,149.0
362,399.0,1000.0,124.0
363,1000.0,1000.0,121.0
364,361.0,171.0,181.0
365,961.0,1000.0,1000.0
366,1000.0,1000.0,165.0
367,1000.0,1000.0,159.0
368,1000.0,1000.0,195.0
369,1000.0,1000.0,171.0
370,1000.0,1000.0,972.0
371,994.0,66.0,190.0
372,1000.0,1000.0,1000.0
373,1000.0,1000.0,152.0
374,857.0,1000.0,186.0
375,1000.0,1000.0,189.0
376,215.0,1000.0,1000.0
377,496.0,1000.0,195.0
378,147.0,65.0,248.0
379,1000.0,57.0,866.0
380,144.0,1000.0,895.0
381,359.0,60.0,414.0
382,240.0,125.0,315.0
383,636.0,1000.0,219.0
384,166.0,1000.0,800.0
385,1000.0,922.0,209.0
386,252.0,1000.0,304.0
387,187.0,1000.0,386.0
388,1000.0,1000.0,995.0
389,378.0,1000.0,188.0
390,299.0,1000.0,1000.0
391,995.0,1000.0,356.0
392,1000.0,1000.0,146.0
393,266.0,1000.0,1000.0
394,1000.0,65.0,1000.0
395,178.0,1000.0,790.0
396,477.0,1000.0,253.0
397,1000.0,1000.0,863.0
398,403.0,1000.0,877.0
399,1000.0,1000.0,1000.0
400,461.0,1000.0,969.0
401,727.0,1000.0,135.0
402,1000.0,1000.0,861.0
403,406.0,1000.0,716.0
404,332.0,1000.0,999.0
405,1000.0,1000.0,815.0
406,1000.0,67.0,930.0
407,192.0,60.0,856.0
408,203.0,144.0,1000.0
409,715.0,80.0,1000.0
410,1000.0,116.0,961.0
411,147.0,63.0,1000.0
412,1000.0,1000.0,950.0
413,153.0,1000.0,175.0
414,1000.0,263.0,307.0
415,171.0,1000.0,901.0
416,414.0,1000.0,1000.0
417,228.0,1000.0,179.0
418,229.0,1000.0,396.0
419,180.0,1000.0,194.0
420,317.0,253.0,930.0
421,1000.0,1000.0,172.0
422,352.0,1000.0,104.0
423,166.0,1000.0,1000.0
424,1000.0,1000.0,843.0
425,275.0,1000.0,1000.0
426,177.0,1000.0,718.0
427,1000.0,1000.0,661.0
428,354.0,1000.0,554.0
429,1000.0,1000.0,654.0
430,524.0,1000.0,579.0
431,191.0,1000.0,995.0
432,182.0,1000.0,586.0
433,1000.0,1000.0,573.0
434,670.0,1000.0,587.0
435,1000.0,1000.0,1000.0
436,909.0,1000.0,717.0
437,164.0,1000.0,563.0
438,150.0,1000.0,240.0
439,155.0,781.0,183.0
440,377.0,1000.0,892.0
441,143.0,1000.0,256.0
442,1000.0,1000.0,345.0
443,236.0,1000.0,274.0
444,178.0,1000.0,380.0
445,139.0,1000.0,224.0
446,167.0,109.0,228.0
447,150.0,1000.0,233.0
448,1000.0,91.0,263.0
449,564.0,1000.0,623.0
450,239.0,483.0,470.0
451,1000.0,96.0,884.0
452,1000.0,1000.0,295.0
453,359.0,601.0,606.0
454,1000.0,1000.0,992.0
455,174.0,1000.0,925.0
456,1000.0,348.0,968.0
457,1000.0,1000.0,996.0
458,1000.0,130.0,935.0
459,235.0,1000.0,1000.0
460,465.0,1000.0,932.0
461,367.0,93.0,930.0
462,169.0,1000.0,1000.0
463,419.0,1000.0,1000.0
464,1000.0,1000.0,1000.0
465,512.0,211.0,998.0
466,1000.0,1000.0,1000.0
467,483.0,1000.0,391.0
468,183.0,188.0,1000.0
469,1000.0,1000.0,943.0
470,1000.0,1000.0,1000.0
471,1000.0,1000.0,923.0
472,1000.0,135.0,903.0
473,357.0,1000.0,882.0
474,1000.0,1000.0,953.0
475,489.0,1000.0,834.0
476,1000.0,1000.0,756.0
477,1000.0,1000.0,892.0
478,1000.0,1000.0,825.0
479,1000.0,157.0,922.0
480,393.0,218.0,923.0
481,232.0,1000.0,1000.0
482,365.0,1000.0,933.0
483,1000.0,1000.0,861.0
484,1000.0,1000.0,701.0
485,1000.0,1000.0,888.0
486,356.0,1000.0,798.0
487,388.0,1000.0,702.0
488,416.0,1000.0,997.0
489,288.0,1000.0,734.0
490,177.0,1000.0,857.0
491,1000.0,1000.0,1000.0
492,1000.0,1000.0,1000.0
493,1000.0,1000.0,989.0
494,1000.0,1000.0,598.0
495,381.0,1000.0,966.0
496,1000.0,1000.0,1000.0
497,273.0,1000.0,954.0
498,1000.0,1000.0,793.0
499,973.0,113.0,953.0
500,159.0,1000.0,1000.0
