,Buffer Size = 60000,Buffer Size = 80000,Buffer Size = 100000,Buffer Size = 120000
0,-561.6208902952915,-524.9011778609301,-125.1810446260844,-394.01174678935075
1,-479.59299331437006,-641.1372294532715,-164.9593347850092,-1068.263075241241
2,-508.2665447637228,-994.2408617466699,-160.79818440192574,-596.9094153454462
3,-458.2015519086922,-663.2585525178807,-125.21012375940083,-823.0885300492449
4,-216.30047827240003,-723.6210252326903,-129.99594930984688,-883.9574553472105
5,-379.14987479363225,-560.200420411434,-172.7157445892505,-1054.2278299845243
6,-217.23866601954106,-675.2816057819068,-162.24468041090435,-771.7048484983414
7,-292.05937843943764,-661.1517122912092,-101.22483377112334,-1352.5553640474564
8,-539.2183691167784,-632.0196211059143,-110.38667481285196,-223.20796737380465
9,-476.959832503512,-577.8484053378552,-105.26063485964406,-152.23562891047828
10,-524.6722388217178,-698.532097587195,-199.47620195883587,-140.77856425180838
11,-555.166723967423,-92.66736643212931,-145.16797871359586,-170.6198061406297
12,-170.69014182011495,-142.79581025010512,-140.6970629159064,-136.25158184475566
13,-393.236031007837,-164.30463235514046,-140.93368322693652,-192.78287655321748
14,-246.68932506147718,-127.11067643381719,-138.0200942733828,-147.13779806425504
15,-328.1882779836947,-95.75539868052927,-655.5417993303256,-88.68683810582229
16,-167.8461700227311,16.608476558697404,-269.37416776382946,-687.9391658131226
17,-202.69286860201743,-90.1393096455627,-245.49832293615617,-90.82099623769562
18,-246.18782230839858,-119.86645904533763,-342.04041863106414,-55.245717241497445
19,-521.0855165823295,-207.29894506918615,-517.2660444624345,-193.46503279955377
20,-279.354954344058,-125.36327485621342,-117.94401204916286,-395.225750466564
21,-434.85055495952696,-98.38994268151579,-128.42340856687596,-351.7557492764673
22,-189.07025460417464,-120.40185915240282,-106.64737617978204,-251.0610181642405
23,-189.67347003347749,-132.15016048057225,-135.03812749153565,-225.69838302970106
24,-292.6938176025352,-468.34236815841615,-140.5390234518967,-60.62459792041423
25,-255.27645064540172,-257.47276219160307,-30.359015999950856,-192.97441966700407
26,-279.4078591344128,-131.86836809420595,-135.163398981743,-13.424698458963462
27,-164.3974918265474,-152.8214293746969,-309.0843175490048,-71.90986641505353
28,-284.91320810732293,-0.4220719266687638,-87.79138728203256,-34.64057146707479
29,-202.1920637928691,-151.18232236527533,-149.66034587820678,-123.80906120109425
30,-153.83792189954406,-101.46155161563388,-105.17271835985605,-130.6809831710612
31,-395.9163998474984,-285.66004863894216,-154.2723087902022,-346.6297180451627
32,-237.9143239499883,-151.1200395951844,-211.61678327170378,-129.69039033300425
33,-263.61415186659826,-415.93011675049564,-167.97870305119062,-289.761120826382
34,-232.3193076967398,-116.34194231489508,-292.5387609706471,-339.0710317754741
35,-114.82010832761956,-358.83216301917344,-155.14519800704892,-365.8890753363319
36,-99.8458976040819,-145.38184669176047,-124.67549820746936,-136.78200873062798
37,-117.61990383536894,-559.3732961810133,-153.49218525026828,-105.20305847621617
38,-314.3444407005326,-652.9943120857902,-164.0094147905341,-210.35168840583006
39,-204.12343881304093,259.3200193079789,-192.40099046944152,-46.15961312323549
40,-47.909477621092535,-184.89655327346912,-170.5637979458897,-109.23380912982664
41,-248.78380951569144,16.191519324270047,-154.81687135288183,-117.94867248376592
42,-62.09553221187588,-151.34222524215258,-216.00650793152707,-241.2222586973466
43,-110.00083885672304,-110.09785286406796,-183.06160732635254,-351.13898082736466
44,-130.2388561437943,-222.19376424803,-119.63499898322556,-175.9228720305248
45,-262.0473210725139,-139.96562064840754,-198.9263502497713,-129.62549651500908
46,-180.88938567860197,-103.05480000735,-275.61012785131516,-105.49340599440643
47,-143.01630856178957,-95.37442037824844,-193.04627876558342,-104.5498414107057
48,-242.05269678195518,-204.24736840240266,-182.72142227934478,-163.19244537128313
49,-101.34046226362244,-123.61078853505148,-201.92607111077524,-71.50849699179527
50,-137.2978712766349,-109.30999037306108,-149.94415019200505,-75.1038358708568
51,-203.53424528695248,-125.41210039871652,-140.36298586423098,-117.98506880808864
52,-79.57573624036844,-154.4412231382025,-126.56511862125511,-235.94872187803844
53,-63.87281045549582,-156.62063562137251,-115.80784649196403,-117.87994433240048
54,-252.95560558696155,-113.53366867648356,-112.78252777203565,-49.83391614168393
55,-37.26745936810391,-197.61981029455524,-122.48598396406013,-410.6736835493384
56,-238.9673571549742,-72.58936755614103,-144.3457926320683,-349.1408323103798
57,-163.31745822504377,-149.6755550992684,-143.34204920462557,-40.05548666409861
58,-278.5439069356678,-110.68883385926779,-107.22728693890461,-211.57099750781873
59,-518.9628448328892,-101.06846229218546,-127.40989855417355,-71.13655722750666
60,-257.4690368610844,-152.80070134899287,-109.88165245284961,-360.99326872662857
61,-287.902934459721,-162.69749102105158,-158.74447237315013,-120.12731763503466
62,-414.94852864043287,-336.83316598031763,-155.85594476086465,-409.0765036091324
63,-300.9016446878966,-118.07038202357899,-155.07199649456555,-220.18203277143397
64,-172.83492715784934,-139.83443727001628,-129.06686997409776,-244.45641952931257
65,-59.05863964752329,-98.24871322358871,-117.36075209607014,-207.00101448652356
66,-224.73102986788427,-150.11187072596346,-233.9690071118027,-89.8629653556245
67,-292.7194491419752,-131.17757292592665,-151.87056472459176,-160.2689149999726
68,-217.97913236763884,-158.93038608335894,-185.59841661501866,-131.2711358168549
69,-111.90268410148713,-117.63922228400034,-134.08494720542473,-266.5041895723048
70,-302.66816736125975,-157.30700929316004,-136.72763705909205,-113.93525348324602
71,-126.68461636563379,-166.53125158834135,-111.14264224065334,-40.313624669193146
72,-188.11609449494946,-123.59362578905842,-118.39907090780886,-256.5787536078738
73,-327.54977494502174,-155.17683826292483,-32.28929815265792,-40.49088771281734
74,-127.6228026482606,-165.50164412774603,-228.100463849272,-144.85945767906398
75,-171.25286216823744,-192.45561505266448,-109.91903851356435,-38.892003274944
76,-247.421334695159,-163.15216971474442,-132.93002248539332,-146.31122698229177
77,-254.2259107779467,-165.81784671609452,-141.08940666615496,-229.77618062783094
78,-155.3285555766044,-167.92361028857744,-144.22810593532165,-239.89484609509006
79,-63.961787891964505,-138.81929651642992,-102.29114183716925,-97.33810034190122
80,-237.13491531782964,-147.22947760052742,-147.98274109066347,-209.90727410653994
81,-113.54510249397184,-142.4206350538676,-124.09438066390533,-61.919094360661745
82,-193.75472988080014,-163.45882756992455,-109.82391226201437,-217.02690291105904
83,-68.9485510314497,-220.26955518296336,-225.76747399027792,-324.55999434740323
84,-208.84144130186107,-203.708764990142,-138.31835072303096,-27.47724055355235
85,-257.34289846316557,-147.89766967293193,-141.3364185162703,-177.37455988812968
86,-211.59175815504085,-170.344403935546,-109.50478263577838,-129.61729915982218
87,-222.3517098501215,-340.2265393338074,-362.31048516682085,-475.53174309403994
88,-386.951180544796,-169.93844287416897,-127.84619218665597,-65.889888297912
